DOWN-REGULATED	TGFbeta	Twist	Gsc	Snail	siE-Cadherin
C20ORF19	0.498	0.333	0.233	0.433	0.304
SNX10	0.497	0.207	0.057	0.167	0.091
TP73L	0.489	0.469	0.348	0.451	0.4
KCNK1	0.485	0.299	0.324	0.337	0.081
BDKRB2	0.483	0.381	0.265	0.47	0.221
ANXA8	0.479	0.351	0.022	0.314	0.101
ANXA8L1	0.479	0.351	0.022	0.314	0.101
LOC728113	0.479	0.351	0.022	0.314	0.101
RHBDF2	0.477	0.333	0.407	0.367	0.332
LOC653562	0.476	0.246	0.198	0.328	0.212
SLC6A10P	0.476	0.246	0.198	0.328	0.212
SLC6A8	0.476	0.246	0.198	0.328	0.212
KRT18	0.476	0.173	0.392	0.106	0.109
CDS1	0.472	0.229	0.062	0.172	0.062
THBD	0.468	0.33	0.324	0.333	0.237
NEFM	0.456	0.143	0.133	0.178	0.446
RPS6KA1	0.454	0.305	0.256	0.271	0.355
SMPDL3B	0.45	0.443	0.432	0.412	0.309
ABCA12	0.448	0.396	0.357	0.382	0.145
RHOD	0.445	0.355	0.092	0.249	0.22
KRT14	0.444	0.473	0.174	0.47	0.169
PRKCH	0.444	0.331	0.236	0.308	0.324
ZBED2	0.443	0.255	0.026	0.158	0.053
C10ORF10	0.441	0.4	0.425	0.411	0.269
LRRC1	0.437	0.329	0.348	0.269	0.261
STAP2	0.434	0.23	0.221	0.191	0.244
JUP	0.433	0.307	0.17	0.232	0.083
IL4R	0.433	0.421	0.358	0.379	0.222
PERP	0.427	0.258	0.333	0.235	0.11
FGFBP1	0.426	0.38	0.006	0.144	0.031
MYO1D	0.424	0.284	0.193	0.299	0.127
FAT2	0.422	0.317	0.262	0.345	0.206
WWC1	0.421	0.255	0.224	0.14	0.184
FZD3	0.419	0.251	0.193	0.246	0.196
ZNF165	0.414	0.33	0.222	0.232	0.219
SNCA	0.413	0.46	0.074	0.39	0.157
KIAA1815	0.411	0.387	0.306	0.329	0.202
PRSS8	0.41	0.395	0.334	0.349	0.127
SH2D3A	0.41	0.294	0.266	0.267	0.248
GNAL	0.409	0.444	0.397	0.437	0.349
BIK	0.409	0.284	0.186	0.183	0.205
CDH3	0.408	0.23	0.014	0.203	0.042
KIAA0888	0.404	0.216	0.198	0.19	0.273
KRT5	0.397	0.229	0.011	0.255	0.101
GJB3	0.397	0.3	0.036	0.148	0.038
KIAA0040	0.397	0.277	0.302	0.239	0.123
CELSR2	0.396	0.401	0.419	0.383	0.308
F11R	0.396	0.323	0.258	0.228	0.094
NUP62CL	0.396	0.203	0.254	0.195	0.272
SERPINB1	0.394	0.282	0.247	0.258	0.033
SPINT2	0.393	0.243	0.267	0.124	0.063
POLR3G	0.393	0.349	0.117	0.307	0.419
ELMO3	0.388	0.303	0.252	0.33	0.221
IL1RN	0.387	0.414	0.349	0.349	0.049
TSPAN1	0.384	0.193	0.132	0.131	0.049
IFI30	0.382	0.347	0.167	0.347	0.123
PLS1	0.382	0.372	0.431	0.082	0.422
LOC729884	0.38	0.352	0.358	0.371	0.121
TMPRSS11E	0.38	0.352	0.358	0.371	0.121
C1ORF116	0.378	0.178	0.106	0.135	0.033
ALOX15B	0.375	0.227	0.088	0.218	0.112
COL17A1	0.375	0.257	0.082	0.227	0.051
RTEL1	0.375	0.314	0.207	0.353	0.081
TNFRSF6B	0.375	0.314	0.207	0.353	0.081
LAD1	0.372	0.372	0.204	0.317	0.135
PTPN3	0.366	0.456	0.235	0.483	0.307
MST1R	0.365	0.244	0.193	0.227	0.09
EPHA1	0.358	0.369	0.286	0.295	0.19
E2F5	0.353	0.339	0.243	0.226	0.383
KRT6B	0.348	0.276	0.02	0.187	0.048
STAC	0.345	0.19	0.158	0.183	0.224
