Protein/gene	Accession number	Average	Function
bcl-2 interacting killer (BIK), NBK apoptotic inducer protein, BP4, BIP1	X89986, U34584	0.3+/-0.10	Apoptosis-associated genes
Caspase-9 precursor (CASP9), ICE-like apoptotic protease 6 (ICE-LAP6), apoptotic protease MCH6, apoptotic protease activating factor 3 (APAF3)	U56390, U60521	0.4+/-0.03	Apoptosis-associated genes
Secreted apoptosis related protein 3 (SARP3)	AF017988	0.2+/-0.07	Apoptosis-associated genes
WSL protein + TRAMP + Apo-3 + death domain receptor 3 (DDR3)	Y09392 + U75380 + U74611 + U83597	0.3+/-0.05	Apoptosis-associated genes
TNF receptor (TNFR) + TNFR2, TNF binding protein 2 (TBP2)	M32315 + M55994	0.4+/-0.03	Apoptosis-associated genes
Thrombospondin 2 precursor (THBS2, TSP2)	L12350	0.3+/-0.04	Cell adhesion receptors proteins
G1/S-specific cyclin D2 (CCND2) + KIAK0002	M90813 + D13639	0.3+/-0.09	Cell cycle
Bcl2 + p53 binding protein Bbp/53BP2 (BBP/53BP2)	U58334	0.4+/-0.05	Cell cycle
btg protein precursor, NGF-inducible antiproliferative protein PC3	U72649	0.3+/-06	Cell cycle
FKBP-rapamycin associated protein (FRAP), rapamycin target protein	L34075	0.4+/-0.10	Cell cycle
NIK serine/threonine protein kinase	Y10256	0.3+/-0.05	Cell cycle
Retinoic acid receptor  gamma 1 (RAR- gamma 1, RARG)	M24857, M38258, M57707, M32074	0.2+/-0.05	Cell receptors
Hyaluronan receptor (RHAMM)	U29343	0.4+/-0.04	Cell receptors
Gonadotropin-releasing hormone receptor (GNRHR)	L03380	0.2+/-0.07	Cell receptors
Semaphorin-1	U38276	0.4+/-0.17	Cell signaling, extracellular communication
Hepatocyte growth factor activator (HGF activator)	D14012	0.5+/-0.17	Cell signaling, extracellular communication
L-1 receptor antagonist protein precursor (IL-1RA, IRAP)	M63099	0.3+/-0.05	Cell signaling, extracellular communication
Type I cytoskeletal 13 keratin, cytokeratin 13 (K13, CK13) + type I cytoskeletal 15 keratin, cytokeratin 15 (K15, CK15) + type I cytoskeletal 17 keratin, cytokeratin 17 (K17, CK17)	X52426, X07696, X62571	0.4+/-0.06	Cytoskeleton-motility proteins
Type I cytoskeletal 16 keratin, cytokeratin 16 (K16, CK16), pseudokeratin K16 type I	M21772, M20336	0.3+/-0.09	Cytoskeleton-motility proteins
Type II cytoskeletal 4 keratin (KRT4), cytokeratin 4 (K4, CK4)	X67683	0.3+/-0.08	Cytoskeleton-motility proteins
Zyxin + zyxin-2	X94991, X95735	0.2+/-0.09	Cytoskeleton-motility proteins
ALKB homolog protein	X91992	0.4+/-0.04	DNA synthesis, recombination and repair
Collagen 18  alpha 1 subunit (COL18A1)	L22548	0.4+/-0.05	Extracellular matrix proteins
Laminin  alpha4-subunit precursor (laminin A4, LAMA4)	X70904, X91171	0.3+/-0.05	Extracellular matrix proteins
Collagen 4  alpha2 subunit precursor (COL4A2)	X05610	0.3+/-0.13	Extracellular matrix proteins
Versican core protein precursor, large fibroblast proteoglycan, chondroitin sulfate proteoglycan core protein 2, glial hyaluronate-binding protein (GHAP)	U16306, X15998, U26555, D32039	0.3+/-0.09	Extracellular matrix proteins
HLA class II histocompatibility antigen alpha-subunit precursor (MHC-alpha)	M31525	0.3+/-0.10	Immune system proteins
Phospholipase C  Beta 4	L41349	0.5+/-0.11	Intracellular transducers/effectors/modulators
Signal-transducing adaptor molecule (STAM)	U43899	0.4+/-0.16	Intracellular transducers/effectors/modulators
Protooncogene tyrosine-protein kinase abl, p150, c-abl	M14752, M14753, M14754	0.2+/-0.04	Intracellular transducers/effectors/modulators
vav oncogene	X16316	0.3+/-0.06	Intracellular transducers/effectors/modulators
Leukocyte antigen-related protein precursor (LAR), PTPRF + leukocyte surface CD47 antigen precursor, antigenic surface determinant protein OA3, AP	Y00815 + X69398	0.3+/-0.02	Intracellular transducers/effectors/modulators
Protein phosphatase 2A B56-Beta (PP2A)	L42374	0.3+/-0.03	Intracellular transducers/effectors/modulators
fos-related antigen 2 (FRA2)	X16706	0.3+/-0.06	Intracellular transducers/effectors/modulators
T3 receptor-associated cofactor 1	S83390	0.4+/-0.03	Intracellular transducers/effectors/modulators
DR-nm23	U29656	0.3+/-0.08	Metabolism
Microsomal UDP-glucuronosyltransferase 2B15 precursor (UDPGT), UDPGTH-3; UGT2B15 + microsomal 2B10 precursor (UDPGT), UGT2B10 + 2microsomal B8 precursor	U08854, X63359; U06641, J05428; Y00317	0.2+/-0.4	Metabolism
Thymidylate kinase	L16991	0.3+/-0.06	Metabolism
5,6-Dihydroxyindole-2-carboxylic acid oxidase precursor (DHICA oxidase), tyrosinase-related protein 1 (TRP-1), catalase B, glycoprotein-75 (GP75)	X51420	0.2+/-0.04	Metabolism
N-myc protooncogene	M13228	0.4+/-0.11	Oncogenes and tumor suppressors
notch4, hnotch4	U95299	0.4+/-0.07	Oncogenes and tumor suppressors
Metalloproteinase inhibitor 3 precursor, TIMP3, Mitogen-inducible gene 5 (MIG5)	Z30183	0.3+/-0.11	Oncogenes and tumor suppressors
MAD4 homolog	AF040963	0.3+/-0.09	Oncogenes and tumor suppressors
Placental plasminogen activator inhibitor 2 (PAI-2, PLANH2), monocyte ARG-serpin, urokinase inhibitor	M18082, J02685	0.4+/-0.07	Protein turnover
