Biological function	Gene symbol	P value
Adhesion/cytoskeleton	C1QTNF7	0.0006799
Protein transport/metabolism	VPS39	0.0003019
Protein transport/metabolism	UBA52	0.0004614
Signal transduction	FRS2	0.0002194
Signal transduction	CLEC2D	0.0002404
Signal transduction	INPP4B	0.0008168
Nucleic acid processing and transcription	ZNF558	0.0008585
Nucleic acid processing and transcription	PIAS1	0.0008585
Nucleic acid processing and transcription	SBNO1	0.0008853
Nucleic acid processing and transcription	LOC90379	0.0009408
Cell cycle/proliferation	MNT	0.0001893
Cell cycle/proliferation	MAPK8	0.0007346
Immunology	BPHL	1.29x10E-5
Membrane solute transport	SYAP1	0.0004961
Other	CLPTM1	0.0003625
Other	ADCK4	0.000575
Other	TCTE3	0.0007346
