Name	Accession numbers	Average fold change	Stdev
KIAA0019	D13644	-2.47	0.12
Cyclin D2	X68452	-2.6	0.54
Transmembrane protein	X69910	-2.85	0.69
Homo sapiens, cDNA, 5 end /clone	H04668	-2.93	0.45
Human breast cancer systolic NADP(+)-dependent malic enzyme	U43944	-3.03	0.8
Homo sapiens, cDNA /gb	W27619	-3.45	1.1
Acidic calponin	S80562	-3.53	0.97
KIAA0403	AB007863	-3.67	1.02
Homo sapiens, cDNA, 5 end /clone	N35832	-3.8	1.01
Myeloid cell nuclear differentiation antigen	M81750	-3.88	1.07
Homo sapiens cDNA, 3 end /clone	AI688098	-3.92	1.05
Ig rearranged gamma chain	M63438	-4.38	1.33
Interleukin 10 (IL10)	U16720	-4.65	0.93
N2A3	U97105	-4.75	1.81
cDNA DKFZp566N043 (from clone DKCZp566N043) /cds	AL096717	-4.77	2.33
Homo sapiens clone 23678	AF035316	-5.1	1.29
Annexin II	D28364	-5.28	2.05
Homo sapiens cDNA, 3 end /clone	AA873858	-5.57	2.12
Beta tubulin	X79535	-5.57	2.4
Human glutathione S-transferase theta (GSTT1)	X79389	-6.05	1.41
Gz-selective GTPase-activating protein  (ZGAP1)	AF060877	-6.05	2.36
Human retinoblastoma susceptibility	M15400	-6.38	1.1
Contains genes for NCF4 (P40PHOX) protein,  cytokine receptor common beta chain precursor CSF2RB (partial), ESTs	AL008637	-6.75	3.34
H2A.2	L19779	-7.72	3.73
Retinoblastoma susceptibility protein (RB1) with a 3 bp deletion in exon 22	L49229	-9.2	2.42
Homo sapiens cDNA, 3 end /clone	A1189287	-9.53	3.01
Homo sapiens cDNA, 3 end /clone	A1885852	-10.22	5.07
HUMLNHR Human lymph node homing receptor	M25280	-10.45	2.96
Human chitinase (HUMTCHIT)	U58515	-12.53	7.1
Diubiquitin	AL031983	-20.57	9.31
H2B	X00088	-22.62	11.39
