Category	Symbol	Gene description	Corrrelation	Unigene
Regulation of transcription	Rnps1	ribonucleic acid binding protein S1	1	Mm.1951
Regulation of transcription	Junb	Jun-B oncogene	1	Mm.1167
Regulation of transcription	Hdac3	Histone deacetylase 3	1	Mm.20521
Regulation of transcription	Irf6	interferon regulatory factor 6	1	Mm.4179
Regulation of transcription	Gata3	GATA binding protein 3	0.997	Mm.606
Regulation of transcription	Xbp1	X-box binding protein 1	0.993	Mm.22718
Regulation of transcription	Cited2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	0.992	Mm.9524
Regulation of transcription	Nmyc1	neuroblastoma myc-related oncogene 1	0.986	Mm.16469
Regulation of transcription	Zfp292	zinc finger protein 292	0.975	Mm.38193
Membrane association	Bdkrb1	bradykinin receptor, beta 1	1	Mm.57076
Membrane association	Mpl	myeloproliferative leukemia virus oncogene	0.998	Mm.4864
Membrane association	Map17	membrane-associated protein 17	0.995	Mm.30181
Membrane association	Ormdl3	ORM1-like 3 (S. cerevisiae)	0.99	Mm.180546
Membrane association	Fzd4	frizzled homolog 4 (Drosophila)	0.988	Mm.68712
Membrane association	Lgi4	leucine-rich repeat LGI family, member 4	0.961	Mm.1662
Membrane association	Kit	kit oncogene0.961Mm.	0.961	Mm.4394
Signal transduction	Bdkrb1	bradykinin receptor, beta 1	1	Mm.57076
Signal transduction	Socs2	suppressor of cytokine signaling 2	0.996	Mm.4132
Signal transduction	Fzd4	frizzled homolog 4 (Drosophila)	0.988	Mm.68712
Signal transduction	Kit	kit oncogene	0.961	Mm.4394
Signal transduction	Inpp5d	inositol polyphosphate-5-phosphatase D	0.958	Mm.15105
Ubiquitin ligase complex	Fbxo9	f-box only protein 9	1	Mm.28584
Ubiquitin ligase complex	Nedd4	neural precursor cell expressed, developmentally down-regulated gene 4	0.993	Mm.16553
Ubiquitin ligase complex	Rnf11	ring finger protein 11	0.992	Mm.25228
ATP binding	Ian1	immune associated nucleotide 1	0.999	Mm.28395
ATP binding	Iigp	interferon-inducible GTPase	0.997	Mm.29008
ATP binding	Ifi47	interferon gamma inducible protein	0.984	Mm.24769
GTP binding	Tgtp	T-cell specific GTPase	0.994	Mm.15793
GTP binding	Igtp	interferon gamma induced GTPase	0.993	Mm.858
Serine protease inhibitor activity	Serpinb6a	serine (or cysteine) proteinase inhibitor, clade B, member 6a	0.996	Mm.2623
Serine protease inhibitor activity	Serpina3g	serine (or cysteine) proteinase inhibitor, clade A, member 3G	0.987	Mm.15085
Protein binding	Camk2b	calcium/calmodulin-dependent protein kinase II, beta	0.999	Mm.4857
Protein binding	Gab1	growth factor receptor bound protein 2-associated protein 1	0.997	Mm.24573
Protein binding	Gabarapl1	gamma-aminobutyric acid [GABA(A)] receptor-associated protein-like 1	0.997	Mm.14638
Protein binding	Mtmr13	myotubularin related protein 13	0.996	Mm.200250
Metal ion binding	Mt2	metallothionein 2	0.999	Mm.147226
Metal ion binding	Car2	carbonic anhydrase 2	0.995	Mm.1186
Cell cycle	Cdkn1c	cyclin-dependent kinase inhibitor 1C (P57)	0.986	Mm.168789
Lipocalin	Lcn7	lipocalin 7	0.999	Mm.15801
