Hugo ID	Name
ATP1A3	ATPase, Na+/K+ transporting, alpha 3 polypeptide
CD24	homologous to 3UTR of human CD24 gene
ABCC5	multidrug resistance-associated protein (MRP5)
CD72	CD72 antigen
TCL1A	Tcell leukemia/lymphoma 1
ITGB2	Integrin, beta 2 (antigen CD18 (p95))
NA	nuclear ribonucleoprotein particle (hnRNP)
SGT1	suppressor of G2 allele of skp1 homolog
DNMT1	DNA (cytosine-5-)-methyltransferase 1
GALE	UDP-Galactose 4 epimerase (GALE)
HADHSC	L-3-hydroxyacyl-CoA dehydrogenase
LIG4	DNA ligase IV
LIG1	Ligase I, DNA, ATP-dependent
CEBPG	CCAAT/enhancer binding protein (C/EBP), gamma
DCK	Deoxycytidine kinase
TCEA1	TRANSCRIPTION ELONGATION FACTOR S-II
TCN1	TRANSCOBALAMIN I PRECURSOR
POLA2	DNA polymerase alpha subunit
CCNG2	cyclin G2
RNPC1	Finkel-Biskis-Reilly murine sarcoma virus; Human seb4D
RNPC1	Finkel-Biskis-Reilly murine sarcoma virus; Human seb4D
DGKD	Diacylglycerol kinase delta
KIAA0220	Polycystic kidney disease protein 1
KIAA0220	calcium-dependent group X phospholipase A2
KIAA0220	calcium-dependent group X phospholipase A2
ALDH5A1	NAD+-dependent succinate-semialdehyde dehydrogenase
CCNG2	Polycystic kidney disease 1 (autosomal dominant)
PDCD4	nuclear antigen H731-like protein
SSH3BP1	eps8 binding protein e3B1
MAP4K2	B lymphocyte serine/threonine protein kinase (GC kinase)
MAPRE2	novel T-cell activation protein
ZNFN1A	Ikaros/LyF-1 homolog (hIk-1)
FLJ22624	clone 23799
KIAA0355	KIAA0355
SFRS11	arginine-rich nuclear protein
ELF1	ETS-RELATED TRANSCRIPTION FACTOR ELF-1
WEE1	WEE1-LIKE PROTEIN KINASE
WEE1	similar to gb:X62048_cds1 WEE1-LIKE PROTEIN KINASE
LRMP	lymphoid-restricted membrane protein (Jaw1)
HLCS	Holocarboxylase synthetase ligase
OSBPL10	Weakly similar to similar to oxysterol-binfing proteins
BCL6	B cell lymphoma protein 6 (zinc finger protein 51)
ALOX5	Arachidonate 5-lipoxygenase
SIAT1	Sialyltransferase 1 (beta-galactoside alpha-2,6-sialytransferase)
CD79A	Immunoglobulin-associated alpha
CD22	CD22 antigen
RBL1	Retinoblastoma-associated protein-like 107 KD
SCP2	Sterol carrier protein 2
PLEK	PLECKSTRIN
HLA-DOB	MHC class II protein HLA-DO beta chain
STX7	syntaxin 7
ARHGEF7	KIAA0142
NA	clone 23815
ICSBP1	Interferon consensus sequence binding protein
UVRAG	mRNA; UV Radiation Resistance Associated (UVRAG)
NCOA3	similar to TR:G1314285 G1314285 GRIP1 (AIB1)
NCOA3	Amplified in Breast Cancer (AIB1)
NCOA3	Amplified in Breast Cancer (AIB1)
IL4R	Interleukin 4 receptor
ARHGEF6	KIAA0006
AIP	immunophilin homolog ARA9 mRNA, complete cds
LTBP1	Latent transforming growth factor beta binding protein 1
POLH	xeroderma pigmentosum variant RAD30
PRKAR2B	Protein kinase, cAMP-dependent, regulatory, type II, beta
UCP3	Uncoupling protein 3 (mitochondrial, proton carrier)
VIL2	Villin 2 (ezrin)
UCH L1	Ubiquitin carbbboxyl-terminal hydrolase isozyme L1
BMP7	Bone morphogenetic protein 7 precursor
SEC14L1	SEC14 (S. cerevisiae)-like
EIF2S2	translational initiation factor 2 beta subunit (eIF-2-beta)
EIF2S2	translational initiation factor 2 beta subunit (eIF-2-beta)
RB1	Retinoblastoma 1 (including osteosarcoma)
TRIP3	thyroid receptor interactor (TRIP3) mRNA
PCM1	autoantigen pericentriol material 1 (PCM-1)
NUP88	Nup88 protein
GSTP1	Glutathione-S-transferase pi-1
ARHGDIB	GDP-dissociation inhibitor protein (Ly-GDI)
PTPRC	Protein tyrosine phosphatase, receptor type, c (CD45)
RNTRE	Ribosomal protein S17
PLCG2	Phospholipase C, gamma 2 (phosphatidylinositol-specific)
ALOX5AP	5-LIPOXYGENASE ACTIVA TING PROTEIN
TAL1	T-cell acute lymphocytic leukemia 1
SYK	Spleen tyrosine kinase
RFC1	DNA-binding protein (PO-GA)
ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2
PDCD2	similar to TR:Q16342 PROGRAMMED CELL DEATH-2
KIAA0326	KIAA0326
TANK	TRAF family member-associated NFKB activator
HRB	hematopoietic progenitor kinase (HPK1)
IGHM	Immunogl obulin mu
NAB2	transcription factor IL-4 Stat mRNA
EDR2	polyhomeotic 2 homolog (HPH2)
