Probe Set	FC(S)	P(S)	FC(T)	P(T)	Gene	Gene ID	Unigene	Chromosome	Description
202890_at	-223	0.00009	-2	0.02	MAP7	9053	Hs.486548	6q23.2	microtubule-associated protein 7
201563_at	-4	0.00009	-2	0.02	SORD	6652	Hs.878	15q15.3	sorbitol dehydrogenase
209739_s_at	-15	0.0002	-6	0.003	PNPLA4	8228	Hs.264	Xp22.3	GS2 gene
209705_at	-13	0.0002	-3	0.004	M96	22823	Hs.31016	1p22.1	likely ortholog of mouse metal response element binding transcription factor 2
204798_at	-22	0.0003	-3	0.004	MYB	4602	Hs.531941	6q22-q23	v-myb myeloblastosis viral oncogene homolog (avian)
202043_s_at	-4	0.0003	-2	0.004	SMS	6611	Hs.529887	Xp22.1	spermine synthase
205642_at	-10	0.0004	-3	0.02	CEP1	11064	Hs.246344	9q33-q34	centrosomal protein 1
37512_at	-90	0.0005	-80	0.003	RODH	8630	Hs.524513	12q13	3-hydroxysteroid epimerase
218645_at	-20	0.0005	-5	0.02	ZNF277	11179	Hs.489722	7q31.1	zinc finger protein (C2H2 type) 277
222102_at	-26	0.0007	-24	0.0003	GSTA3	2940	Hs.102484	6p12.1	glutathione S-transferase A3
210809_s_at	-17	0.0007	-17	0.02	POSTN	10631	Hs.136348	13q13.3	periostin, osteoblast specific factor
203374_s_at	-9	0.0008	-2	0.02	TPP2	7174	Hs.432424	13q32-q33	tripeptidyl peptidase II
205933_at	-8	0.0009	-7	0.03	SETBP1	26040	Hs.435458	18q21.1	SET binding protein 1
220269_at	-69	0.001	-30	0.001	FLJ23049	79740	Hs.478143	3q26.2	hypothetical protein FLJ23049
204720_s_at	-6	0.001	-2	0.01	DNAJC6	9829	Hs.536063	1pTER-q31.3	DnaJ (Hsp40) homolog, subfamily C, member 6
218769_s_at	-3	0.001	-2	0.002	ANKRA2	57763	Hs.239154	5q12-q13	ankyrin repeat, family A (RFXANK-like), 2
203690_at	-31	0.002	-11	0.02	TUBGCP3	10426	Hs.224152	13q34	tubulin, gamma complex associated protein 3
203659_s_at	-14	0.002	-4	0.01	RFP2	10206	Hs.436922	13q14	ret finger protein 2
202922_at	-11	0.002	-7	0.02	GCLC	2729	Hs.271264	6p12	glutamate-cysteine ligase, catalytic subunit
201645_at	-7	0.002	-9	0.02	TNC	3371	Hs.143250	9q33	tenascin C (hexabrachion)
203187_at	-5	0.002	-6	0.0003	DOCK1	1793	Hs.159195	10q26.13-q26.3	dedicator of cytokinesis 1
217810_x_at	-2	0.002	-2	0.01	LARS	51520	Hs.432674	5q32	leucyl-tRNA synthetase
219667_s_at	-36	0.003	-6	0.004	BANK1	55024	Hs.480400	4q24	B-cell scaffold protein with ankyrin repeats 1
215665_at	-14	0.003	-8	0.009	HSD3B1	3283	Hs.364941	1p13.1	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2
