Gene symbol	Z-score	P -value
RPK1	20.84	<1 e-20
PRKX	20.39	<1 e-20
MELK	19.76	<1 e-20
SRPK1	19.72	<1 e-20
PFKP	19.69	<1 e-20
EGFR	19.59	<1 e-20
LYN	19.57	<1 e-20
CHEK1	19.02	<1 e-20
BUB1	18.64	<1 e-20
DAPK1	18.5	<1 e-20
TTK	18.14	<1 e-20
YES1	17.86	<1 e-20
MAP4K4	17.81	<1 e-20
STK38	17.81	<1 e-20
RIPK4	17.43	<1 e-20
UCK2	17.02	<1 e-20
CXCL10	16.87	<1 e-20
PDXK	16.87	<1 e-20
SEPHS1	16.55	<1 e-20
IRAK1	16.51	<1 e-20
MALT1	16.43	<1 e-20
PLK1	15.89	<1 e-20
YWHAQ	15.46	<1 e-20
PGK1	15.2	<1 e-20
CDC7	15.19	<1 e-20
PTK7	15.16	<1 e-20
AK2	14.97	<1 e-20
UGP2	14.76	<1 e-20
LIMK2	14.52	<1 e-20
PIM1	14.44	<1 e-20
CDC2	14.36	<1 e-20
LCK	14.14	<1 e-20
MET	13.8	<1 e-20
EPHA2	13.73	<1 e-20
CCL2	13.59	<1 e-20
AURKB	13.49	<1 e-20
RPS6KA3	13.25	<1 e-20
EPHB6	13.03	<1 e-20
MAPK1	12.35	<1 e-20
MAP3K5	12.3	<1 e-20
EPHB2	12.2	<1 e-20
EPHB4	12.19	<1 e-20
CSK	12.18	<1 e-20
CCL4	10.86	<1 e-20
STK38L	10.8	<1 e-20
SGK	10.4	<1 e-20
RIOK3	9.93	2.2 e-20
VRK2	8.9	1 e-17
RPS6KA1	5.51	0.000000005
MAP4K2	5.15	0.00000008
RYK	4.55	0.0000008
PIK3CB	4.31	0.000009
