Genename	Accession#	FC 2 d	PValue	FC 14 d	PValue
Areg	AK018590	1.93	3.40E+213	6.48	0.00E+00
Arg1	NM_007482	2.46	3.30E+222	1.36	1.10E+205
Arg2	NM_009705	21.24	7.00E+206	1.57	1.30E+211
Ccl1	NM_011329	1.6	6.30E+215	1.97	2.50E+226
Ccl11	NM_011330	2.68	0.00E+00	21.12	1.10E+201
Ccl12	AK012356	3.44	0.00E+00	2.12	2.10E+221
Ccl19	BC051472	1.76	4.40E+225	21.02	7.60E+201
Ccl2	NM_011333	4.73	0.00E+00	1.62	1.20E+208
Ccl22	NM_009137	1.03	6.60E+202	1.04	9.40E+202
Ccl3	NM_011337	1.25	3.40E+203	1.04	6.40E+201
Ccl4	NM_013652	1.13	5.10E+202	21.74	7.50E+217
Ccl7	X70058	6.63	0.00E+00	1.21	1.60E+202
Ccl8	NM_021443	1.55	6.00E+206	2.46	5.00E+218
Ccl9	NM_011338	1.21	4.90E+205	2.04	1.30E+237
Ccr5	D83648	2.17	0.00E+00	2.2	0.00E+00
Chi3l3	NM_009892	21.51	2.90E+205	1.18	2.70E+204
Chi3l4	NM_145126	21.18	1.70E+201	2.41	7.40E+225
Cxcl10	NM_021274	1.99	1.00E+212	2.16	1.30E+222
Cxcl12	D43804	1.73	2.70E+230	1.92	0.00E+00
Cxcl2	NM_009140	2.46	1.70E+209	1.77	2.30E+209
Fosl1	NM_010235	2.4	1.70E+227	21.05	4.10E+201
Has1	NM_008215	2.32	3.20E+224	21.04	2.60E+201
Has2	NM_008216	3.33	6.00E+223	1.58	6.00E+213
IIGFi1	NM_010512	5.21	0.00E+00	3.43	0.00E+00
IL11	NM_008350	2.27	6.60E+220	1.07	7.60E+202
IL13	NM_008355	2.44	6.00E+236	1.73	8.00E+207
IL6	NM_031168	23.56	0.00E+00	6.14	0.00E+00
Lox	NM_010728	4.3	0.00E+00	2.45	0.00E+00
Mfap5	NM_015776	2.63	0.00E+00	4.43	0.00E+00
Pvr	NM_009310	1.5	1.20E+216	1.18	6.70E+210
Retnla	NM_020509	1.31	2.20E+201	2.52	1.90E+215
Retnlb	NM_023881	1.32	1.60E+219	1.14	2.00E+203
Snai1	NM_011427	2.42	0.00E+00	1.04	4.30E+201
Spp1	NM_009263	21.07	4.90E+201	2.46	1.60E+208
Tgfb1	NM_011577	5.66	0.00E+00	2.14	0.00E+00
Timp1	NM_011593	7.82	0.00E+00	2.98	0.00E+00
Tnfrsf18	NM_009400	1.11	3.40E+202	1.52	3.80E+211
Tnfsf18	NM_183391	17.08	0.00E+00	6.89	3.10E+225
Unq473	BC024561	1.94	0.00E+00	21.08	1.00E+201
