Symbol	Functions	Description	RWP 72 h
Arg1	Epithelial products	Arginase 1, liver	3.3
Itln2	Epithelial products	Intelectin 2	3.7
Muc5ac	Epithelial products	Mucin 5, subtypes A and C, tracheobronchial/gastric	2
Retnlb	Epithelial products	Resistin-like b	2.3
Scin	Epithelial products	Scinderin	2.1
Tff2	Epithelial products	Trefoil factor 2 (spasmolytic protein 1)	2.7
Ccl8	Chemokines	Chemokine (C-C motif) ligand 8	12.9
Ccl9	Chemokines	Chemokine (C-C motif) ligand 9	2.7
Ccl11	Chemokines	Small chemokine (C-C motif) ligand 11	3.7
Chi3l3	Inflammation	Chitinase 3-like 3	9.9
Chia	Inflammation	Chitinase, acidic	8.6
Ear2	Inflammation	Eosinophil-associated, ribonuclease A family, member 2	2.1
Itgax	Inflammation	Integrin aX	2.3
Il1rl1	Host immune response	IL-1 receptor–like 1	2.5
Pigr	Host immune response	Polymeric immunoglobulin receptor	3.3
S100a8	Host immune response	S100 calcium binding protein A8 (calgranulin A)	21.9
Ctss	Antigen presentation	Cathepsin S	2.1
Ctsk	Matrix homeostasis	Cathepsin K	1.9
Dcn	Matrix homeostasis	Decorin	22
Mmp12	Protease pathways	Matrix metalloproteinase 12	7.2
Mmp12	Protease pathways	Matrix metalloproteinase 12	5.8
Gatm	Arginine metabolism	Glycine amidinotransferase (L-arginine:glycine amidinotransferase)	2.1
C1qa	Complement pathway	Complement component 1, q subcomponent, apolypeptide	2.7
C1qg		Complement component 1, q subcomponent, gpolypeptide	2.3
Vav	Signaling	Vav 1 oncogene	4.4
Krt1-13	Cytoskeleton organization	Keratin complex 1, acidic, gene 13	21.9
Cdkn1c	Cell-cycle control	Cyclin-dependent kinase inhibitor 1C (P57)	21.9
Nupr1	Cell-cycle control	Nuclear protein 1	21.9
Crct1	Others	Cysteine-rich C-terminal 1	22
Eprs	Others	Glutamyl-prolyl-tRNA synthetase	22.2
Esd	Others	Esterase D/formylglutathione hydrolase	22.2
Fbp1	Others	Fructose bisphosphatase 1	2
U46068	Others	cDNA sequence U46068	3.3
AI324046	Immunoglobulins	Expressed sequence AI324046	6.8
Fcgbp	Immunoglobulins	Fc fragment of IgG binding protein	4.7
Fcgr2b	Immunoglobulins	Fc receptor, IgG, low-affinity IIb	2.3
Gm1067	Immunoglobulins	Gene model 1067 (NCBI)	2
Igh-1a	Immunoglobulins	Immunoglobulin heavy chain 1a (serum IgG2a)	2.6
Igh-4	Immunoglobulins	Clone L2MZB-13.5 immunoglobulin heavy chain variable region mRNA	3.6
Igh-4	Immunoglobulins	MusmusculusmRNA for rearranged immunoglobulin heavy chain V region (J558 Family) NR10	2.4
Igh-V3609N	Immunoglobulins	Immunoglobulin heavy chain (V3609N nonproductive)	6.5
Igh-V7183	Immunoglobulins	Immunoglobulin heavy chain (V7183 family)	2.5
Igh-VJ558	Immunoglobulins	Clone L2MZB-5.6 immunoglobulin heavy chain variable region mRNA, partial cds///immunoglobulin heavy chain  (J558 family)	1.9
Igk-V1	Immunoglobulins	Immunoglobulin kchain variable 1 (V1) /// immunoglobulin ka chain variable 1 (V1) /// clone L2MZB-24.1	4.3
Igk-V28	immunoglobulin heavy chain variable region mRNA	Mouse immunoglobulin aberrantly rearranged k-chain region downstream of J2 gene, from plasmacytoma 3886	2.5
Igk-V28	immunoglobulin heavy chain variable region mRNA	Anti-PC rearranged immunoglobulin kchain V-J region mRNA, hybridoma 31-23-1	2.7
Igk-V8	immunoglobulin heavy chain variable region mRNA	Immunoglobulin kchain variable 8 (V8)	7.5
Igl-V1	immunoglobulin heavy chain variable region mRNA	Immunoglobulin lchain, variable 1	3.1
LOC56304	immunoglobulin heavy chain variable region mRNA	Immunoglobulin kgene for immunoglobulin kchain, strain:BDF1. 375.81 monoclonal anti-DNA IgM k-chain	6.4
MGC60843Igh-6	variable region mRNA, partial cds	Unknown (protein for MGC:60843) immunoglobulin heavy chain 6 (heavy chain of IgM)	4.7
