Accession no.	Coordinate	Gene/protein name	Ratio
L38734	10 I	Ephrin–B2 precursor	0.62
M10051; X02160	12 E	Insulin receptor	0.72
M26880	1 A	Ubiquitin	0.76
X97057	20 J	WNT-10B precursor; Wnt-12	0.8
M65199	18 L	Endothelin ET2	1.25
X01057; X01058;  X01402	4 I	IL-2 receptor a subunit precursor (IL-2 receptor alpha subunit; IL2RA); TAC antigen; CD25	1.25
M73980	21 G	Neurogenic locus notch protein homolog 1 precursor (NOTCH 1); translocation-associated notch protein (TAN 1)	1.26
U04806; U03858	19 C	SL cytokine precursor, FLT3 ligand (FLT3LG)	1.29
M31159; M35878	11 O	Insulin-like growth factor-binding protein 3 precursor (IGFBP3)	1.33
U28811; U64791	17 G	Cysteine-rich fibroblast growth factor receptor; Golgi membrane sialoglycoprotein MG160 (GLGI)	1.34
U14188	10 K	Ephrin A3 precursor (EFNA3); EPH-related receptor tyrosine kinase ligand 3; LERK-3; EHK1L; EFL2	1.34
X74764	23 K	Neurotrophic tyrosine kinase receptor-related 3 TKT precursor	1.35
X53799	7 B	Macrophage inflamatory protein 2alpha-(MIP -2alpha); growth-regulated protein beta (GRO-beta)	1.36
L20861	20 H	Wnt –5a	1.36
M24545	7 D	Monocyte chemotactic protein 1 precursor (MCP1); monocyte chemotactic and activating factor – MCAF monocyte secretory protein JE; monocyte chemotactic protein 1; HC11; small inducible cytokine A2 (SCYA2)	1.37
Y00787	3 J	Monocyte-derived neutrophil chemotactic factor – (MDNCF); IL-8 precursor; T-cell chemotactic factor; neutrophil activating protein 1; lymphocyte-derived neutrophil activating protein; protein3-10C	1.38
M74178	6 L	Macrophage stimulating protein ( MSP); hepatocyte growth factor-like protein	1.38
X78686	7 E	Granulocyte chemotactic protein 2 (GCP2); neutrophil activating peptide ENA-78	1.38
L20471	22 F	Basigin precursor (BSG);leucocyte activation antigen M6; collagenase stimulatory factor; extracellular matrix metalloproteinase inducer (EMMPRIN); 5F7; CD147 antigen	1.38
X03438	6 J	Granulocyte colony –stimulating factor precursor (G-CSF); plutiprotein; CSF3	1.38
J03634	16 F	Erythroid differentiation protein	1.39
X01394	14 I	Tumour necrosis factor	1.4
M21121	7 F	RANTES proinflammatory cytokine	1.4
U32659	4 E	IL-17 precursor; cytotoxic T-lymphocyte- associated antigen 8 (CTLA8)	1.42
X04602; M14584		3 HIL-6 precursor; B-cell stimulatory factor 2 (BSF2); interferon beta-2 (IFNB2); hybridoma growth factor	1.43
X54936	18 N	Placenta growth factor precursor 1 and 2	1.46
U06863	22 H	Follistsatin-related protein precursor	1.46
K00558	1 E	Brain-specific tubulin alpha subunit	1.46
X14454	6 E	Interferon regulatory factor 1	1.47
X06233	6 I	MRP-14 (calcium binding protein in macrophages MIF-related)	1.48
U90875	12 L	Cytotoxic ligand TRAIL receptor	1.49
X72304	22 E	Beta thromboglobulin-like protein	1.5
M11220	6 K	Granulocyte-macrophage colony stimulating factor (GM-CSF)	1.54
D10924	22 M	Stromal cell derived factor 1 receptor (SDF1 receptor); fusin; CXCR4; leucocyte-derived seven transmembrane domain receptor (LESTR); LCR1	1.58
M95667 + M11730	18 G	ERBB2 receptor protein-tyrosine kinase; neu proteo-oncogene; c-erbB2 + HER2 receptor	1.59
M15530	6 G	B-cell growth factor (BCGF1)	1.59
D16431	22 K	Hepatoma-derived growth factor	1.59
M22489	15 J	Bone morphogenic protein 2a	1.63
L06801	4 B	IL-13 precursor; NC30	1.67
X06234	6 H	Migration inhibitory facto-related protein 8 (MRP-8) calcium-binding protein in macrophages MIF-related) calgranulina; leucococyte L1 complex light subunit; S100 calcium-binding protein A8; cystic fibrosis antigen (CFAG)	1.68
M32977; M27281	19 F	Vascular endothelial growth factor precursor (VEGF); vascular permeability factor (VPF)	1.69
D10923	22 L	G-protein-coupled receptor HM74	1.7
L15344	4 C	IL-14 precursor; high molecular weight B-cell growth factor	1.71
X56932	1 H	23-kD highly basic protein; 60S ribosomal protein LI3A	1.76
L08187	9 I	Cytokine receptor EB13	1.77
X53655; M37763	9 D	Neurotrophin-3 precursor (NT-3); neurotrophic factor (HDNF); nerve growth factor (NGF-2)	1.81
M60316	16 C	Bone morphogenic protein 7 precursor (BMP7); osteogenic protein 1(OP1)	1.82
M62402	12 D	Insulin-like growth factor binding protein 6 precursor (IGF-binding protein 6; IGFBP6;IBP6)	1.9
M19154; M22045; M22046; Y00083	15 G	TGFbeta-2 precursor; glioblastoma-derived T-cell suppressor factor; bsc-1 cell growth inhibitor; polyergin; cetermin	1.9
M61176	8 L	Brain-derived neutrophic factor (BDNF)	1.93
M96955 + M96956	18 B	TDGF1 + TDGF3 + CRGF; CRG	1.99
U84401	20 F	Smoothened; GX	2.18
X04434; M24599	12 F	IGF I receptor	2.21
M57627	3 L	IL-10 precursor; CSIF	2.25
M25667	10 E	Neuromodulin; axonal membrane protein GAP-43; PP46; protein F1; calmodulin-binding protein p57	2.33
M86528 + S41522 + S41540 + S41541	11 I	NT-4 NT-5 + NT6-alpha + NT6-beta + NT6-gamma	2.36
L00587	22 C	Calcitonin receptor	2.44
K02770	3 C	IL-1beta precursor; catabolin	2.44
M22488 + U50330	15 I	Bone morphogenetic protein 1 BMP1 + procollagen C-proteinase (pCP-2)	2.49
M35410	11 N	IGF BP-2	2.5
M32315 + M55994	14 K	TNF-receptor + TNF-receptor 2; TBP2	2.51
