Regulation	Gene	Intensity value: Uninfected -TPA	Intensity value: Uninfected +TPA	Intensity value: Infected -TPA	Intensity value: Infected +TPA	U+T/U	I+T/I	I/U	I+T/U+T
Up	CXCR4	450	17,840	2,600	8,510	7.7 (1)	3.2 (9)	NA	-4.9 (2)
Up	Thy1	750	25,980	750	12,840	5.6 (2)	5.9 (1)	NA	-2.9 (9)
Up	IL-8	4,890	18,520	10,230	9,450	5.4 (3)	NA	+2.1 (36)	-4.6 (3)
Up	MMP14	4,270	14,560	5,260	10,710	4.4 (4)	3.4 (6)	NA	NA
Up	Homeobox HB24	0	17,890	6,750	12,610	4.4 (5)	NA	+3.9 (9)	NA
Up	Proteasome inhibitor HP131	6,960	15,880	10,120	11,260	3.9 (6)	NA	NA	NA
Up	ITGB3 / CD61	9,220	17,690	15,330	9,570	3.7 (7)	NA	NA	NA
Up	GRK4	1,240	16,800	1,080	4,960	3.5 (8)	2.3 (33)	NA	-4.0 (5)
Up	Notch3	170	13,560	1,160	2,720	3.4 (9)	NA	NA	-4.4 (4)
Up	OX40L	9,140	16,600	11,820	14,420	3.3 (10)	NA	NA	-2.1 (31)
Up	Tight junction TJP1	3,390	10,540	6,260	8,000	2.9 (11)	NA	NA	NA
Up	Apoliprotein-D	12,630	33,120	10,800	20,780	2.9 (12)	2.5 (21)	NA	-2.1 (32)
Up	TIMP1	21,020	28,940	36,630	38,870	2.8 (13)	NA	+3.2 (13)	+3.6 (10)
Up	Inhibin  beta-B	370	4,580	1,880	3,480	2.9 (14)	NA	NA	-3.8 (7)
Up	ConnTiss GF	10,620	16,440	9,400	14,120	2.7 (15)	3.2 (12)	NA	NA
Up	Nucleotide diP kinase A	9,390	14,900	12,960	14,320	2.7 (16)	NA	NA	NA
Up	Oncostatin M	11,760	17,060	9,940	13,040	2.5 (17)	2.4 (25)	NA	NA
Up	WNT 13	8,390	13,900	6,940	9,420	2.5 (18)	NA	NA	-2.2 (29)
Up	Neuronal pentraxin II	0	2,870	1,100	5,230	2.5 (19)	4.2 (3)	NA	+2.5 (30)
Up	Amphiregulin	5,630	11,710	5,210	8,310	2.5 (20)	NA	NA	NA
Up	E-cadherin	3,900	8,690	3,570	10,660	NA	4.2 (4)	NA	+2.1 (47)
Up	MMP2	6,600	8,600	4,080	9,950	NA	3.2 (10)	NA	NA
Up	Beta1-Catenin	9,520	9,310	1,300	9,160	NA	2.6 (17)	+3.8 (8)	NA
Up	Amyloid A4	22,360	23,690	11,400	20,460	NA	4.7 (2)	+3.1 (15)	NA
Up	DCR3	30	970	2,380	9,210	NA	3.0 (13)	NA	+4.7 (5)
Up	Matrix G1a	11,760	11,410	8,020	12,500	NA	3.2 (12)	NA	NA
Up	Bcl3	570	4,470	4,030	10,840	NA	2.3 (28)	+2.1 (31)	+3.6 (12)
Down	Exodus 2	21,060	2,850	29,970	17,600	-6.9 (1)	-4.1 (4)	NA	+6.3 (2)
Down	Metallothionine H1	22,290	4,220	21,700	15,280	-6.3 (2)	NA	NA	+7.6 (1)
Down	BMP4	23,260	6,370	2,460	5,330	-5.6 (3)	NA	-7.1 (1)	NA
Down	MCP-R1	17,150	6,340	4,870	2,860	-5.0 (4)	NA	-6.4 (2)	NA
Down	RAD23A	15,090	5,550	12,530	11,780	-4.6 (5)	NA	NA	+5.4 (3)
Down	Estradiol 17 beta dih-2	9,530	1,370	2,420	3,330	-4.6 (6)	NA	-3.8 (9)	NA
Down	Connexin 37	10,190	2,720	1,140	3,780	-4.3 (7)	NA	-4.9 (3)	NA
Down	RAMP2	17,360	8,950	19,020	16,220	-4.0 (8)	NA	NA	+3.2 (16)
Down	EC multimerin	10,240	4,290	4,080	2,360	-4.0 (9)	NA	-3.1 (19)	NA
Down	MCP1	26,460	11,550	17,900	12,090	-3.9 (10)	NA	-2.0 (45)	NA
Down	VWF	23,940	11,630	20,040	17,720	-3.9 (11)	NA	NA	+2.4 (33)
Down	BMSA1	13,580	5,690	1,890	5,490	-3.8 (12)	NA	-4.8 (4)	NA
Down	Tropoelastin	8,100	2,160	7,780	1,080	-3.8 (13)	-4.5 (3)	NA	NA
Down	Purinergic receptor P2X4	9,950	4,020	5,070	5,530	-3.7 (14)	NA	-2.4 (31)	NA
Down	Corticotrophin CRF-R	14,430	6,300	6,740	5,190	-3.6 (15)	NA	-2.7 (21)	NA
Down	Skeletal muscle LIM1	11,750	5,240	2,840	1,580	-3.6 (16)	NA	-4.4 (6)	+3.0 (19)
Down	Receptor protein PM1	10,540	5,100	11,200	10,000	-3.4 (17)	NA	NA	+2.8 (20)
Down	Endo PAI-1	18,850	8,960	7,720	12,620	-3.3 (18)	3.2 (11)	-3.5 (11)	+3.1 (18)
Down	R-ras2 (TC21)	6,670	1,990	1,390	580	-3.3 (19)	NA	-3.1 (18)	NA
Down	Alpha-Actinin 1	11,720	6,610	12,990	9,120	-3.2 (20)	NA	NA	+1.8 (63)
Down	IGFBP10	7,430	4,820	2,300	3,840	-2.5 (33)	NA	-3.1 (17)	NA
Down	MIP3 beta	3,270	<0	8,590	<0	-2.2 (43)	-5.4 (1)	+2.6 (19)	NA
Down	Neurobindin	18,060	19,960	22,100	9,830	NA	-4.0 (5)	NA	-5.0 (1)
Down	Ubiquitin E2H10	2,020	3,900	10,300	4,300	NA	-3.2 (7)	+3.7 (10)	NA
Down	TGF beta4	2,430	<0	5,190	240	NA	-3.2 (11)	NA	NA
Down	Beta4-Integrin	7,240	4,970	8,120	4,150	-2.3 (37)	-2.9 (15)	NA	NA
Down	MCM5	8,190	7,120	13,880	6,840	NA	-3.2 (8)	+2.2 (28)	NA
Down	PCNA	5,860	7,150	9,530	5,330	NA	-2.4 (22)	NA	NA
Down	BMP6	10,630	6,620	2,810	5,740	-2.3 (36)	NA	-3.1 (16)	NA
Down	IRF7	2,580	940	7,100	2,960	NR	NR	+4.2 (7)	+3.2 (15)
