RNA1	Other base	Group recurrence (n=37) Mean (range; standard deviation)	Group recurrence (n=37) Variance	Group recurrence (n=37) Median	Group no recurrence (n=40) Mean (range; standard deviation)	Group no recurrence (n=40) Variance	Group no recurrence (n=40) Median	Wilcoxon sum rank test2 W	Wilcoxon sum rank test2 P	Welchs t test3 Absolute t	Welchs t test3 Degrees of freedom	Welchs t test3 P
hsa-let-7a		1.5 (0.08-4.22; 1.01)	1.02	1.38	1.04 (0.06-5.33; 1.21)	1.46	0.54	1281	0.0044	1.81	74	0.0738
hsa-let-7a-2		0.79 (0.42-1.15; 0.18)	0.03	0.8	0.84 (0.56-1.24; 0.17)	0.03	0.84	1640	0.4147	1.17	73	0.2387
hsa-let-7b		1.37 (0.1-4.15; 0.89)	0.8	1.17	1 (0.1-5.39; 1.03)	1.07	0.71	1291	0.0061	1.68	74	0.095
hsa-let-7c		1.21 (0.21-2.26; 0.42)	0.17	1.19	1.03 (0.39-2.48; 0.43)	0.18	0.98	1340	0.0249	1.89	74	0.0647
hsa-let-7d		1.19 (0.46-2.69; 0.5)	0.25	1.14	0.96 (0.39-2.93; 0.53)	0.28	0.77	1303	0.0088	2.01	74	0.048
hsa-let-7d		1.08 (0.79-1.63; 0.22)	0.05	1.02	1.09 (0.69-2.44; 0.36)	0.13	1.01	1510	0.6102	0.27	64	0.7986
hsa-let-7e		1.14 (0.74-1.65; 0.21)	0.05	1.13	1.07 (0.74-1.65; 0.2)	0.04	1.02	1401	0.105	1.5	73	0.1352
hsa-let-7i		1.43 (0.17-3.54; 0.81)	0.66	1.27	0.88 (0.14-5.02; 0.89)	0.79	0.62	1201	0.0003	2.83	74	0.0047
hsa-mir-1		1.24 (0.7-2.11; 0.39)	0.15	1.21	0.98 (0.48-1.51; 0.26)	0.07	0.96	1277	0.0039	3.4	63	0.001
hsa-mir-100		1.39 (0.2-5.37; 1.13)	1.27	1.08	0.79 (0.2-4.27; 0.66)	0.43	0.67	1240	0.0011	2.81	57	0.0036
hsa-mir-101		1.46 (0.39-5.81; 1)	1.01	1.23	0.9 (0.15-2.68; 0.62)	0.38	0.85	1239	0.0011	2.93	58	0.0028
hsa-mir-103		1.3 (0.59-2.58; 0.47)	0.22	1.19	1.04 (0.6-2.6; 0.44)	0.19	0.85	1263	0.0025	2.56	73	0.0127
hsa-mir-105		1.45 (0.35-7.65; 1.25)	1.57	1.07	0.77 (0.19-2.34; 0.54)	0.29	0.63	1173	0.0001	3.05	47	0.0001
hsa-mir-106a		1.23 (0.22-5.59; 1.17)	1.36	0.77	0.88 (0.13-12.93; 2.04)	4.14	0.3	1211	0.0004	0.95	63	0.4135
hsa-mir-106b		1.37 (0.17-5.56; 1.03)	1.06	1.15	0.82 (0.15-5; 0.86)	0.74	0.5	1246	0.0014	2.52	70	0.0098
hsa-mir-107		1.22 (0.66-2.33; 0.36)	0.13	1.15	1.14 (0.74-2.02; 0.38)	0.14	0.94	1421	0.1564	0.95	74	0.3421
hsa-mir-10a		1.48 (0.37-10.89; 1.77)	3.14	1.06	0.96 (0.23-6.28; 1.02)	1.04	0.7	1282	0.0046	1.56	56	0.1188
hsa-mir-124-1		0.98 (0.42-2.07; 0.41)	0.16	0.88	1.15 (0.27-6.01; 0.99)	0.98	0.91	1555	0.9593	0.98	52	0.3692
hsa-mir-124-2		1.09 (0.57-2.42; 0.37)	0.14	1	1.09 (0.56-3.06; 0.47)	0.22	0.98	1524	0.7136	0.02	73	0.9869
hsa-mir-125a		1.22 (0.96-1.74; 0.18)	0.03	1.2	1.36 (0.77-2.1; 0.31)	0.1	1.35	1751	0.0515	2.35	63	0.0225
hsa-mir-125a		1.39 (0.38-3.59; 0.76)	0.58	1.2	0.9 (0.51-1.82; 0.31)	0.1	0.81	1235	0.0009	3.64	46	0.0005
hsa-mir-125b-1		1.62 (0.16-7.24; 1.47)	2.15	1.29	0.87 (0.3-2.47; 0.5)	0.25	0.75	1291	0.0061	2.97	43	0.0016
hsa-mir-125b-1		1.04 (0.67-1.83; 0.31)	0.09	0.96	1.35 (0.59-2.45; 0.48)	0.23	1.24	1869	0.0016	3.44	66	0.0011
hsa-mir-125b-2		0.9 (0.66-1.16; 0.11)	0.01	0.91	1.02 (0.58-2.19; 0.27)	0.07	0.96	1790	0.019	2.71	53	0.0045
hsa-mir-126		1.57 (0.25-4.33; 1.02)	1.05	1.17	0.9 (0.14-2.93; 0.74)	0.54	0.63	1238	0.001	3.28	64	0.0014
hsa-mir-126		1.38 (0.43-3.21; 0.72)	0.52	1.08	0.89 (0.2-2.37; 0.49)	0.24	0.87	1264	0.0025	3.48	63	0.0009
hsa-mir-129-1		0.89 (0.49-1.82; 0.29)	0.08	0.83	1.19 (0.58-2.39; 0.42)	0.18	1.25	1870	0.0016	3.66	69	0
hsa-mir-129-2		1.13 (0.62-2.75; 0.35)	0.12	1.07	1 (0.67-1.8; 0.22)	0.05	0.98	1316	0.0129	2.09	59	0.0308
hsa-mir-130a		1.68 (0.33-9.21; 1.7)	2.89	1.23	0.78 (0.23-2.54; 0.63)	0.4	0.47	1181	0.0001	3.04	45	0.0007
hsa-mir-130b		0.99 (0.59-2.18; 0.32)	0.1	0.91	1 (0.52-1.81; 0.28)	0.08	0.97	1634	0.4506	0.26	71	0.7914
hsa-mir-130b		1.09 (0.61-1.77; 0.3)	0.09	1.1	1.25 (0.71-2.4; 0.38)	0.14	1.17	1732	0.0795	2.06	73	0.045
hsa-mir-136		1.4 (0.9-2.65; 0.28)	0.08	1.36	1.41 (0.89-2.57; 0.32)	0.1	1.37	1572	0.9026	0.16	74	0.8741
