Symbol	Function	Description	RWP	HDM	IL-4 1IL-13
Itlnb	Secreted epithelial products	Intelectin b	3.7	5.7	3.5
Muc5ac	Secreted epithelial products	Mucin 5, subtypes A and C, tracheobronchial/gastric	2.1	3	2.4
Retnlb	Secreted epithelial products	Resistin-like b	2.5	6.3	2.8
Clca3	Ion channels/transporters	Chloride channel calcium activated 3	41.3	26.9	29
Ccl8	Chemokines	Chemokine (C-C motif) ligand 8	12.8	23.4	9.9
Ccl9	Chemokines	Chemokine (C-C motif) ligand 9	2.7	5.7	5
Ccl11	Chemokines	Small chemokine (C-C motif) ligand 11	3.6	8.4	4.1
C1qa	Classical complement pathway	Complement component 1, q subcomponent, apolypeptide	2.7	3.5	2.6
C1qg	Classical complement pathway	Complement component 1, q subcomponent, gpolypeptide	2.3	2.9	2.5
Chi3l3	Inflammation	Chitinase 3–like 3	9.9	10.7	5.2
Chia	Inflammation	Chitinase, acidic	8.2	9.9	8.2
Ear2	Inflammation	Eosinophil-associated, ribonuclease A family, member 2	2	2.3	2.5
Itgax	Inflammation	Integrin aX	2.2	2.5	3.1
Scin	Inflammation	Scinderin	2.1	3.1	2.1
Mmp12	Protease pathways	Matrix metalloproteinase 12	7.2	16.6	22.1
Serpina3g	Protease pathways	Serine (or cysteine) proteinase inhibitor, clade A, member 3G	3.3	6.3	5.2
Arg1	Arginine metabolism	Arginase 1, liver	3.2	9	12.6
Gatm	Arginine metabolism	Glycine amidinotransferase (L-arginine:glycine amidinotransferase)	2.1	4.2	3.7
Fcgbp	Receptors	RIKEN cDNA A430096B05 gene	4.8	5.8	2.7
Fcgr2b	Receptors	Fc receptor, IgG, low affinity IIb	2.4	5.4	3.5
Pigr	Receptors	Polymeric immunoglobulin receptor	3.3	4.3	2.8
Fbp1	Others	Fructose bisphosphatase 1	2.1	2.7	6.2
Zbtb16	Others	Zinc finger and BTB domain containing 16	24.4	22.2	22.1
