Accession ID	Gene name	Fold change	P
AA155913	Matrix Gla protein	7.4	0.012
AA459308	Elastin (supravalvular aortic stenosis, Williams-Beuren syndrome)	7.1	0.0003
R06438	Homo sapiens cDNA: FLJ22300 fis, clone HRC04759	7	0.0059
AA126989	Myosin, heavy polypeptide 11, smooth muscle	6.9	0.002
AA459394	LIS1-interacting protein NUDE1, rat homolog	6.1	0.0018
AA156947	Sirtuin 4	5.4	0.0017
AA488073	Mucin 1, transmembrane	4.7	0.019
N91811	ESTs	4.4	0.02
AA134871	Fibulin 1, transcript variant D	4.3	0.012
AA455925	Four and a half LIM domains 1	4.3	0.014
R09729	Serum deprivation response	4.2	0.0025
AA496022	Microfibrillar-associated protein 4	4.1	0.0091
AA070226	Selenoprotein P, plasma, 1	4	0.0027
AA463926	Protein phosphatase 1, regulatory (inhibitor) subunit	4	0.005
R67283	ESTs	3.9	0.0005
AA478066	Membrane-associated tyrosine- and threonine-specific	-2.7	0.0002
N70010	Homo sapiens, similar to RIKEN cDNA 2610036L13 gene	-2.7	0.0078
AA873159	Apolipoprotein C-I	-2.7	0.046
AA663995	Minichromosome maintenance deficient (mis5, S. pombe)	-2.8	0.0012
AA682321	NIMA (never in mitosis gene a)-related kinase 2	-2.8	0.0054
AA071486	Serine/threonine kinase 12	-2.9	0.0013
AA629262	Polo (Drosophia)-like kinase	-2.9	0.0056
AA457034	V-myb avian myeloblastosis viral oncogene homolog-like 2	-2.9	0.028
H59260	Cell division cycle 25A	-3	0.0063
AA448261	High-mobility group protein	-3	0.013
AA419177	Solute carrier family 7, member 5	-3	0.049
AA446462	Budding uninhibited by benzimidazoles 1	-3.1	0.0024
N30069	ESTs	-3.1	0.015
AA136566	Forkhead box M1	-3.4	0.0014
R00707	Stearoyl-CoA desaturase (delta-9-desaturase)	-3.7	0.014
