Accession	Fold Change	Gene	Function
AF016503	2,2	Procollagen	ECM
X70369	-1,5	Pro-alpha-1 collagen type	ECM
S67620	-2,1	Collagen alpha-1 type IX	ECM
AJ005396	-4,0	Collagen alpha-1 type XI	ECM
M21354	-1,8	Collagen alpha-1 type III	ECM
U82612	-1,1	Fibronectin	ECM
X05834	1,1	Fibronectin	ECM
M28259	-2,3	Fibronectin exon 2b+3a	ECM
S72407	4,0	Laminin M subunit	ECM
X94551	-1,1	Laminin gamma-1	ECM
U09401	1,6	Tenascin	ECM
U15550	2,0	Tenascin C	ECM
U24489	1,5	Tenascin X	ECM
E01884	10,8	IL-1Beta	Cytokines
M26744	9,2	IL-6	Cytokines
AF010464	4,6	IL-7	Cytokines
AF015719	-1,0	IL-15	Cytokines
AJ222813	2,2	IL-18	Cytokines
M31076	2,5	TGFalpha	Cytokines
X52498	2,9	TGFBeta1	Cytokines
M96643	-9,9	TGFBeta2	Cytokines
AF016901	2,3	TGFBeta binding protein 2	Cytokines
AF016900	-1,3	TGFBeta binding protein 3	Cytokines
E03190	3,7	HGF	Cytokines
Z14120	-6,2	PDGF-A	Cytokines
Z14117	-7,0	PDGF-B	Cytokines
Afo67727	1,0	Smad1	Signal-Transduction
AB017912	-1,4	Smad2	Signal-Transduction
AF042499	12,7	Smad7	Signal-Transduction
AF012347	2,8	Smad8	Signal-Transduction
M61177	-1,0	ERK1	Signal-Transduction
M64301	1,1	ERK3	Signal-Transduction
AJ005424	-1,5	ERK5	Signal-Transduction
X52140	-3,3	alpha-1	Integrins
AF020046	2,5	alpha-E2	Integrins
U59801	3,9	alpha-M	Integrins
S58528	-1,1	alpha-v	Integrins
S44606	1,8	Beta	Integrins
S58529	7,9	Beta-3	Integrins
S58644	-1,0	Beta-5	Integrins
AF017437	2,8	Integrin-associated protein	Integrins
L26110	-8,3	TGFBetaR type I	Cytokine Receptors
Z14119	-12,3	PDGFRBeta	Cytokine Receptors
S54008	-1,8	FGFR1Beta	Cytokine Receptors
D12498	-1,1	FGFR1	Cytokine Receptors
M27293	-1,5	IGFRI	Cytokine Receptors
S79263	2,0	IL-3RBeta	Cytokine Receptors
S48190	2,2	ActivinR	Cytokine Receptors
AF056034	-3,9	F-actin	Intermediate filaments
X06801	-2,4	alpha-actin	Intermediate filaments
U19893	-1,7	alpha-actin	Intermediate filaments
AB11365	-5,4	PPARgamma	Intermediate filaments
