Probe name	Gene symbol	GenBank accession no.	Description	NDL (mean) (n=14)	HBT (mean) (n=16)	NDL/HBT	P
1175_s_at	CYP2C8	NM_000770	Cytochrome P450 2C8	5359.4	273.8	19.6	<0.001
1350_at	CYP4F2	U02388	Cytochrome P450 4F2	1036.3	156.2	6.6	<0.001
1494_f_at	CYP2A6	M33318	Cytochrome P450, subfamily IIA (phenobarbital-inducible), polypeptide 6	5382.4	871.5	6.2	<0.001
1492_f_at	CYP2A7	M33317	Cytochrome P450, subfamily IIA (phenobarbital-inducible), polypeptide 7, isoform 1	3456.9	597.3	5.8	<0.001
926_at	MT1G	J03910	Metallothionein-IG	6323.3	1115.2	5.7	<0.001
1756_f_at	CYP3A4	NM_000776	Cytochrome P450, CYP3A4	4928.1	1157.2	4.3	<0.001
1455_f_at	CYP2C9	M61855	Cytochrome P450, subfamily IIC, polypeptide 9	3355	821.8	4.1	<0.001
844_at	PPP1R1A	U48707	Protein phosphatase-1 inhibitor	851.4	215.6	3.9	<0.001
1554_f_at	CYP2A13	U22028	Cytochrome P450, subfamily IIA (phenobarbital-inducible), polypeptide 13	942.6	252.2	3.7	<0.001
374_f_at	DDT	NM_001355	D-dopachrome tautomerase	3466.4	1119.4	3.1	<0.001
1737_s_at	IGFBP4	M62403	Insulin-like growth factor binding protein 4	4998.1	1703.6	2.9	<0.001
105_at	NR1I3	Z30425	Orphan nuclear hormone receptor	490.9	168.2	2.9	<0.001
404_at	CD124, IL4R	X52425	Interleukin 4 receptor precursor	732.8	270.6	2.7	<0.001
