Symbol	Accession No.	Sequence Description	10A	H	N	Log2N/10A	Log2H/10A	Comparison
PRG1	NM_002727	Proteoglycan 1, secretory granule	0.16	1.14	5.48	5.12	2.85	N>H>10A
VIM	NM_003380	Vimentin	0.05	1	1.46	4.83	4.28	N>H>10A
VIM	NM_003380	Vimentin	0.07	1.01	1.48	4.46	3.91	N>H>10A
SECTM1	NM_003004	Secreted and transmembrane 1	0.1	1.03	1.94	4.28	3.37	N>H>10A
FN1	NM_002026	Fibronectin 1	0.14	1	2.57	4.17	2.8	N>H>10A
A24P596251		Unknown	0.15	0.99	1.29	3.07	2.69	N>H>10A
TIMP1	NM_003254	TIMP metallopeptidase inhibitor 1	0.35	1.01	2.62	2.92	1.54	N>H>10A
DUSP23	NM_017823	hypothetical protein FLJ20442	0.38	1	2.36	2.62	1.38	N>H>10A
CTGF	NM_001901	Connective tissue growth factor	0.59	0.96	3.38	2.53	0.71	N>H>10A
TNFSF7	NM_001252	Tumor necrosis factor (ligand) superfamily	0.25	1	1.46	2.52	1.97	N>H>10A
C14orf172	NM_152307	Chromosome 14 open reading frame 172	0.29	1.02	1.64	2.5	1.83	N>H>10A
ALOX5AP	NM_001629	Arachidonate 5-lipoxygenase-activating protein	0.47	0.97	2.38	2.34	1.06	N>H>10A
IGFBP7	NM_001553	Insulin-like growth factor binding protein 7	0.53	0.99	2.61	2.29	0.89	N>H>10A
A23P255111		Unknown	0.56	0.97	2.23	2	0.8	N>H>10A
LTBP1	NM_000627	Latent transforming growth factor Beta binding protein	0.44	1.04	1.74	1.98	1.22	N>H>10A
FBN1	NM_000138	Fibrillin 11	0.56	1.05	2.2	1.96	0.9	N>H>10A
DUSP1	NM_004417	Dual specificity phosphatase 1	0.49	1	1.74	1.84	1.03	N>H>10A
GPSM1	AL117478	Likely orthologue of rat activator of G-protein signaling 3	0.54	1.02	1.86	1.79	0.92	N>H>10A
QSCN6	NM_002826	Quiescin Q6	0.52	0.99	1.8	1.78	0.92	N>H>10A
PSCA	NM_005672	Prostate stem cell antigen	0.46	1.01	1.74	1.74	1.12	N>H>10A
