Affymetrix ID	Class	Score	99th percentile	Fold change	Name	description
204562_at	ABC	0.51	0.46	2.3	IRF4	interferon regulatory factor 4
210564_x_at	ABC	0.46	0.37	1.4	CFLAR	CASP8 and FADD-like apoptosis regulator
200951_s_at	ABC	0.43	0.32	4	CCND2	cyclin D2
212063_at	ABC	0.43	0.29	1.7	CD44	CD44 antigen (homing function and Indian blood group system)
209939_x_at	ABC	0.42	0.28	1.8	CFLAR	CASP8 and FADD-like apoptosis regulator
214661_s_at	ABC	0.41	0.26	1.4	C4orf9	gene near HD on 4p16.3 with homology to hypothetical S. pombe gene
200953_s_at	ABC	0.4	0.25	1.8	CCND2	cyclin D2
205207_at	ABC	0.39	0.24	1.9	IL6	interleukin 6 (interferon, beta 2)
200952_s_at	ABC	0.34	0.23	1.5	CCND2	cyclin D2
211316_x_at	ABC	0.34	0.23	1.3	CFLAR	CASP8 and FADD-like apoptosis regulator
239629_at	ABC	0.32	0.22	1.4	CFLAR	CASP8 and FADD-like apoptosis regulator
237367_x_at	ABC	0.31	0.22	1.4	CFLAR	CASP8 and FADD-like apoptosis regulator
211269_s_at	ABC	0.3	0.21	1.4	IL2RA	interleukin 2 receptor, alpha
204489_s_at	ABC	0.29	0.2	1.7	CD44	CD44 antigen (homing function and Indian blood group system)
201694_s_at	ABC	0.28	0.2	1.5	EGR1	early growth response 1
203685_at	ABC	0.28	0.19	1.7	BCL2	B-cell CLL/lymphoma 2
217523_at	ABC	0.27	0.19	1.8	CD44	ESTs, Highly similar to CD44_HUMAN CD44 antigen precursor (Phagocytic glycoprotein I) (P(
200704_at	ABC	0.26	0.18	1.3	LITAF
210563_x_at	ABC	0.26	0.18	1.6	CFLAR	CASP8 and FADD-like apoptosis regulator
206337_at	ABC	0.24	0.17	1.7	CCR7	chemokine (C-C motif) receptor 7
209508_x_at	ABC	0.24	0.17	1.3	CFLAR	CASP8 and FADD-like apoptosis regulator
229221_at	ABC	0.22	0.16	1.6	CD44	CD44 antigen (homing function and Indian blood group system)
204429_s_at	ABC	0.22	0.16	1.3	SLC2A5	solute carrier family 2 (facilitated glucose/fructose transporter), member 5
208485_x_at	ABC	0.21	0.16	1.3	CFLAR	CASP8 and FADD-like apoptosis regulator
209835_x_at	ABC	0.2	0.16	1.7	CD44	CD44 antigen (homing function and Indian blood group system)
211317_s_at	ABC	0.19	0.15	1.3	CFLAR	CASP8 and FADD-like apoptosis regulator
212014_x_at	ABC	0.19	0.14	1.8	CD44	CD44 antigen (homing function and Indian blood group system)
227404_s_at	ABC	0.16	0.14	1.6	EGR1	EGR1
204430_s_at	ABC	0.15	0.13	1.5	SLC2A5	solute carrier family 2 (facilitated glucose/fructose transporter), member 5
207861_at	ABC	0.14	0.13	3.5	CCL22	chemokine (C-C motif) ligand 22
209949_at	ABC	0.12	0.12	1.3	NCF2	neutrophil cytosolic factor 2 (65kDa, chronic granulomatous disease, autosomal 2)
