Gene symbol	Gene name	Reference	Fold change	P-value	NF-kB target	Color
FMR2	Fragile X mental retardation 2	Alizadeh et al., 2000	-13.2	6.76E-18	No	Green
JNK3 / MAPK10	Mitogen-activated protein kinase 10	Alizadeh et al., 2000	-7.62	4.93E-14	No	Green
MME / CD10	Membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)	Wright et al., 2003/ Alizadeh et al., 2000	-6.17	?E-46	No	Green
RGC32	Response gene to complement 32	Ngo et al., 2000	-2.62	7.75E-31	No	Green
CD38	CD38 antigen (p45)	Alizadeh et al., 2000	-2.33	2.30E-38	Yes	Green
CD27 / TNFRSF7	Tumor necrosis factor receptor superfamily, member 7	Alizadeh et al., 2000	-2.32	2.46E-38	No	Green
PIK3CG	Phosphoinositide-3-kinase, catalytic, gamma polypeptide	Alizadeh et al., 2000	-2.22	1.63E-20	No	Green
SERPINA9	Serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 9	Wright et al., 2003	-1.91	6.50E-11	No	Green
PCDHGC3	Protocadherin gamma subfamily C, 3	Alizadeh et al., 2000	-1.81	0.38	No	None
GCET2	Germinal center expressed transcript 2	Ngo et al., 2000	-1.75	4.16E-10	No	Green
RASGEF1B	Homo sapiens RasGEF domain family, member 1B (RASGEF1B), mRNA [NM_152545]	Ngo et al., 2000	-1.67	0.01	No	None
MGC2463	Hypothetical protein MGC2463	Ngo et al., 2000	-1.65	?E-46	No	Green
GCNT1	Glucosaminyl (N-acetyl) transferase 1, core 2 (beta-1,6-N-acetylglucosaminyltransferase)	Ngo et al., 2000	-1.51	0.02	No	None
BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	Wright et al., 2003/ Alizadeh et al., 2000	-1.47	0.03	No	None
PRKACB	Protein kinase, cAMP-dependent, catalytic, beta	Ngo et al., 2000	-1.46	2.40E-09	No	Green
Myo1C	Myosin IC	Alizadeh et al., 2000	-1.41	9.19E-06	No	Green
A-Myb	Myb-related protein A	Alizadeh et al., 2000	-1.37	0.01	No	None
RGS13	Regulator of G-protein signalling 13	Alizadeh et al., 2000	-1.29	?E-46	No	Green
WIPF1	WAS/WASL interacting protein family, member 1	Alizadeh et al., 2000	-1.27	?E-46	No	Green
MYBL1	V-myb myeloblastosis viral oncogene homolog (avian)-like 1	Wright et al., 2003	-1.26	0.2	No	None
OGG1	8-oxoguanine DNA glycosylase	Alizadeh et al., 2000	-1.23	?E-46	No	Green
KCNN3	Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3, transcript variant 1	Alizadeh et al., 2000	-1.19	0.03	No	None
PRKCD	Protein kinase C, delta	Alizadeh et al., 2000	-1.19	0.02	No	None
TTC9	Tetratricopeptide repeat protein 9 (TPR repeat protein 9) (Fragment). [Source:Uniprot/SWISSPROT;Acc:Q92623] [ENST00000256367]	Ngo et al., 2000	-1.18	0.02	No	None
DENND3	DENN/MADD domain containing 3	Wright et al., 2003	-1.16	0.81	No	None
CD22	CD22 antigen	Alizadeh et al., 2000	-1.15	0.01	No	None
USP34	Ubiquitin specific protease 34	Ngo et al., 2000	-1.13	0.22	No	None
JAW1 / LRMP	Lymphoid-restricted membrane protein	Alizadeh et al., 2000	-1.13	0.59	No	None
LRMP	Lymphoid-restricted membrane protein	Wright et al., 2003/ Alizadeh et al., 2000	-1.13	0.59	No	None
FAM3C	Family with sequence similarity 3, member C	Wright et al., 2003	-1.11	0.39	No	None
VPREB3	Pre-B lymphocyte gene 3	Ngo et al., 2000	-1.1	0.06	No	None
DNMT1	DNA (cytosine-5-)-methyltransferase 1	Alizadeh et al., 2000	-1.08	0.19	No	None
SPINK2	Serine protease inhibitor, Kazal type 2 (acrosin-trypsin inhibitor) (SPINK2), mRNA [NM_021114]	Wright et al., 2003	-1.08	0.49	No	None
SH2B	SH2-B homolog	Alizadeh et al., 2000	-1.07	0.52	No	None
PKHD1L1	Polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1	Ngo et al., 2000	-1.05	0.63	No	None
ALOX5	Arachidonate 5-lipoxygenase	Alizadeh et al., 2000	-1.02	0.87	No	None
RAD50	RAD50 homolog (S. cerevisiae)	Alizadeh et al., 2000	-1.02	0.81	No	None
POLB	Homo sapiens polymerase (DNA directed), beta	Alizadeh et al., 2000	-1	1	No	None
DGKQ	Diacylglycerol kinase, theta 110kDa	Alizadeh et al., 2000	1	0.99	No	None
CSNK1G2	Casein kinase 1, gamma 2	Alizadeh et al., 2000	1.01	0.88	No	None
NEK6	NIMA (never in mitosis gene a)-related kinase 6	Wright et al., 2003	1.01	0.91	No	None
ABR	Active BCR-related gene , transcript variant 1	Alizadeh et al., 2000	1.03	0.73	No	None
IRS1	Insulin receptor substrate 1	Alizadeh et al., 2000	1.03	0.82	No	None
BMP7	Bone morphogenetic protein 7 (osteogenic protein 1) (BMP7), mRNA [NM_001719]	Ngo et al., 2000	1.05	0.51	No	None
MAP4K3	Mitogen-activated protein kinase kinase kinase kinase 3	Alizadeh et al., 2000	1.05	0.64	No	None
RPD3L1 / HDAC1	Histone deacetylase 1	Alizadeh et al., 2000	1.05	0.32	No	None
PAG	Phosphoprotein associated with glycosphingolipid-enriched microdomains	Ngo et al., 2000	1.06	0.57	No	None
CSTB	Cystatin B (stefin B)	Wright et al., 2003	1.07	0.27	No	None
CCNH	Cyclin H	Alizadeh et al., 2000	1.09	0.37	No	None
USP30	Ubiquitin specific protease 30	Ngo et al., 2000	1.09	0.19	No	None
PTK2	Protein tyrosine kinase 2, transcript variant 1	Ngo et al., 2000	1.09	0.21	No	None
MAP2K1 / MEK1	Mitogen-activated protein kinase kinase 1	Alizadeh et al., 2000	1.12	0.13	No	None
ITPKB	Inositol 1,4,5-trisphosphate 3-kinase B	Wright et al., 2003	1.12	0.13	No	None
ICK	Intestinal cell (MAK-like) kinase, transcript variant 2	Alizadeh et al., 2000	1.14	0.33	No	None
VCL	Vinculin (VCL), transcript variant 1	Wright et al., 2003	1.14	0.17	No	None
GNG7	Guanine nucleotide binding protein (G protein), gamma 7	Ngo et al., 2000	1.19	0.05	No	None
LMO2	LIM domain only 2 (rhombotin-like 1)	Alizadeh et al., 2000	1.42	?E-46	No	Pink
KIAA0093 / NEDD4	Neural precursor cell expressed, developmentally down-regulated 4	Alizadeh et al., 2000	1.45	?E-46	No	Pink
