Name	Accession numbers	Average fold change	Stdev
c-syn protooncogene (Fyn)	M14333	39.58	3.35
T-cell specific protein	X00437	32.42	20.76
SCM-1beta precursor	D63789	22.1	21.19
Aachaete scute homologous protein (ASH1)	L08424	16.12	6.4
Hemopoietic cell protein-tyrosine (Hck)	M16591	15.55	15.37
Orphan G protein-coupled receptor	L06797	14.42	9.15
KET protein	Y16961	8.6	3.19
KIAA0238	D87075	7.28	2.2
cAMP response element-binding protein (CRE-BP1)	L05515	6.83	1.33
T-cell receptor active beta-chain	M12886	6.22	3.56
Human helix-loop helix basic phosphoprotein (G0S8)	L13463	5.97	2.47
Dermatan/chrondroitin sulfate 2-sulfotransferase	AB020316	5.97	2.94
T cell factor 1 TCF-1	X59871	5.72	3.16
Human dioxin-inducible cytochrome P450 (CYP1B1)	U03688	5.6	2.59
H. sapiens pilot mRNA /cds	X63741	5.55	3.19
Homo sapiens cDNA, 3 end /clone	AI799757	5.47	1
NAD+-dependent succinic semialdehyde dehydrogenase (SSADH, EC 1.2.1.24)	AL031230	5.42	2.9
Homo sapiens C-terminal binding protein 2 mRNA	AF016507	5.37	1.64
KIAA0343	AB002341	5.03	0.66
KIAA1025	AB028948	4.9	1.73
Gem GTPase (gem)	U10550	4.25	1.09
IL-12 receptor beta2	U64198	4	0.64
CBL-B	U26710	3.88	0.68
KIAA0966	AB023183	3.43	1.09
BLK, protein tyrosine kinase	S76617	3.37	0.29
Small GTP-binding protein	U57094	3.33	0.92
Non-lens beta gamma-crystallin like protein (AIM1)	U83115	3.03	0.72
OS-4 protein (OS-4)	AF000152	3.03	1.22
Homo sapiens cDNA, 3 end /clone	AI800499	2.87	0.39
Neuronal tissue-enriched acidic protein (NAP-22)	AF039656	2.8	0.59
Human transcription factor (E2A)	M31523	2.75	0.41
MIC2	M16279	2.38	0.29
Integrin beta 1 subunit	X07979	2.35	0.29
G protein-coupled receptor (EBI 1)	L31584	2.33	0.37
