Unique IL-4 or Unique IL-13	Symbol	Function	Description	IL-4 1IL-13	IL-4	IL-13
Unique IL-4–inducible genes	Ccl17	Chemokines	Chemokine (C-C motif) ligand 17	4.3	5.8	1.4
Unique IL-4–inducible genes	Ccr5	Chemokines	Chemokine (C-C motif) receptor 5	5.4	4	1.1
Unique IL-4–inducible genes	Atf3	Host immune responses	Activating transcription factor 3	3	2.5	1.4
Unique IL-4–inducible genes	Cd83	Host immune responses	CD83 antigen	2.2	2.1	1.2
Unique IL-4–inducible genes	Fcgr2b	Host immune responses	Fc receptor, IgG, low affinity IIb	3.5	2.9	1.4
Unique IL-4–inducible genes	Igtp	Host immune responses	IFN-g–induced GTPase	2.5	2.9	1.1
Unique IL-4–inducible genes	Iigp1	Host immune responses	Interferon-inducible GTPase 1	3.4	3.6	1.2
Unique IL-4–inducible genes	Iigp1	Host immune responses	Interferon-inducible GTPase 1	2.4	2.5	1.1
Unique IL-4–inducible genes	Lilrb4	Host immune responses	Leukocyte immunoglobulin-like receptor, subfamily B, member 4	2.7	2.4	1.4
Unique IL-4–inducible genes	Gatm	Arginine metabolism	Glycine amidinotransferase (L-arginine:glycine amidinotransferase)	3.7	2.7	1.2
Unique IL-4–inducible genes	Itgax	Inflammation	Integrin aX	3.1	2.9	1.4
Unique IL-4–inducible genes	Vnn1	Inflammation	Vanin 1	1.8	2.3	1.1
Unique IL-4–inducible genes	Hspa1a	Stress response	Heat shock protein 1A	1.2	2.4	1.5
Unique IL-4–inducible genes	Hspa1b	Stress response	Heat shock protein 1B	1.3	2.9	1.5
Unique IL-4–inducible genes	C1qa	Complement pathway	Complement component 1, q subcomponent, apolypeptide	2.6	2.4	21.1
Unique IL-4–inducible genes	C1qg	Complement pathway	Complement component 1, q subcomponent, gpolypeptide	2.5	2.3	1
Unique IL-4–inducible genes	Cfp	Complement pathway	Complement factor properdin	2	2	1
Unique IL-4–inducible genes	Ch25h	Lipid metabolites/mediators	Cholesterol 25-hydroxylase	2.9	2	1.3
Unique IL-4–inducible genes	F10	Coagulation	Coagulation Factor X	2.3	2.2	1.3
Unique IL-4–inducible genes	Fbp1	Others	Fructose bisphosphatase 1	6.2	6.3	1.5
Unique IL-13–inducible genes	Slc5a1	Ion transporters	Solute carrier family 5 (sodium/glucose cotransporter), member 1	2.6	1.3	3
Unique IL-13–inducible genes	Agr2	Other epithelial products	Anterior gradient 2 (Xenopuslaevis)	3.2	1.6	3.9
Unique IL-13–inducible genes	Itln2	Other epithelial products	Intelectin 2	3.5	1.5	2.5
Unique IL-13–inducible genes	Retnlb	Other epithelial products	Resistin-like b	2.8	1.4	2.3
Unique IL-13–inducible genes	Sprr2a	Other epithelial products	Small proline-rich protein 2A	3.4	0.9	4
Unique IL-13–inducible genes	Aass	Lysine metabolism	Aminoadipate-semialdehyde synthase	1.7	1	2.1
Unique IL-13–inducible genes	Ccl11	Chemokines	Small chemokine (C-C motif) ligand 11	4.1	1	2.9
Unique IL-13–inducible genes	Scin	Actin binding	Scinderin	2.2	1.4	2
