Gene Name	Function
MINOR	Apoptosis
c-IAP2	Apoptosis
MCL1	Apoptosis
PHLDA1	Apoptosis
A20	Apoptosis
Fas Ligand	Apoptosis
Nak1	Apoptosis
TRAF1	Apoptosis
TNFR2	Apoptosis
BNIP3	Apoptosis
MALT1	Apoptosis
p21	Cell Division Cycle
TTP	Others
HSP70	Others
Eukaryotic translation init. Factor 4E	Others
cox-2	Others
CDR34	Others
APR	Others
GLUT3	Others
DAM1	Others
SIAH-1	Others
p53-ind. Ribonucleotide reductase	Others
INSIG1	Signaling
PP2A b subunit	Signaling
PPEF-1	Signaling
BL34	Signaling
PRK	Signaling
c-cot	Signaling
SLAP	Signaling
R-PTP	Signaling
SLP-76	Signaling
DUSP5	Signaling
erk3	Signaling
Gem GTPase	Signaling
A28-RGS14p	Signaling
CIS	Signaling
CD69	Surface markers
CD54	Surface markers
SLAM	Surface markers
EV12A	Surface markers
CD49E	Surface markers
CD83	Surface markers
HM74	Surface markers
CTLA-4	Surface markers
FosB	Transcription
NAB2	Transcription
IRF-4	Transcription
AhR	Transcription
CPBP	Transcription
Id2	Transcription
IRF-1	Transcription
c-myc	Transcription
ATF-3	Transcription
Id3	Transcription
NOT	Transcription
NFAT3	Transcription
1-Dec	Transcription
