Gene Symbol	Gene Title	Probe Set	Met vs Nonmet; Fold Change	Met vs Nonmet; P Value	Met vs Normal; Fold Change	Met vs Normal; P value
SPRR2C	Small Proline-Rich Protein 2C	36242_at	0.12	0.0001	0.15	0.0022
TGM3	Transglutaminase 3	32868_at	0.19	0.0038	0.04	<.0001
KLK13	Kallikrein 13	36406_at	0.2	0.0007	0.08	<.0001
SERPINB2	Serine (or Cysteine) Proteinase Inhibitor 2 (Ovalbumin)	37185_at	0.21	0.0018	0.09	<.0001
MAL	MAL, T-cell Differentiation Protein	38051_at	0.22	0.0015	0.02	<.0001
LCN2	Lipocalin 2 (Oncogene 24p3)	32821_at	0.22	0.0057	0.12	0.0003
KIAA0624	KIAA0624 Protein	35579_at	0.25	0.0041	0.23	0.0001
None	ESTs, Weakly Similar to A37413 Calbindin D, 28K	32163_f_at	0.28	0.0026	0.18	<.0001
SERPINB4	Serine Proteinase Inhibitor 4 (Ovalbumin)	1549_s_at	0.3	0.0039	0.29	0.0214
ECM1	Extracellular Matrix Protein 1	37600_at	0.3	0.0002	0.07	<.0001
PLA2G4A	Phospholipase A2, Group IVA	35938_at	0.32	0.0077	0.25	0.0023
ANXA9	Annexin A9	39669_at	0.35	0.009	0.05	<.0001
None	Homo sapiens mRNA; cDNA DKFZp586F1223	39625_at	0.35	0.0084	0.13	<.0001
IGFBP6	Insulin-like Growth Factor–Binding Protein 6	1736_at	0.36	0.0092	0.29	0.0218
KLK13	Kallikrein 13	36407_at	0.37	0.0024	0.14	<.0001
P11	Protease, Serine, 22	37093_at	0.38	0.0075	0.02	<.0001
HBP17	Heparin-Binding Growth Factor–Binding Protein	38489_at	0.39	0.0089	0.25	0.0046
None	Homo sapiens cDNA FLJ31482 fis, Clone NT2NE2001666	37190_at	0.4	0.0026	0.3	0.0021
CDS1	CDP-Diacylglycerol Synthase 1	40217_s_at	0.43	0.0028	0.31	0.0008
APG-1	Heat Shock Protein (hsp110 Family)	40354_at	0.45	0.0092	0.26	0.0002
CDS1	CDP-Diacylglycerol Synthase 1	40218_at	0.46	0.0009	0.36	0.0002
CSTA	Cystatin A (Stefin A)	39581_at	0.47	0.0075	0.27	0.001
CRABP2	Cellular Retinoic Acid–Binding Protein 2	1057_at	0.48	0.0084	0.14	<.0001
CRYM	Crystallin, Mu	38285_at	0.48	0.0094	0.29	0.0013
IL1RN	Interleukin 1 Receptor Antagonist	31343_at	0.49	0.0003	0.04	<.0001
CRABP2	Cellular Retinoic Acid–Binding Protein 2	41783_at	0.5	0.0074	0.15	<.0001
ABLIM	Actin-Binding LIM Protein 1	40155_at	0.5	0.0052	0.25	<.0001
PPT2	Palmitoyl-Protein Thioesterase 2	38109_at	0.51	0.0066	0.3	0.0011
SNCG	Synuclein gamma (Breast Cancer–Specific Protein 1)	36555_at	0.51	0.0081	0.26	<.0001
ARHD	ras Homolog Gene Family, Member	31846_at	0.53	0.0077	0.5	0.0144
RNTRE	Related to the N Terminus of TRE	34594_at	0.55	0.0051	0.18	<.0001
PPT2	Palmitoyl Protein Thioesterase 2	38108_at	0.55	0.0029	0.39	0.0002
None	Homo sapiens mRNA; cDNA DKFZp5886K1318	36551_at	0.55	0.0086	0.28	<.0001
ATP10B	ATPase, Class V, Type 10B	37415_at	0.58	0.0045	0.29	<.0001
None	Homo sapiens mRNA; cDNA DKFZp564A072	37366_at	0.59	0.0071	0.4	0.0001
PARD3	PAR-3 (Partitioning Defective 3, Caenorhabditis elegans)	39499_s_at	0.6	0.0031	0.45	0.0003
TOP3B	Topoisomerase (DNA) III Beta	32360_s_at	0.6	0.0089	0.48	0.0009
