Gene	Name	Function	Grouping
Bcl2a1	B-cell leukemia/lymphoma 2 related protein A1d	Apoptosis suppressor	Bcl-2 family
Birc2	Baculoviral IAP repeat-containing 2	Apoptosis suppressor	IAP family
Cflar	CASP8 and FADD-like apoptosis regulator (Cash, Casper, Flip)	Apoptosis regulator	Death effector domain family
Cdkn1b	Cyclin-dependent kinase inhibitor 1B (Kip1, p27)	Cell cycle control	G1 phase regulator
Grb2	Growth factor receptor bound protein 2	Signal transduction	Ras signaling cascade
Irf1	Interferon regulatory factor 1	Transcription factor	NFkB responsive gene
Jun	Jun oncogene (c-jun)	Transcription factor	AP-1 component
Map2k1	Mitogen activated protein kinase kinase 1 (MAPKK1, MEKK1, Mek1)	Map kinase signaling	MKK family
Rb1	Retinoblastoma 1 (Rb)	Cell cycle control	Rb family
Ripk1	Receptor (TNFRSF)-interacting serine-threonine kinase 1 (RIP)	Apoptosis regulator	Death effector domain family
Traf5	Tnf receptor-associated factor 5	Apoptosis regulator	Traf family
