Accession No.	Gene Title	Fold change	Function
NM_016109	angiopoietin-like 4	2.83	ANGIOGENESIS
NM_003299	heat shock protein 90kDa beta (Grp94), member 1	-1.59	APOPTOSIS
NM_001168	baculoviral IAP repeat-containing 5 (survivin)	-1.68	CELL CYCLE/PROLIFERATION
BE407516	cyclin B1	-2.18	CELL CYCLE/PROLIFERATION
AF213033	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	-1.91	CELL CYCLE/PROLIFERATION
BG496998	family with sequence similarity 33, member A	-1.64	CELL CYCLE/PROLIFERATION
NM_016426	G-2 and S-phase expressed 1	-2.06	CELL CYCLE/PROLIFERATION
NM_004856	kinesin family member 23	-1.96	CELL CYCLE/PROLIFERATION
AU153848	Rac GTPase activating protein 1	-2.03	CELL CYCLE/PROLIFERATION
NM_005733	kinesin family member 20A	-2.64	CELL MOTILITY
AI922599	vimentin	-1.72	CELL MOTILITY
AA749101	interferon induced transmembrane protein 1 (9-27)	-2.54	IMMUNE RESPONSE
NM_001498	glutamate-cysteine ligase, catalytic subunit	3.17	METABOLIC PROCESS
NM_014905	glutaminase	2.39	METABOLIC PROCESS
BE378479	high density lipoprotein binding protein (vigilin)	-1.6	METABOLIC PROCESS
BE566894	leukotriene B4 12-hydroxydehydrogenase	2.31	METABOLIC PROCESS
AL121758	sulfiredoxin 1 homolog (S. cerevisiae)	2.07	OXIDATIVE STRESS
NM_003330	thioredoxin reductase 1	3.32	OXIDATIVE STRESS
AI697657	Acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	-2.08	PROTEIN BINDING/FOLDING/MODIFICATION
BC005020	peptidylprolyl isomerase F (cyclophilin F)	2.4	PROTEIN BINDING/FOLDING/MODIFICATION
NM_005729	peptidylprolyl isomerase F (cyclophilin F)	2.59	PROTEIN BINDING/FOLDING/MODIFICATION
BC001312	protein disulfide isomerase family A, member 6	-1.73	PROTEIN BINDING/FOLDING/MODIFICATION
AI928344	RNA binding motif protein, X-linked	-2.21	RNA BINDING/PROCESSING
NM_003900	sequestosome 1	1.67	SIGNALLING
BF342661	microtubule-associated protein 2	3.68	STRUCTURE
AA716425	jun dimerization protein 2	-2.44	TRANSCRIPTION
AL561834	topoisomerase (DNA) II alpha 170kDa	-2.13	TRANSCRIPTION
NM_006470	tripartite motif-containing 16 /// tripartite motif-containing 16-like	2.97	TRANSCRIPTION
BE274422	ribosomal protein L22-like 1	-2.62	TRANSLATION
AA083483	ferritin, heavy polypeptide 1	2.74	TRANSPORT
BG537190	ferritin, light polypeptide	2.58	TRANSPORT
BG538564	ferritin, light polypeptide	2.76	TRANSPORT
NM_014331	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	3.65	TRANSPORT
AB040875	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	2.88	TRANSPORT
NM_003234	transferrin receptor (p90, CD71)	3.63	TRANSPORT
BC001188	transferrin receptor (p90, CD71)	3.38	TRANSPORT
S68290	aldo-keto reductase family 1, member C1	12.8	XENOBIOTIC METABOLISM
NM_001353	aldo-keto reductase family 1, member C1	11.55	XENOBIOTIC METABOLISM
M33376	aldo-keto reductase family 1, member C2	14.81	XENOBIOTIC METABOLISM
U05598	aldo-keto reductase family 1, member C2	11.06	XENOBIOTIC METABOLISM
AI039874	NAD(P)H dehydrogenase, quinone 1	3.03	XENOBIOTIC METABOLISM
NM_000903	NAD(P)H dehydrogenase, quinone 1	2.82	XENOBIOTIC METABOLISM
BC000906	NAD(P)H dehydrogenase, quinone 1	2.52	XENOBIOTIC METABOLISM
AA543030	NA	3.94	MISC
NM_019058	DNA-damage-inducible transcript 4	-1.74	MISC
AV755522	Full-length cDNA clone CS0DK002YF13 of HeLa cells Cot 25-normalized of Homo sapiens (human)	-1.64	MISC
AW271106	Transcribed locus	-2.21	MISC
