Microarray	Gene	Principal Function	Representative antibodies
HU-133A	CD162		---
HU-133A	CD4		---
HU-133A	DAPK1		CD25 (IL2-R)
HU-133A	EXOSC5		CD3 (lymphocytes)
HU-133A	HLA-DOA		CD4 (lymphocytes)
HU-133A	HLA-DQB1		CD54 (ICAM1)
HU-133A	IL27RA		CD68 (macrophages)
Oncochip	IL4		CD7
Oncochip	ISGF3G		CD8 (lymphocytes)
Oncochip	JAK1		Cyclooxygenase 2 (COX-2)
Oncochip	SECTM1		FoxP3 (lymphocytes)
Oncochip	SP140		HLA_JS76A
HU-133A	TNF		Perforin (lymphocytes)
HU-133A	TRD		ZAP70 (lymphocytes)
HU-133A	VCAM1	Immune Response	---
Oncochip	ZAP70		---
HU-133A	CD72		ALK1
HU-133A	MALT1		BCL10
HU-133A	MAP3K3		ERK-P
Oncochip	NFKB1B		IkBalpha (nuclear)
Oncochip	PIM1		p65 (nuclear)
Oncochip	PRKCB1		PKCB
Oncochip	PTEN		PTEN
HU-133A	RAPGEF5	Cell Survival	TCL1
HU-133A	RAPGEF5		Xiap-hILP
HU-133A	ARH		CDK1
Oncochip	CDC25A		CDK2
Oncochip	CDKN2A		CDK7
HU-133A	DKC1		Cyclin D
HU-133A	E2F1		Cyclin E
HU-133A	IL11		KI67
HU-133A	RFC2		p27
HU-133A	TP53		p27
HU-133A	TP53		p53
HU-133A	TP53		Rb-P
HU-133A	TP53		RCC1 (N19)
HU-133A	TP53	Cell Cycle	SKP2
HU-133A	Diablo		Bcl2
HU-133A	FAF1		BCLxL
HU-133A	LGALS1		Caspase 3 active
Oncochip	MADD		Mcl-1
HU-133A	PDCD2		STAT1 (macrophages)
Oncochip	PPP2R5D		STAT1 (macrophages)
HU-133A	STAT3		STAT3 (macrophages)
HU-133A	STAT3		STAT3
HU-133A	STAT3		Survivin
HU-133A	STAT3		TRAF1
HU-133A	STAT3	Apoptosis	TRAF5
Oncochip	POLR1C	DNA repair. Transcription	DNA polymerase alpha
Oncochip	POLR1C		DNA primase P49
Oncochip	IGH		DNA protein kinase
Oncochip	IGH		BCL6
Oncochip	IGH		Blimp1
Oncochip	IGH		CD10
Oncochip	IGH		CD138
Oncochip	IGH		MUM1
Oncochip	IGH	B-cell differentiation	Pax-5
HU-133A	IGKC		VS38
Oncochip	AMPD3		Cytochrome P450 3A4 (CYP51A1)
Oncochip	CPSF5		Cytochrome P450 3A5 (CYP51A1)
Oncochip	CYP51A1		c-myc
HU-133A	EBNA1BP2		GAPDH (nuclear)
HU-133A	EIF5B		---
Oncochip	PRKAG2		---
Oncochip	PSMA4		---
Oncochip	SNRPB	Metabolism	---
HU-133A	DHCR7	EBV	EBER
