Genesymbol	Gene title	Fold difference of geometric means	Description
CD151	CD151 antigen	1.35	Cell-to-cell communication
CD200	CD200 antigen	2.38	Cell-to-cell communication
CD24	CD24 antigen (small-cell lung carcinoma cluster 4 antigen)	1.78	Cell-to-cell communication
CD40LG	CD40 ligand (TNF superfamily, member 5, hyper-IgM syndrome)	1.64	Cell-to-cell communication
CDH11	Cadherin 11, type 2, OB-cadherin (osteoblast)	1.7	Cell-to-cell communication
CDH3	Cadherin 3, type 1, P-cadherin (placental)	1.47	Cell-to-cell communication
CLEC4G	C-type lectin superfamily 4, member G	2.02	Cell-to-cell communication
ITGA5	Integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	1.42	Cell-to-cell communication
ITGAX	Integrin, alpha X (antigen CD11C [p150], alpha polypeptide)	1.89	Cell-to-cell communication
ITM2C	Integral membrane protein 2C	2.65	Cell-to-cell communication
KAL1	CD82 antigen	1.48	Cell-to-cell communication
L1CAM	L1 cell adhesion molecule	1.56	Cell-to-cell communication
MAL	Mal, T-cell differentiation protein	4.62	Cell-to-cell communication
MME	Membrane metallopeptidase (neutral endopeptidase, CALLA, CD10)	2.26	Cell-to-cell communication
PCDH17	Protocadherin 17	1.66	Cell-to-cell communication
PCDHA	Protocadherin alpha subfamily	2.9	Cell-to-cell communication
PCDHG	Protocadherin gamma subfamily	1.5	Cell-to-cell communication
PDCD1	Programmed cell death 1	1.64	Cell-to-cell communication
PLEKHC1	Pleckstrin homology domain containing, family C member 1	1.81	Cell-to-cell communication
AMOTL1	Angiomotin-like 1	1.35	Vascular biology
ANGPT2	Angiopoietin 2	1.34	Vascular biology
EDG2	Endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2	2.03	Vascular biology
EDG3	Endothelial differentiation, sphingolipid G-protein-coupled receptor, 3	4.05	Vascular biology
EFNB2	Ephrin-B2	2.63	Vascular biology
ENG	Endoglin (Osler-Rendu-Weber syndrome 1)	1.56	Vascular biology
EPAS1	Endothelial PAS domain protein 1	1.81	Vascular biology
EPHA2	EPH receptor A2	1.38	Vascular biology
FGF11	Fibroblast growth factor 11	1.65	Vascular biology
GAS6	Growth-arrest specific 6	2.04	Vascular biology
GJA1	Gap junction protein, alpha 1, 43 kDa (connexin 43)	2.18	Vascular biology
GJA4	Gap junction protein, alpha 4, 37 kDa (connexin 37)	2.08	Vascular biology
GP1BA	Glycoprotein Ib (platelet), alpha polypeptide	1.98	Vascular biology
L1CAM	L1 cell adhesion molecule	1.56	Vascular biology
PGF	Placental growth factor, vascular endothelial growth factor-related protein	1.66	Vascular biology
SELP	Selectin P (granule membrane protein 140 kDa, antigen CD62)	2.42	Vascular biology
SERPINF1	Serpin peptidase inhibitor, clade F (alpha-2 antiplasmin), member 1	1.67	Vascular biology
SERPINH1	Serpin peptidase inhibitor, clade H (heat shock protein 47), member 1	1.66	Vascular biology
THBD	Thrombomodulin	2.03	Vascular biology
THY1	Thy-1 cell surface antigen	2.42	Vascular biology
VCAM1	Vascular cell adhesion molecule 1	1.76	Vascular biology
VEGF	Vascular endothelial growth factor	1.73	Vascular biology
VWA1	Von Willebrand factor A domain containing 1	1.52	Vascular biology
C1QTNF1	C1q and tumor necrosis factor-related protein 1	1.8	Humoral immune response
C1R	Complement component 1, r subcomponent	1.53	Humoral immune response
C3	Complement component 3	2.67	Humoral immune response
CLU	Clusterin	3.26	Humoral immune response
CR2	Complement component (3d/Epstein-Barr virus) receptor 2	6.11	Humoral immune response
FCAMR	Fc receptor, IgA, IgM, high affinity	4.94	Humoral immune response
IGH	Immunoglobulin heavy locus	3.09	Humoral immune response
IGHM	Immunoglobulin heavy constant mu	3.82	Humoral immune response
IGKC	Immunoglobulin kappa constant	2.38	Humoral immune response
IGL	Immunoglobulin lambda locus	2.03	Humoral immune response
IGLC2	Immunoglobulin lambda constant 1	2.86	Humoral immune response
IGLC2	Immunoglobulin lambda joining 3	1.8	Humoral immune response
IGLV325	Immunoglobulin lambda variable 3-25	4.05	Humoral immune response
IGSF3	Immunoglobulin superfamily, member 3	2.21	Humoral immune response
SDC1	Syndecan 1	3.23	Humoral immune response
SPIB	Spi-B transcription factor (Spi-1/PU.1 related)	2.94	Humoral immune response
TCF3	Transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	1.65	Humoral immune response
TNFRSF17	Tumor necrosis factor receptor superfamily, member 17	4.04	Humoral immune response
CCL19	Chemokine (C-C motif) ligand 19 (EBV-induced receptor ligand chemokine, ELC)	1.99	Chemokine and cytokine pathways
CCL20	Chemokine (C-C motif) ligand 20 (secondary lymphoid tissue chemokine, SLC)	4.09	Chemokine and cytokine pathways
CCL22	Chemokine (C-C motif) ligand 22 (macrophage-derived chemokine, MDC)	3.68	Chemokine and cytokine pathways
CCL24	Chemokine (C-C motif) ligand 24 (eotaxin-2)	3	Chemokine and cytokine pathways
CCL26	Chemokine (C-C motif) ligand 26 (eotaxin-3)	5.37	Chemokine and cytokine pathways
CXCL13	Chemokine (C-X-C motif) ligand 13 (B-cell chemoattractant)	2.79	Chemokine and cytokine pathways
CXCL14	Chemokine (C-X-C motif) ligand 14 (breast and kidney chemokine, BRAK)	2.17	Chemokine and cytokine pathways
IL4	Interleukin 4	2.41	Chemokine and cytokine pathways
LIF	Leukemia inhibitory factor (cholinergic differentiation factor)	3.8	Chemokine and cytokine pathways
OSMR	Receptor to oncostatin M (an IL-6 type cytokine)	2.22	Chemokine and cytokine pathways
ADAM19	ADAM metallopeptidase domain 19 (meltrin beta)	2.23	Extracellular matrix
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif, 9	1.65	Extracellular matrix
CHPF	Chondroitin polymerizing factor	1.47	Extracellular matrix
COL15A1	Collagen, type XV, alpha 1	2.72	Extracellular matrix
COL23A1	Collagen, type XXIII, alpha 1	1.25	Extracellular matrix
COL27A1	Collagen, type XXVII, alpha 1	1.87	Extracellular matrix
COL6A1	Collagen, type VI, alpha 1	2.28	Extracellular matrix
COL6A2	Collagen, type VI, alpha 2	2.27	Extracellular matrix
CTSH	Cathepsin H	1.72	Extracellular matrix
EFEMP2	EGF-containing fibulin-like extracellular matrix protein 2	1.54	Extracellular matrix
FNDC1	Fibronectin type III domain containing 1	2.27	Extracellular matrix
FOXF1	Forkhead box F1	1.74	Extracellular matrix
HS3ST1	Heparan sulfate (glucosamine) 3-O-sulfotransferase 1	1.56	Extracellular matrix
LAD1	Ladinin 1	1.38	Extracellular matrix
LAMB2	Laminin, beta 2 (laminin S)	1.66	Extracellular matrix
LAMC2	Laminin, gamma 2	1.63	Extracellular matrix
MMP1	Matrix metallopeptidase 1 (interstitial collagenase)	3.72	Extracellular matrix
MMP12	Matrix metallopeptidase 12 (macrophage elastase)	5.01	Extracellular matrix
PCOLCE	Procollagen C-endopeptidase enhancer	1.94	Extracellular matrix
TGFB1	Transforming growth factor beta 1-induced transcript 1	1.87	Extracellular matrix
TGFB3	Transforming growth factor, beta 3	1.27	Extracellular matrix
TIMP1	TIMP metallopeptidase inhibitor 1	1.57	Extracellular matrix
VTN	Vitronectin (serum spreading factor, somatomedin B)	1.49	Extracellular matrix
NFATC1	Nuclear factor of activated T cells cytoplasmic, calcineurin-dependent 1	1.69	Others/miscellaneous
PIM2	Pim-2 oncogene	1.66	Others/miscellaneous
VAV2	Vav 2 oncogene	1.82	Others/miscellaneous
