GO category	p-value (GO)	Gene Symbol	Common Name	Entrez ID	Fold Change	p-value
clathrin-coated vesicle	3.06E-02	SYT9	synaptotagmin IX	143425	1.98	0.043
clathrin-coated vesicle	3.06E-02	SYT5	synaptotagmin V	6861	1.81	0.0378
phospholipid metabolism	3.15E-02	PLA2G3	phospholipase A2, group III	50487	2.83	0.0169
phospholipid metabolism	3.15E-02	SERINC2	serine incorporator 2	347735	2.66	0.0149
heme binding	2.85E-03	CYP7A1	cytochrome P450, family 7, subfamily A, polypeptide 1	1581	3.28	0.0111
heme binding	2.85E-03	CYP2E1	cytochrome P450, family 2, subfamily E, polypeptide 1	1571	2.66	0.0243
heme binding	2.85E-03	CYP1A1	cytochrome P450, family 1, subfamily A, polypeptide 1	1543	2.11	0.0333
oxygen binding	5.75E-03	CYP2E1	cytochrome P450, family 2, subfamily E, polypeptide 1	1571	2.66	0.0243
oxygen binding	5.75E-03	CYP1A1	cytochrome P450, family 1, subfamily A, polypeptide 1	1543	2.11	0.0333
iron ion binding	4.63E-02	CYP7A1	cytochrome P450, family 7, subfamily A, polypeptide 1	1581	3.28	0.0111
iron ion binding	4.63E-02	CYP2E1	cytochrome P450, family 2, subfamily E, polypeptide 1	1571	2.66	0.0243
iron ion binding	4.63E-02	CYP1A1	cytochrome P450, family 1, subfamily A, polypeptide 1	1543	2.11	0.0333
