Probe Set ID	test AP-2g siRNA	reference	FC	Pval	Gene Symbol
232306_at	8.401 (8.228 to 8.781)	7.354 (7.314 to 7.452)	2.07	8.43E-06	CDH26
221874_at	6.803 (6.469 to 7.087)	8.164 (8.102 to 8.228)	-2.57	8.43E-06	KIAA1324
224925_at	7.907 (7.711 to 8.291)	8.83 (8.686 to 8.925)	-1.89	8.43E-06	PREX1
203571_s_at	9.248 (8.9 to 9.583)	10.59 (10.29 to 10.82)	-2.53	1.09E-05	C10orf116
204244_s_at	8.629 (8.165 to 8.862)	9.688 (9.5 to 9.89)	-2.08	1.09E-05	DBF4
228176_at	8.948 (8.713 to 9.5)	10.27 (10.08 to 10.41)	-2.49	1.09E-05	EDG3
225207_at	7.904 (7.612 to 8.143)	6.932 (6.763 to 7.109)	1.96	1.09E-05	PDK4
235408_x_at	9.003 (8.695 to 9.23)	7.997 (7.879 to 8.079)	2.01	1.09E-05	ZNF117
201458_s_at	9.96 (9.715 to 10.21)	10.79 (10.71 to 10.99)	-1.77	1.56E-05	BUB3
210511_s_at	8.767 (8.366 to 9.061)	7.79 (7.624 to 7.923)	1.97	1.56E-05	INHBA
203060_s_at	10.66 (10.48 to 11.02)	9.536 (9.285 to 9.699)	2.18	1.92E-05	PAPSS2
210868_s_at	7.796 (7.469 to 8.039)	8.576 (8.511 to 8.731)	-1.72	2.62E-05	ELOVL6
220414_at	6.633 (6.253 to 6.945)	7.558 (7.505 to 7.684)	-1.9	3.15E-05	CALML5
243010_at	8.522 (8.105 to 8.775)	9.527 (9.309 to 9.686)	-2.01	3.15E-05	MSI2
204070_at	7.878 (7.455 to 8.163)	8.922 (8.702 to 9.128)	-2.06	3.76E-05	RARRES3
220192_x_at	8.155 (7.997 to 8.389)	9.319 (9.118 to 9.606)	-2.24	3.76E-05	SPDEF
222557_at	7.401 (6.956 to 7.741)	8.379 (8.239 to 8.5)	-1.97	3.76E-05	STMN3
209754_s_at	7.737 (7.361 to 7.941)	8.568 (8.407 to 8.728)	-1.78	3.76E-05	TMPO
203304_at	9.517 (9.211 to 9.871)	10.58 (10.31 to 10.81)	-2.1	4.41E-05	BAMBI
201896_s_at	8.08 (7.813 to 8.417)	8.912 (8.702 to 9.12)	-1.78	5.29E-05	PSRC1
227850_x_at	5.845 (5.593 to 6.022)	6.954 (6.67 to 7.166)	-2.16	5.36E-05	CDC42EP5
227140_at	8.497 (7.659 to 8.872)	6.882 (6.477 to 7.195)	3.06	5.36E-05	INHBA
212148_at	8.22 (7.825 to 8.592)	9.057 (8.975 to 9.203)	-1.79	5.36E-05	PBX1
205240_at	8.107 (7.7 to 8.393)	8.942 (8.815 to 9.043)	-1.78	5.38E-05	GPSM2
212143_s_at	10.38 (9.76 to 10.73)	9.174 (9.103 to 9.22)	2.3	5.38E-05	IGFBP3
213599_at	7.536 (7.093 to 7.755)	8.321 (8.207 to 8.531)	-1.72	5.38E-05	OIP5
203058_s_at	9.26 (8.982 to 9.758)	8.333 (8.269 to 8.438)	1.9	5.38E-05	PAPSS2
239007_at	6.562 (6.326 to 6.944)	5.662 (5.504 to 5.93)	1.87	5.38E-05	ZNF616
210095_s_at	11.37 (10.73 to 11.72)	10.11 (10.04 to 10.18)	2.39	5.90E-05	IGFBP3
204319_s_at	8.433 (8.246 to 8.582)	9.244 (9.015 to 9.415)	-1.75	5.90E-05	RGS10
210297_s_at	8.353 (7.847 to 8.772)	9.427 (9.138 to 9.704)	-2.11	6.39E-05	MSMB
207076_s_at	9.334 (8.841 to 9.611)	10.54 (10.4 to 10.66)	-2.3	6.57E-05	ASS1
209291_at	9.015 (8.479 to 9.502)	7.829 (7.564 to 8.001)	2.28	6.57E-05	ID4
201830_s_at	10.06 (9.695 to 10.5)	10.95 (10.74 to 11.19)	-1.85	6.57E-05	NET1
227099_s_at	9.137 (8.64 to 9.722)	7.613 (7.145 to 7.907)	2.88	7.45E-05	LOC387763
224734_at	8.195 (7.661 to 8.697)	9.159 (8.994 to 9.351)	-1.95	7.62E-05	HMGB1
226248_s_at	9.293 (8.661 to 9.833)	10.64 (10.42 to 10.84)	-2.55	7.62E-05	KIAA1324
209301_at	9.043 (8.705 to 9.819)	10.38 (10.02 to 10.62)	-2.53	7.98E-05	CA2
213906_at	7.052 (6.751 to 7.543)	8.048 (7.912 to 8.183)	-2	7.98E-05	MYBL1
242245_at	6.631 (6.296 to 7.056)	7.803 (7.422 to 8.061)	-2.25	7.98E-05	SYDE2
204602_at	9.672 (9.326 to 10.07)	10.56 (10.47 to 10.7)	-1.85	9.42E-05	DKK1
219918_s_at	7.726 (7.255 to 8.297)	8.798 (8.676 to 9.022)	-2.1	0.000106	ASPM
201829_at	9.585 (9.18 to 9.947)	10.42 (10.3 to 10.64)	-1.79	0.000106	NET1
217744_s_at	11.59 (11.37 to 11.98)	10.74 (10.69 to 10.82)	1.81	0.000106	PERP
205380_at	7.229 (6.275 to 7.532)	8.601 (8.517 to 8.775)	-2.59	0.000109	PDZK1
204709_s_at	7.488 (6.996 to 7.769)	8.366 (8.23 to 8.558)	-1.84	0.000113	KIF23
202870_s_at	7.839 (7.391 to 8.323)	8.864 (8.678 to 8.98)	-2.04	0.000125	CDC20
218542_at	8.281 (7.645 to 8.645)	9.302 (9.151 to 9.395)	-2.03	0.000125	CEP55
229305_at	6.493 (6.09 to 6.71)	7.336 (7.241 to 7.576)	-1.79	0.000125	MLF1IP
228729_at	8.084 (7.377 to 8.489)	9.153 (8.93 to 9.434)	-2.1	0.000143	CCNB1
228273_at	8.619 (7.937 to 9.046)	9.866 (9.659 to 10.1)	-2.38	0.000158	---
212314_at	8.587 (8.242 to 8.96)	7.716 (7.511 to 7.853)	1.83	0.000158	KIAA0746
221258_s_at	6.86 (6.26 to 7.229)	7.76 (7.602 to 7.917)	-1.87	0.000158	KIF18A
204886_at	6.109 (5.671 to 6.383)	6.84 (6.714 to 6.995)	-1.66	0.000158	PLK4
213253_at	7.028 (6.555 to 7.324)	7.929 (7.684 to 8.083)	-1.87	0.000158	SMC2L1
204033_at	8.494 (7.98 to 8.876)	9.386 (9.3 to 9.518)	-1.86	0.000163	TRIP13
228597_at	8.252 (7.785 to 8.623)	9.135 (9.037 to 9.254)	-1.85	0.000166	C21orf45
209684_at	8.39 (7.917 to 8.72)	7.491 (7.404 to 7.545)	1.87	0.000167	RIN2
211080_s_at	6.824 (6.43 to 7.129)	7.612 (7.468 to 7.787)	-1.73	0.00017	NEK2
211708_s_at	10.38 (10.13 to 10.94)	11.16 (10.95 to 11.4)	-1.72	0.000178	SCD
218755_at	7.978 (7.441 to 8.484)	9.152 (8.985 to 9.312)	-2.26	0.000187	KIF20A
224909_s_at	8.553 (8.333 to 9.383)	9.537 (9.246 to 9.747)	-1.98	0.000193	PREX1
