miRBase	Deregulated Target Genes	GenBank ID	d-value	q-value	Pearson correlation coefficient§	p-value§
hsa-mir-196a	LRIG3	NM_153377	3.512	0.001	-0.569	0.011
hsa-mir-486	IGF1	NM_001111283	3.379	0.001	-0.683	0.001
hsa-mir-487	SLC41A1	NM_173854	3.25	0.002	-0.671	0.002
hsa-mir-488	TWF1	NM_002822	2.036	0.02	-0.65	0.003
hsa-mir-489	PIM1	NM_002648	2.834	0.004	-0.601	0.006
hsa-mir-490	ISCA1	NM_030940	2.516	0.008	-0.596	0.007
hsa-mir-491	GAB2	NM_080491	2.175	0.015	-0.58	0.009
hsa-mir-492	SNRPD1	NM_006938	1.837	0.03	-0.58	0.009
hsa-mir-493	PLAGL2	NM_002657	2.005	0.022	-0.499	0.03
hsa-mir-494	CD47	NM_001777	1.965	0.023	-0.489	0.033
hsa-mir-375	CPEB2	NM_182485	4.566	0.001	-0.764	0.0001
hsa-mir-376	UXS1	NM_025076	2.155	0.016	-0.666	0.002
hsa-mir-377	ORMDL2	NM_014182	3.4	0.001	-0.627	0.004
hsa-mir-501	SNRPF	NM_003095	4.051	0.001	-0.687	0.001
hsa-mir-502	TRAK1	NM_001042646	3.681	0.001	-0.614	0.005
hsa-mir-503	KLHL18	NM_025010	2.08	0.018	-0.592	0.008
hsa-mir-504	HECA	NM_016217	1.779	0.034	-0.561	0.012
hsa-mir-505	IER3IP1	NM_016097	2.224	0.014	-0.545	0.016
hsa-mir-506	PANX1	NM_015368	1.922	0.025	-0.516	0.024
hsa-mir-507	YOD1	NM_018566	2.077	0.019	-0.456	0.05
hsa-mir-320	CAMSAP1L1	NM_203459	3.239	0.002	-0.854	0.0000041
hsa-mir-321	TWF1	NM_002822	2.036	0.02	-0.753	0.0002
hsa-mir-322	YOD1	NM_018566	2.077	0.019	-0.706	0.001
hsa-mir-323	ZNF281	NM_012482	1.987	0.022	-0.677	0.001
hsa-mir-324	HNRNPC	BC089438	2.361	0.011	-0.625	0.004
