Cluster	Symbol	UGCluster	Clone ID	P-value	P-value
1	CASP10	Hs.5353	241481	1,00E-07	1,00E-07
1	CLGN	Hs.86368	1049033	1,00E-07	1,00E-07
1	DEFB1	Hs.32949	665086	1,00E-07	1,00E-07
1	NTRK2	Hs.494312	2048801	1,00E-07	1,00E-07
1	SDHA	Hs.440475	40304	1,00E-07	1,00E-07
1	HSPC159	Hs.372208	365045	1,00E-07	3,00E-07
1	ALDH1A3	Hs.459538	486189	1,00E-07	8,00E-07
1	PLCG2	Hs.413111	201467	1,00E-07	9,00E-07
1	ARVCF	Hs.370408	40633	1,00E-07	1,50E-06
1	ELK4	Hs.497520	236155	1,00E-07	1,50E-06
1	DCI	Hs.403436	667892	1,00E-07	1,70E-06
1	DIO1	Hs.251415	296702	1,00E-07	3,50E-06
1	CKS2	Hs.83758	725454	2,00E-07	9,00E-07
1	ID1	Hs.504609	1087348	2,00E-07	3,90E-06
1	MRPS11	Hs.111286	471574	4,00E-07	1,00E-07
1	ST6GALNAC2	Hs.592105	823590	6,00E-07	8,00E-07
1	GFPT2	Hs.696497	485085	9,00E-07	1,00E-07
1	PITPNC1	Hs.591185	364436	9,00E-07	2,00E-07
1	HRK	Hs.87247	767779	1,00E-06	1,00E-07
1	MAPRE2	Hs.532824	383868	1,20E-06	1,00E-07
1	DOK5	Hs.656582	25664	1,30E-06	1,00E-07
1	RPS6KA5	Hs.510225	258966	1,40E-06	1,00E-07
1	DCXR	Hs.9857	724596	3,00E-06	1,00E-07
1	ODAM	Hs.143811	364706	3,30E-06	1,00E-07
1	KLK2	Hs.515560	1102600	5,00E-06	1,30E-06
1	F5	Hs.30054	433155	6,60E-06	1,00E-07
1	MFAP3L	Hs.593942	726821	7,60E-06	1,00E-07
1	GALNT7	Hs.548088	381854	1,10E-05	1,00E-07
2	AHNAK	Hs.502756	238840	1,00E-07	1,00E-07
2	APOD	Hs.522555	838611	1,00E-07	1,00E-07
2	CAMK2N1	Hs.197922	173820	1,00E-07	1,00E-07
2	CFD	Hs.155597	666128	1,00E-07	1,00E-07
2	FCGBP	Hs.111732	154172	1,00E-07	1,00E-07
2	FOXO1	Hs.370666	151247	1,00E-07	1,00E-07
2	GLT8D2	Hs.631650	365271	1,00E-07	1,00E-07
2	MATN2	Hs.189445	28584	1,00E-07	1,00E-07
2	PRUNE	Hs.78524	364324	1,00E-07	1,00E-07
2	SLC4A4	Hs.5462	787938	1,00E-07	1,00E-07
2	PAX8	Hs.469728	545475	1,00E-07	3,00E-07
2	HSD17B6	Hs.524513	471641	1,00E-07	1,30E-06
2	HBB	Hs.523443	469549	1,00E-07	2,60E-06
2	APOE	Hs.654439	1870594	1,00E-07	3,70E-06
2	CRABP1	Hs.346950	739193	1,00E-07	4,20E-06
2	ZNF76	Hs.388024	745003	1,00E-07	4,70E-06
2	C20orf19	Hs.187635	366032	1,00E-07	5,00E-06
2	DEPDC6	Hs.112981	669318	2,00E-07	1,00E-07
2	CDH16	Hs.513660	726763	5,00E-07	1,00E-07
2	HBA2	Hs.654744	469647	6,00E-07	1,80E-06
2	SASH1	Hs.193133	31120	1,40E-06	1,00E-07
2	HEXIM1	Hs.15299	342551	2,20E-06	1,00E-07
2	GJA1	Hs.74471	839101	2,30E-06	1,40E-06
2	TIMP3	Hs.644633	501476	4,30E-06	4,80E-06
2	IL11RA	Hs.591088	1101773	5,50E-06	7,00E-07
3	APLP2	Hs.695920	549054	1,00E-07	1,00E-07
3	DCN	Hs.694789	666410	1,00E-07	1,00E-07
3	FRMD4B	Hs.371681	669564	1,00E-07	1,00E-07
3	HMGB2	Hs.434953	884365	1,00E-07	1,00E-07
3	IGF2BP2	Hs.35354	743774	1,00E-07	1,00E-07
3	LOC400451	Hs.27373	667174	1,00E-07	1,00E-07
3	NPAL3	Hs.523442	738970	1,00E-07	1,00E-07
3	PBXIP1	Hs.505806	366042	1,00E-07	1,00E-07
3	PDGFRL	Hs.458573	139242	1,00E-07	1,00E-07
3	PDLIM1	Hs.368525	135689	1,00E-07	1,00E-07
3	PSAT1	Hs.494261	366388	1,00E-07	1,00E-07
3	SF3B1	Hs.632554	739247	1,00E-07	1,00E-07
3	TIAM1	Hs.517228	23612	1,00E-07	1,00E-07
3	TSHR	Hs.160411	565317	1,00E-07	1,00E-07
3	FAM111A	Hs.150651	137454	1,00E-07	4,00E-07
3	CA11	Hs.428446	282587	3,00E-07	1,00E-07
3	HNRPA3	Hs.516539	365349	5,00E-07	2,60E-06
