Gene Symbol	name	12 hr	24 hr	up or down regulated
	   Connective tissue growth factor	3.312	6.053	Gene up-regulation
	   Sialidase 1 (lysosomal sialidase)	3.91	5.027	Gene up-regulation
	   Amphiregulin (schwannoma-derived growth factor)	3.105	4.801	Gene up-regulation
NUR77	   Nur77	2.513	4.701	Gene up-regulation
	   Early growth response 1	2.214	4.231	Gene up-regulation
	   Metallothionein 1L	4.714	4.012	Gene up-regulation
	   Nebulin	1.245	3.941	Gene up-regulation
	   H4 histone, family 2	2.166	3.841	Gene up-regulation
	   H1 histone family, member 0	5.343	3.185	Gene up-regulation
	   Ubiquitin carrier protein	1.799	2.948	Gene up-regulation
	   DNA-damage-inducible transcript 3	1.507	2.862	Gene up-regulation
	   Metallothionein 1H	3.282	2.794	Gene up-regulation
	   H2B histone family, member Q	1.067	2.779	Gene up-regulation
VANIN3	   Vanin 3	0.891	2.666	Gene up-regulation
	   Legumain	2.277	2.446	Gene up-regulation
	   Zinc finger protein 205	1.322	2.412	Gene up-regulation
	   Microtubule-associated protein 1 light chain 3	1.985	2.374	Gene up-regulation
	   Phosphatidylinositol 4-kinase type II	2.129	2.158	Gene up-regulation
CALM1	   Calmodulin-I (CALM1)	2.32	2.125	Gene up-regulation
	   Early growth response 2	1.274	2.11	Gene up-regulation
	   Immediate early protein	1.232	2.094	Gene up-regulation
	   Microtubule-associated protein, RP/EB family, member 2	2.503	2.081	Gene up-regulation
   BCL2	   BCL2/adenovirus E1B	1.601	2.065	Gene up-regulation
	   Clusterin	1.531	2.041	Gene up-regulation
	   Gelsolin	2.1	1.945	Gene up-regulation
INK4D	   P19(INK4D)	1.704	1.912	Gene up-regulation
	   Heat shock 70kDa protein 1-like	2.806	1.231	Gene up-regulation
	   Myosin IB	0.959	0.561	Gene down-regulation
ERBB2	   ErbB2	0.462	0.51	Gene down-regulation
   DR1	   DR1-associated protein 1 (negative cofactor 2)	0.772	0.5	Gene down-regulation
	   Phosphatidic acid phosphatase type 2B	0.664	0.5	Gene down-regulation
	   Ubiquilin 1	0.911	0.497	Gene down-regulation
	   Epiregulin	0.728	0.496	Gene down-regulation
	   Protein tyrosine phosphatase, receptor type, G	0.982	0.494	Gene down-regulation
   NRAS	   NRAS-related gene	0.671	0.489	Gene down-regulation
	   Neurolysin (metallopeptidase M3 family)	1.06	0.481	Gene down-regulation
   SUMO1	   SUMO-1-specific protease	0.645	0.479	Gene down-regulation
RAB6A	   RAB6A, member RAS oncogene family	0.78	0.478	Gene down-regulation
PRKA	   A kinase (PRKA) anchor protein 2	0.817	0.477	Gene down-regulation
   EGFR	   EGFR	0.753	0.476	Gene down-regulation
VMYC	   v-myc	0.74	0.472	Gene down-regulation
	   Retinoblastoma binding protein 4	0.841	0.47	Gene down-regulation
RAD21	   RAD21 homolog (S. pombe)	0.597	0.463	Gene down-regulation
	   Zinc finger protein 36	0.628	0.455	Gene down-regulation
	   Mitogen-activated protein kinase 6	0.537	0.449	Gene down-regulation
	   Tumor endothelial marker 6	0.604	0.443	Gene down-regulation
	   Son of sevenless homolog 2	1.153	0.435	Gene down-regulation
EPHA1	   EphA1	0.655	0.43	Gene down-regulation
	   Cyclin D1	0.462	0.427	Gene down-regulation
EBP50PDZ	   EBP50-PDZ interactor of 64 kD	0.483	0.418	Gene down-regulation
	   Transforming growth factor, 2	0.465	0.413	Gene down-regulation
	   Zinc finger protein 146	0.635	0.412	Gene down-regulation
	   Cell division cycle 25B	0.621	0.4	Gene down-regulation
	   Tumor endothelial marker 8	0.734	0.396	Gene down-regulation
	   Annexin A4	1.152	0.395	Gene down-regulation
	   Hypoxia inducible factor 1-	0.536	0.395	Gene down-regulation
	   Popeye protein 3	0.942	0.39	Gene down-regulation
BCL2	   BCL2-associated athanogene 2	0.61	0.386	Gene down-regulation
RAB31	   RAB31, member RAS oncogene family	0.919	0.379	Gene down-regulation
	   Cullin 4A	0.618	0.378	Gene down-regulation
	   Serine/threonine kinase 6	0.537	0.367	Gene down-regulation
DEK	   DEK oncogene (DNA binding)	0.535	0.362	Gene down-regulation
RAB34	   RAB34, member RAS oncogene family	0.59	0.355	Gene down-regulation
	   Topoisomerase (DNA) II 170kDa	0.622	0.326	Gene down-regulation
UBC3C	   Ubiquitin-conjugating enzyme UBC3B 0.778	0.324	0.324	Gene down-regulation
	   v-jun sarcoma virus 17	0.739	0.323	Gene down-regulation
	   Angiomotin like 2	0.283	0.3	Gene down-regulation
	   Caveolin 2	0.536	0.279	Gene down-regulation
	   Caveolin 1	0.622	0.231	Gene down-regulation
CASP8	   CASP8 and FADD-like apoptosis regulator	0.427	0.205	Gene down-regulation
	   Plasminogen activator, urokinase	0.228	0.183	Gene down-regulation
