mirNA	Target gene	Gene name
hsa-mir-21	BCL2	B-cell CLL/lymphoma 2
hsa-mir-21	NTF3	Neurotrophin 3
hsa-mir-21	PDCD4	Programmed cell death 4
hsa-mir-21	RAB6A	Member RAS oncogene family
hsa-mir-21	RAB6C	Member RAS oncogene family
hsa-mir-21	RASA1	RAS p21 protein activator (GTPase activating protein)
hsa-mir-21	RHOB	RAS homolog gene family, member B
hsa-mir-21	SKI	V-ski sarcoma viral oncogene homolog
hsa-mir-21	TGFBI	Transforming growth factor-beta-induced protein ig-h3 precursor
hsa-mir-21	TGFBR2	Transforming growth factor, beta receptor II
hsa-mir-21	TIMP3	Tissue inhibitor of metalloproteinase 3
hsa-mir-365	ARRB2	Arrestin, beta 2
hsa-mir-365	RAB1B	Member of RAS oncogene family
hsa-mir-365	RAB22A	Member of RAS oncogene family
hsa-mir-365	RASD1	Dexamethasone-induced Ras-related protein 1
hsa-mir-365	USP33	Ubiquitin specific peptidase 33
hsa-mir-181b	ADARB1	Adenosine deaminase, RNA-specific, B1
hsa-mir-181b	CTDSPL	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like
hsa-mir-181b	PAWR	PRKC, apoptosis, WT1, regulator
hsa-mir-181b	PHF15	PHD finger protein 15
hsa-mir-181b	TNFSF11	Tumor necrosis factor (ligand) superfamily, member 11
hsa-let-7f	ADRB2	Adrenergic, beta-2-, receptor
hsa-let-7f	CEP164	Centrosomal protein
hsa-let-7f	CYP19A1	Cytochrome P450, family 19, subfamily A, polypeptide 1
hsa-let-7f	TARBP2	TAR (HIV) RNA binding protein 2
hsa-mir-155	FGF7	Fibroblast growth factor 7 (keratinocyte growth factor)
hsa-mir-155	GDF6	Growth differentiation factor 6
hsa-mir-155	TP53INP1	Tumor protein p53 inducible nuclear protein 1
hsa-mir-497	SNCG	Gamma-synuclein (Persyn) (Breast cancer-specific gene 1 protein) (Synoretin) (SR)
hsa-mir-31	RAB14	Member RAS oncogene family
hsa-mir-31	RAB1B	Member RAS oncogene family
hsa-mir-31	RAB6B	Member RAS oncogene family
hsa-mir-31	RASA1	RAS p21 protein activator (GTPase activating protein) 1
hsa-mir-31	VAV3	Vav 3 oncogene
hsa-mir-335	CCNT2	Cyclin T2
hsa-mir-335	CDC2L5	Cell division cycle 2-like 5 (cholinesterase-related cell division controller)
hsa-mir-335	CRKL	V-crk sarcoma virus CT10 oncogene homolog (avian)-like
hsa-mir-335	RASA1	RAS p21 protein activator (GTPase activating protein) 1
hsa-mir-335	RPRM	TP53 dependant G2 arrest mediator candidate
hsa-mir-335	THPO	Thrombopoietin (myeloproliferative leukemia virus oncogene ligand, megakaryocyte growth and development factor)
hsa-mir-320	CDK6	Homo sapiens cyclin-dependent kinase 6
hsa-mir-320	MCL1	Myeloid cell leukemia sequence 1 (BCL2-related)
hsa-mir-320	MMP16	matrix metalloproteinase 16 (membrane-inserted)
hsa-mir-320	RAB14	Member of RAS oncogene family
hsa-mir-320	RAB18	Member of RAS oncogene family
hsa-mir-320	RAI2	Retinoic acid induced 2
hsa-mir-320	RAP1A	Member of RAS oncogene family
hsa-mir-320	RAP2C	Member of RAS oncogene family
hsa-mir-320	RASA1	RAS p21 protein activator (GTPase activating protein) 1
hsa-mir-320	SLITRK3	SLIT and NTRK-like family, member 3
hsa-mir-320	TNFRSF21	Tumor necrosis factor receptor superfamily, member 21
hsa-mir-320	TPD52L2	Tumor protein D52-like 2
