Gene title	Gene symbol	30 min (LPS / Vehicle) Nrf2 -/-	30 min (LPS / Vehicle) Nrf2 +/+	1 h (LPS / Vehicle) Nrf2 -/-	1 h (LPS / Vehicle) Nrf2 +/+	6 h (LPS / Vehicle) Nrf2 -/-	6 h (LPS / Vehicle) Nrf2 +/+	12 h (LPS / Vehicle) Nrf2 -/-	12 h (LPS / Vehicle) Nrf2 +/+	24 h (LPS / Vehicle) Nrf2 -/-	24 h (LPS / Vehicle) Nrf2 +/+
Chemokine (C-X-C motif) ligand 10 (Gamma-IP10)	Cxcl10	14.7 +- .6	4.3 +- 0.5	40.5 +- 0.5	25.8 +- 0.4	187.4 +- 0.6	112.2 +- 0.4	40.2 +- 0.6	34.3 +- 0.4	5.0 +- 0.7	5.6 +- 0.4
Chemokine (C-X-C motif) ligand 11(Interferon-inducible T-cell alpha chemoattractant)	Cxcl11	---	---	3.9 +- 0.5	---	177.3 +- 0.5	198.1 +- 0.8	24.8 +- 0.5	41.6 +- 0.9	---	---
Chemokine (C-X-C motif) ligand 9 (Gamma interferon induced monokine)	Cxcl9	14.7 +- 0.5	---	11.7 +- 0.5	---	820.3 +- 0.5	576.0 +- 0.5	837.5 +- 0.5	739.3 +- 0.6	116.2 +- 0.7	68.6 +- 0.7
Epstein-Barr virus induced gene 3	Ebi3	---	---	9.6 +- 0.4	12.2 +- 0.4	8.8 +- 0.4	6.2 +- 0.4	8.2 +- 0.4	6.7 +- 0.4	4.2 +- 0.5	4.0 +- 0.4
Immune-responsive gene 1	Irg1	286.0 +- 0.6	1858 +- 0.4	552 +- 0.4	313 +- 0.4	53 +- 0.4	29 +- 0.8	1082 +- 0.4	304 +- 0.5	183.5 +- 0.7	64.1 +- 0.5
Interferon activated gene 202B	Ifi202b	2.5 +- 0.4	---	3.5 +- 0.5	1.9 +- 0.5	39.4 +- 0.4	21.0 +- 0.4	14.9 +- 0.4	8.7 +- 0.4	6.5 +- 0.4	4.8 +- 0.4
Interferon activated gene 204	Ifi204	4.3 +- 0.4	---	4.8 +- 0.7	1.9 +- 0.5	31.8 +- 0.4	29.9 +- 0.4	12 +- 0.5	9.4 +- 0.4	7.1 +- 0.5	3.7 +- 0.4
Interferon regulatory factor 1	Irf1	5.7 +- 0.4	4.2 +- 0.4	4.5 +- 0.4	3.7 +- 0.4	4.9 +- 0.4	4.5 +- 0.4	2.5 +- 0.4	2.4 +- 0.4	---	---
Interferon regulatory factor 5	Irf5	1.7 +- 0.4	---	2.4 +- 0.4	1.7 +- 0.4	3.8 +- 0.4	3.1 +- 0.4	2.5 +- 0.4	2.2 +- 0.4	2.2 +- 0.4	2.1 +- 0.4
Interferon regulatory factor 7	Irf7	---	---	1.9 +- 0.4	---	22.6 +- 0.4	15.6 +- 0.4	16.3 +- 0.4	13.1 +- 0.4	7.7 +- 0.5	6.0 +- 0.4
Interferon-induced protein 44	Ifi44	---	---	---	---	17.9 +- 0.4	10.6 +- 0.4	6.6 +- 0.4	5.5 +- 0.4	3.1 +- 0.4	1.8 +- 0.4
Interferon-induced protein with tetra-tricopeptide repeats 2protein with tetra-tricopeptide repeats 2  (ISG54)	Ifit2	---	---	---	---	39.9 +- 0.4	23.1 +- 0.4	11.8 +- 0.6	8.2 +- 0.5	2.5 +- 0.5	2.1 +- 0.4
Interferon-induced protein with tetra-tricopeptide repeats 3 (GARG-49)	Ifit3	---	---	---	---	18.4 +- 0.4	9.9 +- 0.4	6.3 +- 0.4	5.8 +- 0.4	2.9 +- 0.5	2.4 +- 0.4
Myxovirus (influenza virus) resistance 1	Mx1	---	---	---	2.1 +- 0.5	49.9 +- 0.4	23.8 +- 0.4	6.9 +- 0.7	4.7 +- 0.4	2.1 +- 0.4	1.9 +- 0.5
