Subgroup	Probe Set	Gene Symbol	Gene ID	P	Kinase Specificity	Function
B-NEG vs E2A/PBX and ALL1/AF4	235626_at	CAMK1D	57118	.000204	STK	Calcium signaling
B-NEG vs E2A/PBX and ALL1/AF4	203139_at	DAPK1	1612	0	STK	Proapoptosis
B-NEG vs E2A/PBX and ALL1/AF4	226497_s_at	FLT1	2321	.008685	TK	Proliferation control
B-NEG vs E2A/PBX and ALL1/AF4	210105_s_at	FYN	2534	.031970	SFK	Signal transduction
B-NEG vs E2A/PBX and ALL1/AF4	235252_at	KSR1	8844	.000335	STK and TK	Ras signaling
B-NEG vs E2A/PBX and ALL1/AF4	227131_at	MAP3K3	4215	.009	STK	MAPK cascade
B-NEG vs E2A/PBX and ALL1/AF4	32625_at	NPR1	4881	.045	RTK	Receptor of a trial and natriuretic peptides
B-NEG vs E2A/PBX and ALL1/AF4	204269_at	PIM2	11040	.000054	STK	Prosurvival activity
B-NEG vs E2A/PBX and ALL1/AF4	209685_s_at	PRKCB1	5579	0	STK	Intracellular signaling cascade
B-NEG vs E2A/PBX and ALL1/AF4	206099_at	PRKCH	5583	.005293	STK	Intracellular signaling cascade
B-NEG vs E2A/PBX and ALL1/AF4	209545_s_at	RIPK2	8767	.000093	STK	Proapoptosis
B-NEG vs E2A/PBX and ALL1/AF4	202853_s_at	RYK	6259	.000001	RTK	Growth factor receptor
B-NEG vs E2A/PBX and ALL1/AF4	202693_s_at	STK17A	9263	.002424	STK	Proapoptosis
B-NEG vs E2A/PBX and ALL1/AF4	223746_at	STK4	6789	.006518	STK and TK	Apoptosis response
B-NEG vs E2A/PBX and BCR/ABL	206674_at	FLT3	2322	0	RTK	Cell proliferation regulation
B-NEG vs E2A/PBX and BCR/ABL	208018_s_at	HCK	3055	.00084	SFK	Neutrophils migration and degranulation
