Gene name	Gene Symbol	GenBank Number	Median basal expression
11beta-Hydroxysteroid dehydrogenase 1	HSD11B1	AH006349	443
20-alpha (3-alpha)-hydroxysteroid dehydrogenase	AKR1C1	M86609	390.56
25-hydroxyvitamin D-1-alpha-hydroxylase	CYP27B1	AB005038	1646.03
3-alpha hydroxysteroid dehydrogenase type III	AKR1C3	AF149416	7137.57
3alpha-Hydroxysteroid dehydrogenase	AKR1C4	S68287	14098.08
3beta-Hydroxy-delta5-steroid dehydrogenase	HSD3B1	S45679	514.91
3beta-Hydroxy-delta5-steroid dehydrogenase 2	HSD3B2	M77144	398.66
7-Dehydrocholesterol reductase	DHCR7	AF034544	617.06
ABCG1	ABCG1	X91249	49518.49
ABCG5	ABCG5	AF312715	328.18
ABCG8	ABCG8	AF320294	48440.61
Acetyl-CoA acetyltransferase 1	ACAT1	D90228	651.44
Acetyl-CoA acetyltransferase 2	ACAT2	S70154	1184.84
Acetyl-CoA C-acyltransferase	HADHB	D16481	719.89
aldehyde dehydrogenase 1 soluble	ALDH1	AF003341	408.77
aldehyde dehydrogenase 10	ALDH10	L47162	19716.96
aldehyde dehydrogenase 2 mitochondrial	ALDH2	X05409	709.67
aldehyde dehydrogenase 3	ALDH3	M74542	1171.22
aldehyde dehydrogenase 4	ALDH4	U24266	299.04
aldehyde dehydrogenase 5	ALDH5	M63967	729.35
aldehyde dehydrogenase 6	ALDH6	U07919	1737.56
aldehyde dehydrogenase 7	ALDH7	U10868	335.47
aldehyde dehydrogenase 9	ALDH9	U34252	1683.66
aldo-keto reductase family 1 member A1	AKR1A1	J04794	946.54
aldo-keto reductase family 7 member A2	AKR7A2	AF026947	531.62
aldo-keto reductase family 7 member A3	AKR7A3	AF040639	527.74
Androgen receptor	hAR	M20132	271.63
Arylsulfatase A	ARSA	U62317	689.4
Arylsulfatase B	ARSB	M32373	889.28
Arylsulfatase D	ARSD	X83572	327.16
Arylsulfatase D (alt)	ARSD (alt)	AF160499	968.31
Arylsulfatase E	ARSE	X83573	608.01
Arylsulfatase F	ARSF	X97868	3101.26
Bcl-2	Bcl-2	M14745	756.76
benzodiazapine receptor (peripheral)	BZRP	M36035	5913.1
cAMP responsive element binding protein-like 1	CREBL1	X98054	1130.87
catechol-O-methyltransferase	COMT	M65212	1596.64
Cholesteryl ester transfer protein	CETP	M30185	341.1
c-Jun	c-Jun	JO4111	1145.09
c-Myc	c-Myc	V00568	336.25
connective tissue growth factor	CTFG	X78947	700.88
constitutive androstane receptor	CAR	AJ224819	81407.6
corticosteroid binding globulin	CBG	JO2943	15940.99
corticotropin releasing hormone receptor 1	CRHR1	U16273	424.61
corticotropin releasing hormone receptor 2	CRHR2	U34587	8763.57
Cox-2	COX2	M90100	406.8
cytochrome P450 subfamily IVF polypeptide 3	CYP4F3	AB002454	871.79
cytochrome P450 subfamily XIA	CYP11A	M14565	296.59
Cytochrome P450 Lanosterol 14 alpha-demethylase	CYP51	AH006655	2352.32
cytochrome P450 retinoid metabolizing protein	P450RAI-2	AF252297	4599.41
delta sleep inducing peptide	DSIPI	Z50781	4358.77
Desert Hedgehog	DHH	U59748	3319.08
Diphosphomevalonate decarboxylase	MVD	U49260	1465.78
Emopamil binding protein sterol isomerase	EBP	Z37986	2119.74
ER beta isoforms	ERB	AB006589	944.95
E-selectin	SELE	NM_000450	742.22
Estradiol 17-beta dehydrogenase 4	HSD17B4	X87176	1198.84
Estradiol 17-beta dehydrogenase 7	HSD17B7	AF098786	390.69
Estradiol 17beta-dehydrogenase 1	HSD17B1	U34879	782.67
Estradiol 17beta-dehydrogenase 2	HSD17B2	AH006532	659.87
Estrogen receptor {exon 6}	ERSTR	S67777	8909.2
Estrogen receptor 1	ERS1	X03635	2549.52
Estrogen receptor 2	ERS2	AF051427	718.44
estrogen-related receptor alpha	ESRRA	X51416	21007.84
estrogen-related receptor beta	ESRRB	X51417	459.54
farnesyl-diphosphate farnesyltransferase 1	FDFT1	L06105	1559.01
farnesyltransferase CAAX box alpha	FNTA	L10413	453.36
farnesyltransferaseCAAX box beta	FNTB	L00635	420.02
ferredoxin reductase	FDXR	JO3826	70082.79
FRAP	FRAP	L34075	338.07
Geranylgeranyl diphosphate synthase 1	GGPS1	AB016043	276.19
Geranyltranstransferase	FDPS	D14697	2934.26
glucocorticoid modulatory element binding protein 1	GMEB1	AF099013	399.07
glucocorticoid modulatory element binding protein 2	GMEB2	AF173867	2106.02
glucocorticoid receptor AF-1 coactivator-1 mRNA	AF173358	AF173358	835.38
Glucuronosyltransferase	UGT2B7	J05428	322.86
Gonadotropin-releasing hormone	GNRH	M12578	373.13
Gonadotropin-releasing hormone receptor	GNRH1	AH005567	11273.27
H.sapiens mRNA novel gluc rec.-assoc. protein	GLUCAR	Z35491	521.15
Heat shock 90kD protein 1 alpha	HSPCA	M27024	20838.87
Heat shock 90kD protein 1 beta	HSPCB	M16660	27786.85
hedgehog-interacting protein	Hhip	AY009317	524.55
Hepatocyte nuclear factor 4 alpha	HNF4A	X76930	6842.15
hepatocyte nuclear factor 4 gamma	HNF4G	Z49826	28569.72
HMG CoA synthase	HMGCS1	L25798	327.69
HMG CoA synthase 2	HMGCS2	X83618	10770.05
Homo sapiens gluc. receptor AF-1 specific elongation	AF174496	AF174496	19525.44
Hsp70	Hsp70	L12723	646.54
Human gluc receptor alpha-2 (region: 332-484)	U01351	U01351	730.94
Hydroxymethylglutaryl-CoA reductase	HMGCR	M11058	6427.43
Hydroxyprostaglandin dehydrogenase	HPGD	L76465	776.76
hydroxysteroid sulfotransferase 2B	SULT2B1	U92314	390.62
ICAM-1	ICAM-1	JO3132	814.89
Indian Hedgehog	IHH	L38517	223.3
interleukin 2 (IL2)	IL-2	A14844	302.26
Interleukin-1beta (IL-1?)	IL1-B	M15330	1915.47
Interleukin-6 (IL-6)	IL-6	M14584	441.1
Interleukin-8 (IL-8)	IL-8	XM_031289	263.33
isopentenyl-diphosphate delta isomerase	IDI1	X17025	522.54
JAK binding protein	SSI-1	AB000734	493.4
lactate dehydrogenase A	LDHA	X02152	6957.36
Lamin B receptor	LBR	L25931	29641.09
Lanosterol synthase	LSS	U22526	607.96
LDL-Receptor	LDLR	AH002776	750.52
