GeneID	GeneName	logFC	P.Value	adj.P.Val
PRKCG	PROTEIN KINASE C	1.40634596	1.18E-09	2.46E-06
AQP10	AQUAPORIN 10	1.473530197	9.08E-10	2.46E-06
PRKD2	PROTEIN KINASE D2	1.507517101	1.44E-09	2.46E-06
PRKD2	PROTEIN KINASE D2	1.756311049	1.06E-08	1.13E-05
C16orf45	CELL DIVISION CYCLE 16 HOMOLOG	1.371891029	4.54E-08	3.52E-05
PRKD2	PROTEIN KINASE D2	1.998046398	4.36E-08	3.52E-05
CDC16	CELL DIVISION CYCLE 16 HOMOLOG	1.075032366	9.27E-08	4.95E-05
PAX9	PAIRED BOX GENE 9	0.856598293	9.86E-08	4.95E-05
LRP1B	LOW DENSITY LIPOPROTEIN-RELATED PROTEIN 1B (DELETED IN TUMORS)	0.797686406	1.28E-07	5.23E-05
TMEM209	TRANSMEMBRANE PROTEIN 209	1.082004243	3.34E-07	8.55E-05
ZNF20	ZINC FINGER PROTEIN 20	1.032917785	3.80E-07	8.55E-05
PCDHGA1	PROTOCADHERIN GAMMA SUBFAMILY A, 1	0.62723065	4.10E-07	8.55E-05
MEIS1	MEIS1, MYELOID ECOTROPIC VIRAL INTEGRATION SITE 1	0.642467389	4.00E-07	8.55E-05
EIF1AY	EUKARYOTIC TRANSLATION INITIATION FACTOR 1A, Y-LINKED	1.169098634	4.41E-07	8.60E-05
SPECC1	SPERM ANTIGEN WITH CALPONIN HOMOLOGY AND COILED-COIL DOMAINS 1	0.69202649	6.03E-07	0.000109595
ZIM2	ZINC FINGER, IMPRINTED 2	1.558923138	6.45E-07	0.000112539
FIZ1	FLT3-INTERACTING ZINC FINGER 1	0.975615394	6.33E-07	0.000112539
PCDHGA1	PROTOCADHERIN GAMMA SUBFAMILY A, 1	0.76455772	7.12E-07	0.00011896
PARVB	PARVIN, BETA	0.604309808	8.00E-07	0.000123259
SPECC1	SPERM ANTIGEN WITH CALPONIN HOMOLOGY AND COILED-COIL DOMAINS 1	0.811034674	8.60E-07	0.000123259
