GenBank	Description	Time (hr)	Mean ratio	Function
N70825	Amphiphysin (Stiff -Mann syndrome in breast cancer )	6	2.49	Cancer progression
	BCL2- interacting killer	2	1.09	Cancer progression
AA576942	BCL2- interacting killer	2	1.06	Cancer progression
H12940	Breast carcinoma fatty acid synthase	2, 4, 6	0.67, 0.54, 0.56	Cancer progression
AA044993	Connective tissue growth factor (IGFBP- 8 )	24	0.47	Cancer progression
R80217	Cyclooxygenase 2 ( hCox 2 ) gene	2	1.73	Cancer progression
AA045731	Early growth response protein - 1, TGFB- inducible	2	1.93	Cancer progression
AA081126	Ephrin A1 tyrosine kinase ligand	2, 4, 6	0.61, 0.46, 0.50	Cancer progression
AA494493	Fas ligand; TNF ligand	2, 24	1.13, 0.660	Cancer progression
AA477173	Fas ligand; TNF ligand	6	0.54	Cancer progression
R89170	Focal adhesion kinase	2, 4, 6, 24	0.71, 0.39, 0.46, 0.55	Cancer progression
R20750	FOS oncogene	2, 24	3.02, 0.56	Cancer progression
W81586	Gardner - Rasheed feline sarcoma viral ( v fgr ) homolog of src2	4, 24	2.68, 5.67	Cancer progression
AA054552	GRO1 oncogene ( melanoma growth - stimulating activity, alpha)	6	0.51	Cancer progression
AA057188	GT198	2	1.59	Cancer progression
N98757	Hepatic angiopoietin - related protein	2	1.43	Cancer progression
W46413	Inhibitor of DNA binding - 3	2	1.5	Cancer progression
AA040602	Insulin - like growth factor binding protein - 3	2	0.71	Cancer progression
R50354	Leukemia inhibitory factor ( cholinergic differentiation factor )	2, 24	2.24, 0.46	Cancer progression
W47073	Leukemia virus receptor 1 (GLVR1)	2, 4	1.92, 1.92	Cancer progression
W49497	MMP 1 ( interstitial collagenase )	4, 6	3.42, 1.9	Cancer progression
AA079861	MMP 9 ( gelatinase B)	4	2.32	Cancer progression
AA017648	MCL1 (myeloid leukemia cell differ protein )	2	1.59	Cancer progression
T84055	Ovarian cancer downregulated myosin heavy chain homolog (Doc1 )	2	1.87	Cancer progression
AA056606	Peripheral - type benzodiazapine receptor	2, 4, 24	1.41, 2.09, 2.18	Cancer progression
T49159	Plasminogen activator inhibitor, type II ( arginine serpin )	24	0.55	Cancer progression
N98421	PTEN	2	1.57	Cancer progression
W37864	PTEN	2	1.16	Cancer progression
N68057	Telomeric repeat - binding factor 1	4, 6	0.51, 0.57	Cancer progression
W49722	Tissue inhibitor of metalloproteinase 2	24	0.58	Cancer progression
T86483	Transferrin	4	2.37	Cancer progression
N47476	Transmembrane 4 superfamily member 1	2, 4, 24,	0.65, 0.49, 0.59	Cancer progression
AA487893	Transmembrane 4 superfamily member 1	4, 24	0.49, 0.58	Cancer progression
AA115151	Tumor - associated calcium signal transducer 2	6, 24	0.58, 0.52	Cancer progression
AA040727	uPA	2, 6, 24	1.51, 0.55, 0.53	Cancer progression
AA148025	uPA receptor	2, 24	1.85, 0.60	Cancer progression
W87741	v -myc avian oncogene	2, 6	1.99, 1.78	Cancer progression
W19225	Vascular endothelial growth factor	2	1.53	Cancer progression
R62813	v -myc 1	2, 4	0.64, 0.51	Cancer progression
T87495	Zinc alpha - 2 glycoprotein; ZAG	2	1.48	Cancer progression
AA053239	A20 DNA -binding protein, NFKB inhibitor	2	1.64	Transcription factors
W87473	CCAAT box -binding transcription factor 1	6	1.61	Transcription factors
AA004524	Cleavage and polyadenylation spec factor, 160 -kDa subunit	4	1.88	Transcription factors
W46792	DP2 ( Humdp2 )	24	1.81	Transcription factors
T89996	Fos -related antigen 1 ( fra1 )	2	2.54	Transcription factors
H91734	GA -binding protein transcription factor, beta subunit 1 ( 53 kDa )	4	1.91	Transcription factors
R31442	GATA -binding protein 3	2	0.62	Transcription factors
AA503220	Jun B	2	2.08	Transcription factors
W46228	Jun B	2	1.81	Transcription factors
R41791	LIM domain kinase 1	2, 4	0.96, 2.26	Transcription factors
R77770	Nuclear receptor coactivator 2	4	0.5	Transcription factors
AA046245	Osteoblast -specific factor 2 ( OSF 2p1 )	2, 4, 6	0.62, 0.45, 0.53	Transcription factors
AA011627	POU domain, transcription factor 2	2	1.6	Transcription factors
AA115165	Stat 3	2	1.15	Transcription factors
W95433	Steroid hormone receptor, NER	4	2.04	Transcription factors
W70150	SW1 / SNF – related chromatin regulator	24	1.73	Transcription factors
H83548	Transcription elongation factor B ( SIII ), elongin A	24	0.48	Transcription factors
W45393	Transcription factor ATF 7	4	1.98	Transcription factors
R67075	Zinc finger protein, ( ZFX putative transcription activator )	2, 4	1.07, 1.32	Transcription factors
AA043478	Zinc finger protein, homologous to mouse Zfp 36	2	1.51	Transcription factors
W80586	CDC46 homolog	2	1.03	Cell cycle
AA031961	CDK7	2, 4, 6	0.46, 0.47, 0.59	Cell cycle
N64843	CDK inhibitor 3	24	1.71	Cell cycle
AA113188	GADD45 B	2, 4, 6	0.67, 0.47, 0.61	Cell cycle
	Notch 4	2	1.9	Cell cycle
AA740551	PMS4 homolog mismatch repair protein	2	1.21	Cell cycle
AA026057	Thyroid autoantigen 70 kDa ( ATP -dependent DNA helicase II )	24	2.72	Cell cycle
AA039640	WEE1 -like tyrosine kinase	2, 4	0.33, 0.45	Cell cycle
H43049	Activin receptor -like kinase 1	4	2.24	Signal transduction
AA045331	ADP ribosylation factor 4 -like, G -protein coupled	2	1.74	Signal transduction
AA143571	cAMP -dependent protein kinase, type 1, alpha	2	1.31	Signal transduction
R78286	CD94 antigen; killer cell lectin -like receptor	2	1.14	Signal transduction
N70450	Coagulation factor II ( thrombin ) receptor	6	0.5	Signal transduction
T79330	Complement factor H -related gene 3	2	1.42	Signal transduction
W49546	Cytokine -inducible kinase	2	2.19	Signal transduction
W19215	Decay accelerating factor for complement ( CD55 )	4	0.48	Signal transduction
W65461	Dual specificity phosphatase 5	2	1.77	Signal transduction
AA056608	Dual specificity phosphatase 10	2	0.7	Signal transduction
W72792	Ephrin receptor, EphB2	2	1.66	Signal transduction
AA074202	Epidermal growth factor receptor substrate 15	2	1.14	Signal transduction
R84974	Fibroblast growth factor receptor 3	24	1.87	Signal transduction
