Probe Set ID	Gene Symbol	Gene Title	SAM P value
218039_at	NUSAP1	nucleolar and spindle associated protein 1	< 4.5×10-8
202503_s_at	KIAA0101	KIAA0101	< 4.5×10-8
204026_s_at	ZWINT	ZW10 interactor	< 4.5×10-8
218883_s_at	MLF1IP	MLF1 interacting protein	< 4.5×10-8
214710_s_at	CCNB1	cyclin B1	< 4.5×10-8
203213_at	CDC2	Cell division cycle 2, G1 to S and G2 to M	< 4.5×10-8
201890_at	RRM2	ribonucleotide reductase M2 polypeptide	< 4.5×10-8
209773_s_at	RRM2	ribonucleotide reductase M2 polypeptide	< 4.5×10-8
205862_at	GREB1	GREB1 protein	< 4.5×10-8
202705_at	CCNB2	cyclin B2	< 4.5×10-8
204641_at	NEK2	NIMA (never in mitosis gene a)-related kinase 2	< 4.5×10-8
204825_at	MELK	maternal embryonic leucine zipper kinase	< 4.5×10-8
202954_at	UBE2C	ubiquitin-conjugating enzyme E2C	4.5×10-8
201292_at	TOP2A	topoisomerase (DNA) II alpha 170kDa	4.5×10-8
204033_at	TRIP13	thyroid hormone receptor interactor 13	4.5×10-8
209714_s_at	CDKN3	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	1.8×10-7
203755_at	BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	1.8×10-7
209408_at	KIF2C	kinesin family member 2C	2.7×10-7
219493_at	SHCBP1	SHC SH2-domain binding protein 1	3.1×10-7
222077_s_at	RACGAP1	Rac GTPase activating protein 1	3.6×10-7
203046_s_at	TIMELESS	timeless homolog (Drosophila)	3.6×10-7
202589_at	TYMS	thymidylate synthetase	8.1×10-7
206102_at	PSF1	DNA replication complex GINS protein PSF1	1.1×10-6
201088_at	KPNA2	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	1.3×10-6
202107_s_at	MCM2	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)	1.8×10-6
203929_s_at	MAPT	microtubule-associated protein tau	2.3×10-6
209172_s_at	CENPF	centromere protein F, 350/400ka (mitosin)	3.0×10-6
218662_s_at	HCAP-G	chromosome condensation protein G	5.4×10-6
206754_s_at	CYP2B7P1	cytochrome P450, family 2, subfamily B, polypeptide 7 pseudogene 1	5.7×10-6
205436_s_at	H2AFX	H2A histone family, member X	6.6×10-6
204170_s_at	CKS2	CDC28 protein kinase regulatory subunit 2	8.4×10-6
202534_x_at	DHFR	dihydrofolate reductase	1.1×10-5
204798_at	MYB	v-myb myeloblastosis viral oncogene homolog (avian)	1.3×10-5
219148_at	PBK	PDZ binding kinase	1.6×10-5
212295_s_at	SLC7A1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	1.8×10-5
213226_at	CCNA2	Cyclin A2	1.8×10-5
200895_s_at	FKBP4	FK506 binding protein 4, 59kDa	1.9×10-5
218585_s_at	DTL	denticleless homolog (Drosophila)	1.9×10-5
203476_at	TPBG	trophoblast glycoprotein	2.7×10-5
219105_x_at	ORC6L	origin recognition complex, subunit 6 homolog-like (yeast)	2.9×10-5
206364_at	KIF14	kinesin family member 14	3.1×10-5
204767_s_at	FEN1	flap structure-specific endonuclease 1	3.5×10-5
201930_at	MCM6	MCM6 minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)	3.6×10-5
204285_s_at	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	3.8×10-5
36499_at	CELSR2	cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)	4.0×10-5
203362_s_at	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	4.4×10-5
219648_at	DSU	dilute suppressor	4.8×10-5
219787_s_at	ECT2	epithelial cell transforming sequence 2 oncogene	4.8×10-5
208808_s_at	HMGB2	high-mobility group box 2	5.2×10-5
211762_s_at	KPNA2	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	5.5×10-5
203764_at	DLG7	discs, large homolog 7 (Drosophila)	5.7×10-5
205009_at	TFF1	trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)	6.1×10-5
203432_at	TMPO	thymopoietin	6.5×10-5
203627_at	IGF1R	Insulin-like growth factor 1 receptor	6.6×10-5
212492_s_at	JMJD2B	jumonji domain containing 2B	8.1×10-5
204029_at	CELSR2	cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)	9.2×10-5
