Hugo ID	Name
LYN	V-yes-1 Yamaguchi sarcoma viral related oncogene homolog
LYN	V-yes-1 Yamaguchi sarcoma viral related oncogene homolog
CTNNB1	Catenin (cadherin-associated protein), beta 1 (88kD)
CTNNB1	Catenin (cadherin-associated protein), beta 1 (88kD)
MLH1	DNA mismatch repair protein MLH1
	T cell receptor alpha-chain
CBX5	HETEROCHROMATIN PROTEIN 1 HOMOLOG
LRRFIP1	GC-RICH SEQUENCE DNA-BINDING FACTOR
VELI1	Tax interaction protein 33
ARF6	ADP-ribosylation factor 6
PRN1	profilin mRNA, complete cds; Desmin
ACTB	Beta-actin (X00351)
AVTB	Beta-actin (X00351)
ACTG2	Gamma-actin, enteric smooth muscle form
ACTB	cytoplasmic beta-actin
ACTG1	ACTIN, CYTOPLASMIC 2 (gamma)
LCP1	Lymphocyte cytosolic protein 1 (L-plastin)
CEP2	centrosomal Nek2-associated protein 1 (C-NAP1)
PIK3CD	p110-delta
PIK3CD	phosphatidylinositol 3-kinase catalytic subunit p110delta
CTL2	Weakly similar to coded for by C. elegans cDNA CEESB82F
RPS6KA1	Ribosomal protein S6 kinase, 90kD, polypeptide 2
TMEM1	GT334 protein (GT334) gene
ABCC1	MULTIDRUG RESISTANCE-ASSOCIATED PROTEIN 1
ZFP36L1	ERF-1
HLA-DRA	HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DR ALPHA CHAIN
HLA-DMA	CLASS II HISTOCOMPATIBILITY ANTIGEN, M ALPHA CHAIN
HLA-DPB1	Major histocompatibility complex, class II, DP beta 1
HLA-DPA1	HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DP(1) ALPHA CHAIN
ACTN2	Actin, alpha 2, smooth muscle, aorta
HLA-DQA1	MHC class II DQ alpha
HLA-DQA1	MHC class II DQ alpha
LOX	Lysyl oxidase
TNFRSF5	similar to gb:X60592 CD40L RECEPTOR PRECURSOR
TNFRSF5	CD40L RECEPTOR PRECURSOR
RGS1	Regulator of G-protein signalling 1
ARHG	Ras homolog gene family, member G (rho G)
LTA	Lymphotoxin alpha (formerly tumor necrosis factor beta)
HLA-DQB1	Major histocompatibility complex, class II, DQ beta 1
HLA-DQB1	MHC class II HLA-DR2-Dw12 mRN A DQw1-beta
EBI3	cytokine receptor (EBI3)
HLA-DRB1	Major histocompatibility complex (MHC) class II protein HLA-DR-beta 1
BCL2A1	Bcl-2 related (Bfl-1)
KIAA0350	KIAA0113
TNFAIP3	PUTATIVE DNA BINDING PROTEIN A20
IL2RG	Interleukin 2 receptor gamma chain
PIP5K2A	53K isoform of Type II phosphatidylinositol-4-phophate 5-kinase
KIAA0350	KIAA0350
LIPA	Lipase A, lysosomal acid, cholesterol esterase (Wolman disease)
DOCK2	KIAA0209 (dedicator of cyto-kinesis 2)
BCL2L1	bcl-xL
BTG1	B-cell translocation gene 1, anti-proliferative
IGBP1	alpha 4 protein (immunoglobulin-binding protein 1)
NFKB1	Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)
DUSP2	DUAL SPECIFICITY PROTEIN PHOSPHATASE PAC-1
RUN X3	PEBP2aC1 acute myeloid leukaemia
BIRC3	IAP homolog C (MIHC)
BIRC3	IAP homolog C (MIHC)
RAP1A	RAP1A, member of RAS oncogene family
RPL27	Ribosomal protein L27
UBE2L3	L-UBC
FCGR2B	LOW AFFINITY IMMUNOGLOBULIN GAMMA FC RECEPTOR II C
ATP1A1	ATPase, Na+/K+ transporting, alpha 1 polypeptide
PRKCD	PROTEIN KINASE C, DELTA TYPE
MAPK10	MAP kinase (JNK3)
POLD4	1.1 kb mRNA upregulated in retinoic acid treated HL-60 neutrophilic cells
MYD88	myleoid differentiation primary response protein MyD88
GATM	L-arginine:glycine amidinotransferase
CTSH	Cathepsin H
VASP	Vasodilator-stimulated phosphoprotein
PLA2G1B	lung phospholipase A-2 (PLA-2) mRNA, clone lung-1
