Probe Set ID	Gene Symbol	Gene Name	Chromosomal location	SNR	Upregulated in
225764_at	ETV6	ets variant 6	12p13	0.8	MBC
218983_at	C1RL	complement component 1, r subcomponent-like	12p13.31	0.8	MBC
1559051_s_at	C6orf150	chromosome 6 open reading frame 150	6q13	0.78	MBC
207535_s_at	NFKB2	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	10q24	0.78	MBC
222062_at	IL27RA	interleukin 27 receptor, alpha	19p13.11	0.73	MBC
221549_at	GRWD1	glutamate-rich WD repeat containing 1	19q13.32	0.7	MBC
210385_s_at	ERAP1	endoplasmic reticulum aminopeptidase 1	5q15	0.69	MBC
1568609_s_at	FAM91A2	family with sequence similarity 91, member A2	1q21.1	0.69	MBC
229625_at	GBP5	guanylate binding protein 5	1p22.2	0.68	MBC
225919_s_at	C9orf72	chromosome 9 open reading frame 72	9p21.2	0.68	MBC
218894_s_at	MAGOHB	mago-nashi homolog B (Drosophila)	12p13.2	0.68	MBC
210154_at	ME2	malic enzyme 2, NAD(+)-dependent, mitochondrial	6p25-p24|18q21	0.67	MBC
227015_at	ASPHD2	aspartate beta-hydroxylase domain containing 2	22q12.1	0.67	MBC
202384_s_at	TCOF1	Treacher Collins-Franceschetti syndrome 1	5q32-q33.1	0.67	MBC
211275_s_at	GYG1	glycogenin 1	3q24-q25.1	0.66	MBC
239196_at	ANKRD22	ankyrin repeat domain 22	10q23.31	0.65	MBC
218627_at	DRAM	damage-regulated autophagy modulator	12q23.2	0.65	MBC
203920_at	NR1H3	nuclear receptor subfamily 1, group H, member 3	11p11.2	0.64	MBC
221807_s_at	TRABD	TraB domain containing	22q13.33	0.64	MBC
228445_at	AIFM2	apoptosis-inducing factor, mitochondrion-associated, 2	10q22.1	0.64	MBC
1555756_a_at	CLEC7A	C-type lectin domain family 7, member A	12p13.2	0.64	MBC
202963_at	RFX5	regulatory factor X, 5 (influences HLA class II expression)	1q21	0.63	MBC
202531_at	IRF1	interferon regulatory factor 1	5q31.1	0.63	MBC
222163_s_at	SPATA5L1	spermatogenesis associated 5-like 1	15q21.1	0.63	MBC
203079_s_at	CUL2	cullin 2	10p11.21	0.63	MBC
218746_at	TAPBPL	TAP binding protein-like	12p13.31	0.63	MBC
220651_s_at	MCM10	minichromosome maintenance complex component 10	10p13	0.63	MBC
204962_s_at	CENPA	centromere protein A	2p24-p21	0.62	MBC
41037_at	TEAD4	TEA domain family member 4	12p13.3-p13.2	0.62	MBC
213088_s_at	DNAJC9	DnaJ (Hsp40) homolog, subfamily C, member 9	10q22.2	0.62	MBC
222666_s_at	RCL1	RNA terminal phosphate cyclase-like 1	9p24.1-p23	0.62	MBC
221185_s_at	IQCG	IQ motif containing G	3q29	0.62	MBC
213923_at	RAP2B	RAP2B, member of RAS oncogene family	3q25.2	0.61	MBC
221586_s_at	E2F5	E2F transcription factor 5, p130-binding	8q21.2	0.61	MBC
202510_s_at	TNFAIP2	tumor necrosis factor, alpha-induced protein 2	14q32	0.61	MBC
222592_s_at	ACSL5	acyl-CoA synthetase long-chain family member 5	10q25.1-q25.2	0.61	MBC
207375_s_at	IL15RA	interleukin 15 receptor, alpha	10p15-p14	0.61	MBC
221696_s_at	STYK1	serine/threonine/tyrosine kinase 1	12p13.2	0.61	MBC
229390_at	FAM26F	family with sequence similarity 26, member F	6q22.1	0.6	MBC
222464_s_at	C10orf119	chromosome 10 open reading frame 119	10q26.11	0.6	MBC
206687_s_at	PTPN6	protein tyrosine phosphatase, non-receptor type 6	12p13	0.6	MBC
206662_at	GLRX	glutaredoxin (thioltransferase)	5q14	0.6	MBC
214427_at	NOP2	NOP2 nucleolar protein homolog (yeast)	12p13	0.59	MBC
213309_at	PLCL2	phospholipase C-like 2	3p24.3	0.59	MBC
227606_s_at	STAMBPL1	STAM binding protein-like 1	10q23.31	0.59	MBC
217497_at	TYMP	thymidine phosphorylase	22q13|22q13.33	0.59	MBC
229437_at	MIRN155	microRNA 155	-	0.59	MBC
220888_s_at	CASS4	Cas scaffolding protein family member 4	20q13.31	0.59	MBC
218451_at	CDCP1	CUB domain containing protein 1	3p21.31	0.59	MBC
223307_at	CDCA3	cell division cycle associated 3	12p13	0.59	MBC
209040_s_at	PSMB8	proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional peptidase 7)	6p21.3	0.59	MBC
201274_at	PSMA5	proteasome (prosome, macropain) subunit, alpha type, 5	1p13	0.58	MBC
223586_at	ARNTL2	aryl hydrocarbon receptor nuclear translocator-like 2	12p12.2-p11.2	0.58	MBC
1569868_s_at	EME2	essential meiotic endonuclease 1 homolog 2 (S. pombe)	16p13.3	0.58	MBC
222428_s_at	LARS	leucyl-tRNA synthetase	5q32	0.57	MBC
218595_s_at	HEATR1	HEAT repeat containing 1	1q43	0.57	MBC
216834_at	RGS1	regulator of G-protein signaling 1	1q31	0.57	MBC
1552623_at	HSH2D	hematopoietic SH2 domain containing	19p13.11	0.57	MBC
221680_s_at	ETV7	ets variant 7	6p21	0.57	MBC
205671_s_at	HLA-DOB	major histocompatibility complex, class II, DO beta	6p21.3	0.57	MBC
227103_s_at	ECE2	endothelin converting enzyme 2	3q27.1|.	0.57	MBC
235783_at	MRTO4	mRNA turnover 4 homolog (S. cerevisiae)	1p36.13	0.57	MBC
200628_s_at	WARS	tryptophanyl-tRNA synthetase	14q32.31	0.57	MBC
225538_at	ZCCHC9	zinc finger, CCHC domain containing 9	5q14.1	0.56	MBC
203196_at	ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	13q32	0.56	MBC
209354_at	TNFRSF14	tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)	1p36.3-p36.2	0.56	MBC
228245_s_at	OVOS2	ovostatin 2	12p11.21	0.56	MBC
212023_s_at	MKI67	antigen identified by monoclonal antibody Ki-67	10q25-qter	0.56	MBC
203868_s_at	VCAM1	vascular cell adhesion molecule 1	1p32-p31	0.56	MBC
221699_s_at	DDX50	DEAD (Asp-Glu-Ala-Asp) box polypeptide 50	10q21.3	0.56	MBC
218542_at	CEP55	centrosomal protein 55kDa	10q23.33	0.56	MBC
217848_s_at	PPA1	pyrophosphatase (inorganic) 1	10q11.1-q24	0.56	MBC
207414_s_at	PCSK6	proprotein convertase subtilisin/kexin type 6	15q26.3	0.55	MBC
201160_s_at	CSDA	cold shock domain protein A	12p13.1	0.55	MBC
219295_s_at	PCOLCE2	procollagen C-endopeptidase enhancer 2	3q21-q24	0.55	MBC
205488_at	GZMA	granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)	5q11-q12	0.55	MBC
202902_s_at	CTSS	cathepsin S	1q21	0.55	MBC
205875_s_at	TREX1	three prime repair exonuclease 1	3p21.31	0.55	MBC
217933_s_at	LAP3	leucine aminopeptidase 3	4p15.32	0.55	MBC
235574_at	GBP4	guanylate binding protein 4	1p22.2	0.55	MBC
201489_at	PPIF	peptidylprolyl isomerase F	10q22-q23	0.55	MBC
235256_s_at	GALM	galactose mutarotase (aldose 1-epimerase)	2p22.1	0.55	MBC
209969_s_at	STAT1	signal transducer and activator of transcription 1, 91kDa	2q32.2	0.55	MBC
239835_at	KBTBD8	kelch repeat and BTB (POZ) domain containing 8	3p14	0.55	MBC
205205_at	RELB	v-rel reticuloendotheliosis viral oncogene homolog B	19q13.32	0.55	MBC
206785_s_at	KLRC1	killer cell lectin-like receptor subfamily C, member 1	12p13	0.55	MBC
210538_s_at	BIRC3	baculoviral IAP repeat-containing 3	11q22	0.55	MBC
203973_s_at	CEBPD	CCAAT/enhancer binding protein (C/EBP), delta	8p11.2-p11.1	0.54	MBC
204924_at	TLR2	toll-like receptor 2	4q32	0.54	MBC
204183_s_at	ADRBK2	adrenergic, beta, receptor kinase 2	22q11|22q12.1	0.54	MBC
204618_s_at	GABPB2	GA binding protein transcription factor, beta subunit 2	1q21.2	0.54	MBC
205180_s_at	ADAM8	ADAM metallopeptidase domain 8	10q26.3	0.54	MBC
221652_s_at	C12orf11	chromosome 12 open reading frame 11	12p11.23	0.54	MBC
205692_s_at	CD38	CD38 molecule	4p15	0.54	MBC
227211_at	PHF19	PHD finger protein 19	9q33.2	0.54	MBC
217371_s_at	IL15	interleukin 15	4q31	0.54	MBC
203206_at	FAM53B	family with sequence similarity 53, member B	10q26.13	0.54	MBC
200039_s_at	PSMB2	proteasome (prosome, macropain) subunit, beta type, 2	1p34.2	0.54	MBC
203382_s_at	APOE	apolipoprotein E	19q13.2	0.54	MBC
203508_at	TNFRSF1B	tumor necrosis factor receptor superfamily, member 1B	1p36.3-p36.2	0.54	MBC
202307_s_at	TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	6p21.3	0.54	MBC
202906_s_at	NBN	nibrin	8q21	0.54	MBC
204279_at	PSMB9	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)	6p21.3	0.54	MBC
238802_at	TYSND1	trypsin domain containing 1	10q22.1	0.53	MBC
225978_at	RIMKLB	ribosomal modification protein rimK-like family member B	12p13.31	0.53	MBC
201600_at	PHB2	prohibitin 2	12p13	0.53	MBC
209233_at	EMG1	EMG1 nucleolar protein homolog (S. cerevisiae)	12p13	0.53	MBC
203927_at	NFKBIE	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon	6p21.1	0.53	MBC
202580_x_at	FOXM1	forkhead box M1	12p13	0.53	MBC
205890_s_at	UBD	ubiquitin D	6p21.3	0.53	MBC
205790_at	SKAP1	src kinase associated phosphoprotein 1	17q21.32	0.53	MBC
209075_s_at	ISCU	iron-sulfur cluster scaffold homolog (E. coli)	12q24.1	0.53	MBC
209770_at	BTN3A1	butyrophilin, subfamily 3, member A1	6p22.1	0.53	MBC
214097_at	RPS21	ribosomal protein S21	20q13.3	0.53	MBC
216253_s_at	PARVB	parvin, beta	22q13.2-q13.33	0.52	MBC
218992_at	C9orf46	chromosome 9 open reading frame 46	9p24.1	0.52	MBC
209045_at	XPNPEP1	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble	10q25.3	0.52	MBC
218670_at	PUS1	pseudouridylate synthase 1	12q24.33	0.52	MBC
204269_at	PIM2	pim-2 oncogene	Xp11.23	0.52	MBC
225415_at	DTX3L	deltex 3-like (Drosophila)	3q21.1	0.52	MBC
217794_at	PRR13	proline rich 13	12q12	0.52	MBC
228217_s_at	PSMG4	proteasome (prosome, macropain) assembly chaperone 4	6p25.2	0.52	MBC
206513_at	AIM2	absent in melanoma 2	1q22	0.52	MBC
212875_s_at	C2CD2	C2 calcium-dependent domain containing 2	21q22.3	0.52	MBC
204862_s_at	NME3	non-metastatic cells 3, protein expressed in	16q13	0.52	MBC
216841_s_at	SOD2	superoxide dismutase 2, mitochondrial	6q25.3	0.52	MBC
206486_at	LAG3	lymphocyte-activation gene 3	12p13.32	0.52	MBC
204702_s_at	NFE2L3	nuclear factor (erythroid-derived 2)-like 3	7p15-p14	0.52	MBC
215379_x_at		immunoglobulin lambda locus	22q11.1-q11.2	0.52	MBC
200901_s_at	M6PR	mannose-6-phosphate receptor (cation dependent)	12p13	0.52	MBC
219033_at	PARP8	poly (ADP-ribose) polymerase family, member 8	5q11.1	0.52	MBC
211623_s_at	FBL	fibrillarin	19q13.1	0.52	MBC
213106_at	ATP8A1	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1	4p14-p12	0.51	MBC
202406_s_at	TIAL1	TIA1 cytotoxic granule-associated RNA binding protein-like 1	10q	0.51	MBC
220091_at	SLC2A6	solute carrier family 2 (facilitated glucose transporter), member 6	9q34	0.51	MBC
1564224_x_at	UNQ2963	hypothetical protein LOC283314	12p13.31	0.51	MBC
227228_s_at	CCDC88C	coiled-coil domain containing 88C	14q32.12	0.51	MBC
203734_at	FOXJ2	forkhead box J2	12p13.31	0.51	MBC
38241_at	BTN3A3	butyrophilin, subfamily 3, member A3	6p21.3	0.51	MBC
222681_at	KTELC1	KTEL (Lys-Tyr-Glu-Leu) containing 1	3q13.33	0.51	MBC
212816_s_at	CBS	cystathionine-beta-synthase	21q22.3	0.51	MBC
214527_s_at	PQBP1	polyglutamine binding protein 1	Xp11.23	0.51	MBC
238010_at	C1orf174	chromosome 1 open reading frame 174	1p36.32	0.51	MBC
243196_s_at	TRAFD1	TRAF-type zinc finger domain containing 1	12q	0.51	MBC
204343_at	ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3	16p13.3	0.51	MBC
243161_x_at	ZFP42	zinc finger protein 42 homolog (mouse)	4q35.2	0.51	MBC
1552584_at	IL12RB1	interleukin 12 receptor, beta 1	19p13.1	0.51	MBC
230563_at	RASGEF1A	RasGEF domain family, member 1A	10q11.21	0.51	MBC
209860_s_at	ANXA7	annexin A7	10q21.1-q21.2	0.51	MBC
206247_at	MICB	MHC class I polypeptide-related sequence B	6p21.3	0.51	MBC
218793_s_at	SCML1	sex comb on midleg-like 1 (Drosophila)	Xp22.2-p22.1	0.51	MBC
203828_s_at	IL32	interleukin 32	16p13.3	0.51	MBC
233500_x_at	CLEC2D	C-type lectin domain family 2, member D	12p13	0.51	MBC
222613_at	C12orf4	chromosome 12 open reading frame 4	12p13.3	0.51	MBC
54970_at	ZMIZ2	zinc finger, MIZ-type containing 2	7p13	0.5	MBC
209339_at	SIAH2	seven in absentia homolog 2 (Drosophila)	3q25	0.5	MBC
209585_s_at	MINPP1	multiple inositol polyphosphate histidine phosphatase, 1	10q23	0.5	MBC
214017_s_at	DHX34	DEAH (Asp-Glu-Ala-His) box polypeptide 34	19q13.3	0.5	MBC
220012_at	ERO1LB	ERO1-like beta (S. cerevisiae)	1q42.2-q43	0.5	MBC
208815_x_at	HSPA4	heat shock 70kDa protein 4	5q31.1-q31.2	0.5	MBC
223774_at	SNHG12	small nucleolar RNA host gene 12 (non-protein coding)	1p35.3	0.5	MBC
201330_at	RARS	arginyl-tRNA synthetase	5q35.1	0.5	MBC
1555870_at	RNF207	ring finger protein 207	1p36.31	0.5	MBC
214011_s_at	NOP16	NOP16 nucleolar protein homolog (yeast)	5q35.2	0.5	MBC
200871_s_at	PSAP	prosaposin	10q21-q22	0.5	MBC
227983_at	RILPL2	Rab interacting lysosomal protein-like 2	12q24.31	0.5	MBC
227697_at	SOCS3	suppressor of cytokine signaling 3	17q25.3	0.5	MBC
204096_s_at	ELL	elongation factor RNA polymerase II	19p13.1	0.5	MBC
221869_at	ZNF512B	zinc finger protein 512B	20q13.33	0.5	MBC
219067_s_at	NSMCE4A	non-SMC element 4 homolog A (S. cerevisiae)	10q26.13	0.5	MBC
202637_s_at	ICAM1	intercellular adhesion molecule 1	19p13.3-p13.2	0.5	MBC
229813_x_at	DAZAP1	DAZ associated protein 1	19p13.3	0.5	MBC
205013_s_at	ADORA2A	adenosine A2a receptor	22q11.23	0.5	MBC
225051_at	EPB41	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)	1p33-p32	0.5	MBC
201859_at	SRGN	serglycin	10q22.1	0.5	MBC
203028_s_at	CYBA	cytochrome b-245, alpha polypeptide	16q24	0.5	MBC
201458_s_at	BUB3	budding uninhibited by benzimidazoles 3 homolog (yeast)	10q26	0.5	MBC
226896_at	CHCHD1	coiled-coil-helix-coiled-coil-helix domain containing 1	10q22.2	0.5	MBC
202188_at	NUP93	nucleoporin 93kDa	16q13	0.5	MBC
202659_at	PSMB10	proteasome (prosome, macropain) subunit, beta type, 10	16q22.1	0.5	MBC
212295_s_at	SLC7A1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	13q12-q14	0.5	MBC
224206_x_at	MYNN	myoneurin	3q26.2	0.5	MBC
205467_at	CASP10	caspase 10, apoptosis-related cysteine peptidase	2q33-q34	0.5	MBC
218682_s_at	SLC4A1AP	solute carrier family 4 (anion exchanger), member 1, adaptor protein	2p23.2	0.5	MBC
212322_at	SGPL1	sphingosine-1-phosphate lyase 1	10q21	0.49	MBC
209175_at	SEC23IP	SEC23 interacting protein	10q25-q26	0.49	MBC
212886_at	CCDC69	coiled-coil domain containing 69	5q33.1	0.49	MBC
229723_at	TAGAP	T-cell activation RhoGTPase activating protein	6q25.3	0.49	MBC
228522_at	LOC642031	hypothetical protein LOC642031	-	0.49	MBC
217168_s_at	HERPUD1	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	16q12.2-q13	0.49	MBC
201422_at	IFI30	interferon, gamma-inducible protein 30	19p13.1	0.49	MBC
233177_s_at	PNKD	paroxysmal nonkinesigenic dyskinesia	2q35	0.49	MBC
202670_at	MAP2K1	mitogen-activated protein kinase kinase 1	15q22.1-q22.33	0.49	MBC
218889_at	NOC3L	nucleolar complex associated 3 homolog (S. cerevisiae)	10q23.33	0.49	MBC
208747_s_at	C1S	complement component 1, s subcomponent	12p13	0.49	MBC
228332_s_at	C11orf31	chromosome 11 open reading frame 31	11q12.1	0.49	MBC
208315_x_at	TRAF3	TNF receptor-associated factor 3	14q32.32	0.49	MBC
224692_at	PPP1R15B	protein phosphatase 1, regulatory (inhibitor) subunit 15B	1q32.1	0.49	MBC
213145_at	FBXL14	F-box and leucine-rich repeat protein 14	12p13.33	0.49	MBC
205718_at	ITGB7	integrin, beta 7	12q13.13	0.49	MBC
214084_x_at	NCF1	neutrophil cytosolic factor 1	7q11.23	0.49	MBC
204318_s_at	GTSE1	G-2 and S-phase expressed 1	22q13.2-q13.3	0.49	MBC
1553961_s_at	SNX21	sorting nexin family member 21	20q13.12	-0.48	nonMBC
227556_at	NME7	non-metastatic cells 7, protein expressed in (nucleoside-diphosphate kinase)	1q24	-0.48	nonMBC
202756_s_at	GPC1	glypican 1	2q35-q37	-0.48	nonMBC
225125_at	MMGT1	membrane magnesium transporter 1	Xq26.3	-0.48	nonMBC
219789_at	NPR3	natriuretic peptide receptor C/guanylate cyclase C (atrionatriuretic peptide receptor C)	5p14-p13	-0.48	nonMBC
205375_at	MDFI	MyoD family inhibitor	6p21	-0.48	nonMBC
232270_at	C9orf3	chromosome 9 open reading frame 3	9q22.32	-0.48	nonMBC
204894_s_at	AOC3	amine oxidase, copper containing 3 (vascular adhesion protein 1)	17q21	-0.48	nonMBC
212573_at	ENDOD1	endonuclease domain containing 1	11q21	-0.48	nonMBC
207876_s_at	FLNC	filamin C, gamma (actin binding protein 280)	7q32-q35	-0.48	nonMBC
201605_x_at	CNN2	calponin 2	19p13.3	-0.48	nonMBC
204339_s_at	RGS4	regulator of G-protein signaling 4	1q23.3	-0.48	nonMBC
230214_at	MRVI1	murine retrovirus integration site 1 homolog	11p15	-0.48	nonMBC
222573_s_at	SAV1	salvador homolog 1 (Drosophila)	14q13-q23	-0.48	nonMBC
227313_at	CNPY4	canopy 4 homolog (zebrafish)	7q22.1	-0.48	nonMBC
227088_at	PDE5A	phosphodiesterase 5A, cGMP-specific	4q25-q27	-0.48	nonMBC
223387_at	ZFYVE1	zinc finger, FYVE domain containing 1	14q22-q24	-0.48	nonMBC
205116_at	LAMA2	laminin, alpha 2	6q22-q23	-0.48	nonMBC
209094_at	DDAH1	dimethylarginine dimethylaminohydrolase 1	1p22	-0.49	nonMBC
208714_at	NDUFV1	NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa	11q13	-0.49	nonMBC
201660_at	ACSL3	acyl-CoA synthetase long-chain family member 3	2q34-q35	-0.49	nonMBC
226589_at	TMEM192	transmembrane protein 192	4q32.3	-0.49	nonMBC
226997_at	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif, 12	5q35	-0.49	nonMBC
223398_at	C9orf89	chromosome 9 open reading frame 89	9q22.31	-0.49	nonMBC
227713_at	KATNAL1	katanin p60 subunit A-like 1	13q12.3	-0.49	nonMBC
211986_at	AHNAK	AHNAK nucleoprotein	11q12.2	-0.49	nonMBC
213916_at	ZNF20	zinc finger protein 20	19p13.3-p13.2	-0.49	nonMBC
226992_at	NOSTRIN	nitric oxide synthase trafficker	2q24.3	-0.49	nonMBC
227819_at	LGR6	leucine-rich repeat-containing G protein-coupled receptor 6	1q32.1	-0.49	nonMBC
205066_s_at	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1	6q22-q23	-0.49	nonMBC
229002_at	FAM69B	family with sequence similarity 69, member B	9q34.3	-0.49	nonMBC
212458_at	SPRED2	sprouty-related, EVH1 domain containing 2	2p14	-0.49	nonMBC
209955_s_at	FAP	fibroblast activation protein, alpha	2q23	-0.49	nonMBC
205898_at	CX3CR1	chemokine (C-X3-C motif) receptor 1	3p21|3p21.3	-0.49	nonMBC
226245_at	KCTD1	potassium channel tetramerisation domain containing 1	18q11.2	-0.49	nonMBC
211926_s_at	MYH9	myosin, heavy chain 9, non-muscle	22q13.1	-0.49	nonMBC
214841_at	CNIH3	cornichon homolog 3 (Drosophila)	1q42.12	-0.49	nonMBC
220466_at	CCDC15	coiled-coil domain containing 15	11q24.2	-0.49	nonMBC
226770_at	MAGI3	membrane associated guanylate kinase, WW and PDZ domain containing 3	1p12-p11.2	-0.49	nonMBC
204469_at	PTPRZ1	protein tyrosine phosphatase, receptor-type, Z polypeptide 1	7q31.3	-0.49	nonMBC
205405_at	SEMA5A	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A	5p15.2	-0.49	nonMBC
210762_s_at	DLC1	deleted in liver cancer 1	8p22	-0.49	nonMBC
219823_at	LIN28	lin-28 homolog (C. elegans)	1p36.11	-0.5	nonMBC
1554640_at	PALM2	paralemmin 2	9q31-q33	-0.5	nonMBC
32837_at	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)	9q34.3	-0.5	nonMBC
209256_s_at	KLHDC10	kelch domain containing 10	7q32.2	-0.5	nonMBC
212097_at	CAV1	caveolin 1, caveolae protein, 22kDa	7q31.1	-0.5	nonMBC
212701_at	TLN2	talin 2	15q15-q21	-0.5	nonMBC
205499_at	SRPX2	sushi-repeat-containing protein, X-linked 2	Xq21.33-q23	-0.5	nonMBC
