Signal	Ratio	Difference	Gene Symbol	Protein/Gene	Function
Strong	2.9	1306	CSF2	GM-CSF receptor	Growth factors, cytokines and receptors
Weak	2.76	153	GRM7	Metabotropic glutamate receptor 7	Growth factors, cytokines and receptors
Medium	2.28	453	EPR1	Effector cell protease receptor-1 (EPR-1)	Growth factors, cytokines and receptors
Strong	2.25	1111	SERPINF1	Pigment epithelium-differentiation factor (PEDF)	Growth factors, cytokines and receptors
Medium	2.2	221	EPHB4	Hepatoma transmembrane kinase ligand (HTK ligand)	Growth factors, cytokines and receptors
Medium	2.16	297		Alpha-2-macroglobulin receptor-associated protein	Growth factors, cytokines and receptors
Strong	2.07	2485	SSPN	K-ras oncogene protein	Growth factors, cytokines and receptors
Strong	2.56	1876	EEF1A1	Nuclear-encoded mitochondrial elongation factor Ts (EF-Ts)	Regulation of gene expression
Medium	2.55	249	DDX42	RNA helicase-related protein	Regulation of gene expression
Medium	2.52	224	SNRNP70	U1 small nuclear ribonucleoprotein 70 kd protein	Regulation of gene expression
Strong	2.48	4000	RPS12	Ribosomal protein S12	Regulation of gene expression
Medium	2.23	419	CHAF1A	Chromatin assembly factor-I p150 subunit	Regulation of gene expression
Medium	2.19	370	SF3B2	Spliceosome associated protein (SAP 145)	Regulation of gene expression
Weak	2.07	227	CEP250	Centrosomal Nek2-associated protein 1 (C-NAP1)	Regulation of gene expression
Strong	5.96	8882	GNAQ	GTP-binding protein alpha q subunit (GNAQ)	Cell cycle and metabolism
Medium	4.29	777		RASF-A PLA2 (phospholipase A2)	Cell cycle and metabolism
Strong	3.67	1420	MAPK4	63 kDa protein kinase related to rat ERK3	Cell cycle and metabolism
Medium	3.05	805	PES1	Pescadillo	Cell cycle and metabolism
Medium	2.66	612	CDK1	CDC2 gene involved in cell cycle control	Cell cycle and metabolism
Strong	2.33	5672	CLOCK	Clock	Cell cycle and metabolism
Medium	2.07	628	ASNS	Ts11 gene encoding a G-1 progression protein	Cell cycle and metabolism
Medium	2.07	443	CANX	Calnexin	Cell cycle and metabolism
Medium	3.02	566	SPP1	Osteopontin	Cell–cell interaction, communication and cell structure
Weak	2.47	227	TJP1	Tight junction (zonla occludens) protein ZO-1	Cell–cell interaction, communication and cell structure
Weak	2.47	210	AQP7	Aquaporin adipose	Cell–cell interaction, communication and cell structure
Weak	2.4	167	RGPD5	Sperm membrane protein BS-63	Cell–cell interaction, communication and cell structure
Weak	2.26	254	SYNGR3	Synaptogyrin 3	Cell–cell interaction, communication and cell structure
Medium	2.18	322	TSPAN31	Transmembrane 4 superfamily protein (SAS)	Cell–cell interaction, communication and cell structure
Medium	2.17	391	TAPBP	Tapasin (NGS-17)	Cell–cell interaction, communication and cell structure
Medium	2.04	487	TNNI2	Troponin I fast-twitch isoform	Cell–cell interaction, communication and cell structure
Medium	11.21	1970	MATK	HYL tyrosine kinase	Proteolysis and kinase activation
Strong	4.41	3174	AKR1C1	Dihydrodiol dehydrogenase	Proteolysis and kinase activation
Medium	3.15	311	CTSL1	Pro-cathepsin L (proteolytic enzyme)	Proteolysis and kinase activation
Medium	3.04	333	GLB1	Beta-D-galactosidase	Proteolysis and kinase activation
Medium	2.94	418	WARS	Tryptophanyl tRNA synthetase (IFNWRS)	Proteolysis and kinase activation
Medium	2.78	558	PDE7B	Rolipram-sensitive 30,50-cyclic AMP phosphodiesterase	Proteolysis and kinase activation
Weak	2.65	186	MTCK	Sarcomeric mitochondrial creatin kinase (MtCK) gene	Proteolysis and kinase activation
Weak	2.31	216	IMPDH1	IMP dehydrogenase type 1	Proteolysis and kinase activation
Strong	2.27	1053	PTPRD	Protein tyrosine phosphatase (PTPase)	Proteolysis and kinase activation
