miRNAs	P	FDR†	GMinadenocarcinoma‡	GMinSQ§	Fold-changeadenocarcinoma/SQ?	UniqueID
hsa-let-7g	<1e-07	<1e-07	0.19	0.09	2.18	MIMAT0000414
hsa-let-7b	1.00E-07	6.60E-06	0.49	0.27	1.83	MIMAT0000063
hsa-let-7c	1.00E-07	6.60E-06	0.35	0.18	1.95	MIMAT0000064
hsa-mir-29a	2.00E-07	7.90E-06	0.35	0.18	1.98	MIMAT0000086
hsa-let-7f-1	2.00E-07	7.90E-06	0.18	0.09	2.14	MIMAT0000067
hsa-mir-323b	4.00E-07	1.13E-05	1.25	1.46	0.86	MIMAT0001630
hsa-let-7d	4.00E-07	1.13E-05	0.46	0.3	1.54	MIMAT0000065
hsa-mir-98	6.00E-07	1.32E-05	0.25	0.12	2.06	MIMAT0000096
hsa-let-7i	6.00E-07	1.32E-05	0.25	0.13	1.84	MIMAT0000415
hsa-mir-26a	8.00E-07	1.58E-05	0.63	0.28	2.27	MIMAT0000082
hsa-mir-509-3	1.00E-06	1.80E-05	0.69	0.89	0.78	MIMAT0002881
hsa-mir-30b	1.40E-06	2.31E-05	0.21	0.11	1.85	MIMAT0000420
hsa-mir-146b	2.10E-06	2.97E-05	0.05	0.03	1.71	MIMAT0002809
hsa-mir-106b	2.10E-06	2.97E-05	0.11	0.07	1.52	MIMAT0000680
hsa-let-7a	2.30E-06	3.04E-05	0.27	0.16	1.73	MIMAT0000062
hsa-mir-663	3.50E-06	4.31E-05	1.32	0.94	1.4	MIMAT0003326
hsa-mir-30d	3.70E-06	4.31E-05	0.63	0.39	1.62	MIMAT0000245
hsa-mir-17	4.70E-06	5.17E-05	0.09	0.05	1.6	MIMAT0000070
hsa-mir-498	5.30E-06	5.52E-05	1.31	0.87	1.51	MIMAT0002824
hsa-mir-26b	6.40E-06	6.34E-05	0.4	0.23	1.75	MIMAT0000083
hsa-let-7e	1.11E-06	1.00E-04	0.49	0.37	1.32	MIMAT0000066
hsa-mir-654	1.28E-06	1.15E-04	0.53	0.43	1.24	MIMAT0003330
hsa-mir-181a	1.65E-06	1.42E-04	0.57	0.38	1.52	MIMAT0000256
hsa-mir-103	2.21E-05	1.78E-04	0.38	0.25	1.51	MIMAT0000101
hsa-mir-195	2.25E-05	1.78E-04	0.21	0.12	1.66	MIMAT0000461
hsa-mir-191	2.38E-05	1.81E-04	0.4	0.29	1.41	MIMAT0000440
hsa-mir-20a	2.80E-05	1.99E-04	0.05	0.03	1.61	MIMAT0000075
hsa-mir-106a	2.81E-05	2.32E-04	0.07	0.05	1.56	MIMAT0000103
hsa-mir-29c	3.46E-05	2.32E-04	0.43	0.26	1.66	MIMAT0000681
hsa-mir-29b	3.51E-05	2.32E-04	0.46	0.26	1.79	MIMAT0000100
hsa-mir-491	5.51E-05	3.52E-04	1.11	0.84	1.33	MIMAT0002807
hsa-mir-19b	5.76E-05	3.56E-04	0.07	0.04	1.59	MIMAT0000074
hsa-mir-107	7.63E-05	4.58E-04	0.37	0.25	1.45	MIMAT0000104
hsa-mir-16	9.43E-05	5.49E-04	0.16	0.1	1.56	MIMAT0000069
