Target ID	UniGene ID	Probe ID	Entrez ID	t-test	fold change (clear cell/nose)
TACSTD1		4070575	4072	0.000886525	123.1483668
MMP7		3800088	4316	0.000123133	80.13184214
SPP1		3840154	6696	0.000181362	70.5524781
GPX3		5490019	2878	0.001254583	68.88910147
CDH1		1300113	999	0.000661332	66.26926589
DEFB1		4920040	1672	0.002361915	65.00791812
SPP1		3460070	6696	0.000226588	62.28567804
HLADMB		4900731	3109	9.72E-05	54.61603436
CLDN16		5960102	10686	0.000189259	52.71416529
MMP7		2350537	4316	0.000382751	48.71127862
DLX5		3370767	1749	1.69E-05	46.47153671
PRODH		5860689	5625	0.000190862	45.79964491
FXYD2		6860154	486	0.001364066	44.43773346
LOC642299		6020561	642299	1.77E-06	41.81573889
GLDC		4210397	2731	1.89E-05	41.12514127
S100A4		3990458	6275	0.006966244	40.83419675
NCALD		60093	83988	0.000348807	40.43128358
EFHD1		1980484	80303	0.000254067	36.63364812
C1ORF106		7100021	55765	1.64E-05	33.23832401
NELL2		7550358	4753	0.000538759	32.89532823
LAD1		1170349	3898	0.001110443	31.03927258
SLC3A1		4480300	6519	0.001573993	28.72295537
FOLR1		6650068	2348	0.000523654	27.95462724
IMPA2		2340241	3613	2.46E-06	26.89699316
KCNJ16		3370544	3773	3.24E-05	26.67915039
SCIN		730592	85477	0.006783056	26.34242824
SEMA6A		7050682	57556	0.005981162	26.10157274
TM4SF18		5080128	116441	0.004288778	25.99224514
UGT2B7		1190064	7364	0.000192655	25.9100337
VTCN1		1090048	79679	0.0009534	25.79211978
NCALD		520553	83988	0.00057991	25.45946502
UGT2B7		5420450	7364	0.000523263	24.79090823
FOLR1		3840709	2348	0.000330483	24.49958262
RASL11B		3370129	65997	4.74E-05	23.68658802
ZIC2		510368	7546	0.000191766	22.5190709
EVI1		730544	2122	4.36E-07	22.40756796
IRX3		5690408	79191	0.006278839	21.65080794
LOC651957		5560707	651957	0.00015133	20.87629115
UGT1A6		6370703	54578	0.007869413	20.7773569
CDCA7		2070520	83879	2.12E-08	18.65834237
NLF2		5860093	388125	0.004399485	17.72487051
ITGB2		3890373	3689	0.000170519	17.59950008
TM4SF18		7400291	116441	0.005821564	17.21416709
SCNN1A		7040487	6337	0.007064782	17.17271987
CD24		5090347	934	0.001287112	16.94689604
UCP2		6580059	7351	4.34E-05	14.99239732
PDE9A		830563	5152	0.000362632	14.71160458
BAIAP2L2		6280605	80115	7.01E-05	14.63875093
FGF18		5810528	8817	0.005228867	14.29793453
CRB3		7400524	92359	0.000475922	14.25432145
TCF2		3520632	6928	6.94E-06	13.79300492
ITGB2		7200156	3689	0.000389089	13.7868165
GDA		4060347	9615	4.65E-05	13.6085087
GDF15		5090671	9518	0.002780557	13.59826523
HOOK1		3120053	51361	0.000681889	13.31216275
ERBB3		4560288	2065	0.002312885	13.26731594
FGFR3		6520139	2261	0.008269408	13.10333859
LOC728811		160326	728811	0.000332223	12.85816299
	Hs.125395	290372	0	3.01E-05	12.71576624
HGD		2100358	3081	0.0001728	12.6187869
UGT1A6		5670328	54578	0.00832363	12.3354607
NLRP2		1510170	55655	0.007351056	12.29927743
VAV3		6560279	10451	0.006399566	12.25197956
PGBD5		3850129	79605	0.000137652	12.24915487
AGPAT9		2060477	84803	2.25E-05	12.21720899
CD24		610437	934	0.003267743	11.97426685
MYEOV		6100360	26579	5.10E-05	11.91095956
WNT7A		3870131	7476	0.003764034	11.52247769
KCNG3		5390435	170850	0.000306567	11.50449961
PRAME		4480301	23532	0.000339095	11.45930027
LOC644612		6020112	644612	0.000428541	11.34444932
SLCO4A1		4560736	28231	4.13E-06	11.26129153
OGDHL		3400685	55753	0.003017111	11.0920405
C9ORF140		1010470	89958	8.02E-07	11.05130275
FLJ12684		3370377	79584	1.10E-05	11.01126822
PSAT1		4850674	29968	6.41E-06	10.92583718
SNTB1		3420739	6641	0.000776583	10.89275684
ELF3		1510300	1999	0.000325121	10.81356576
MGC13057		4900309	84281	0.000552768	10.67637437
TNNC1		2690343	7134	0.003325845	10.66011263
KCNQ2		1510075	3785	0.009180832	10.65612766
CYP4F11		2260274	57834	0.002365836	10.57535775
VAV3		6130326	10451	0.000109563	10.5179263
SEMA4A		2850576	64218	0.003757912	10.40510859
ICAM2		730156	3384	0.005787511	10.20027155
C8ORF4		5570731	56892	0.000807798	10.11200139
C9ORF58		4010647	83543	0.000293319	10.01008485
CYP2C18		4860307	1562	0.002107381	9.884454648
FUT4		7160373	2526	0.000474876	9.829681192
C1ORF186		730338	440712	0.000167173	9.556292352
SHISA2		7650523	387914	0.000190503	9.211686021
LOC100101266		6450193	0	3.29E-05	9.211474292
