Symbol	Gene names
EST	Homo sapiens cDNA FLJ11027
CYP17A1	cytochrome P450, family 17, subfamily A, polypeptide 1
MEIS3	Meis1, myeloid ecotropic viral integration site 1 homolog 3
EST	Homo sapiens cDNA FLJ38272
EST	ESTs, Weakly similar to Hypothetical protein KIAA1223
TPMT	thiopurine S-methyltransferase
EST (4966)	hypothetical protein MGC2752
GCNT2	glucosaminyl (N-acetyl) transferase 2
ASML3B	acid sphingomyelinase-like phosphodiesterase
EST (3890)	EST
EST	Homo sapiens cDNA FLJ38995
EST (1603)	EST
EST (2704)	hypothetical protein LOC202347
EST (1598)	EST
AGER	advanced glycosylation end product-specific receptor
EST	Homo sapiens cDNA FLJ39130
CALM3	calmodulin 3
EST (3438)	Homo sapiens cDNA YQ51D06
EST (5161)	KIAA0913 protein
EST (3872)	ESTs, Weakly similar to hypothetical protein FLJ20489
HELO1	homolog of yeast long chain fatty acid elongation enzyme 2
CCNG1	cyclin G1
ZFP36L2	zinc finger protein 36. C3H type-like 2
CENTB2	centaurin, beta 2
BZW1	basic leucine zipper and W2 domains 1
SPEC2	non-kinase Cdc42 effector protein SPEC2
BACH1	BTB and CNC homology 1
PNN	pinin
FLJ23790	hypothetical protein FLJ23790
OSBPL3	oxysterol binding protein-like 3
FLI1	Friend leukemia virus integration 1
CSF2RB	colony stimulating factor 2 receptor, beta
ESTs	Homo sapiens cDNA FLJ33024
FLJ10420	hypothetical protein FLJ10420
EIF4A2	eukaryotic translation initiation factor 4A, isoform 2
TPM3	tropomyosin 3
DAZAP2	DAZ associated protein 2
PGRMC1	progesterone receptor membrane component 1
PDCD4	programmed cell death 4
TC10	ras-like protein TC10
EST	Homo sapiens cDNA DKFZp313N1434
DEFA3	defensin, alpha 3
PRSS15	protease, serine, 15
EST	Homo sapiens cDNA: FLJ21869
MLC1SA	myosin light chain 1 slow a
KIAA1128	KIAA1128 protein
DEFA3	defensin, alpha 3
FKBP8	FK506 binding protein 8
SKP2	S-phase kinase-associated protein 2
CDR1	cerebellar degeneration-related protein 1
DEFA4	defensin, alpha 4
EST (0137)	EST
TCEB2	transcription elongation factor B, polypeptide 2
GPX1	glutathione peroxidase 1
SLC35A1	solute carrier family 35 member 1
CORO2B	coronin, actin binding protein, 2B
MYL6	myosin, light polypeptide 6, alkali, muscle and non-muscle
EDN	eosinophil-derived neurotoxin
EDN	eosinophil-derived neurotoxin
LOC203411	hypothetical protein LOC203411
HDAC1	histone deacetylase 1
SMARCA2	SWI/SNF-related, matrix-asso. Actin regulator of chromatin
RNF4	ring finger protein 4
NDRG1	N-myc downstream regulated gene 1
CBX7	chromobox homolog 7
FNBP1	formin binding protein 1
U5-100K	U5 snRNP 100 kd protein
PSCD1	pleckstrin homology, Sec7 and coiled/coil domains 1
LAMP1	lysosomal-associated membrane protein 1
MYC	v-myc myelocytomatosis viral oncogene homolog
NCL	nucleolin
ZNFN1A1	zinc finger protein, subfamily 1A, 1
PABPC1	poly(A) binding protein, cytoplasmic 1
ELAVL1	(embryonic lethal, abnormal vision, Drosophila)-like 1
CDK7	cyclin-dependent kinase 7
IARS	isoleucine-tRNA synthetase
HOXA2	homeo box A2
EST	Homo sapiens, clone IMAGE: 5301034
ING1	inhibitor of growth family, member 1
SMARCA2	SWI/SNF-related, matrix-asso. actin regulator of chromatin
