Rank	Gene	Accession No.	P value
1	ESTs, weakly similar to A47224 thyroxine-binding globulin precursor	AA805575	<0.0001
2	protein tyrosine phosphatase, non-receptor type 2	AA477822	<0.0001
3	ESTs, weakly similar to neuronal thread protein	AA279391	0.0006
4	protein tyrosine phosphatase, non-receptor type 2	AA193262	<0.0001
5	NADH dehydrogenase (ubiquinone) flavoprotein 2 (24 kD)	AA809629	0.0089
6	ESTs	AA714020	0.0482
7	MAD, mothers against decapentaplegic homolog 4	AA441842	0.0058
8	ribosomal protein L13	AI479066	0.0286
9	unknown A	NA	0.0175
10	glutathione synthetase	AA284323	0.0354
11	ESTs, weakly similar to VAMP-5 (MYOBREVIN) (HSPC191)	AI436418	0.0029
12	protein kinase C, ?1	AA262174	0.0235
13	regulator of G-protein signalling 16	AA292532	0.0003
14	ribosomal protein S3A	M84711	0.0011
15	CD9 antigen (p24)	AA412053	0.001
