Probeset	V2 CR Gene Symbol	Univariate P Value	Unique GS Best P value	Significant ?0.05?	Found in Chung	ID_REF	Univariate P Value	Unique GS Best P value	Significant ?0.05?
227140_at	INHBA	0.0022	0.0022	yes	INHBA	11526	0.017	0.017	yes
205207_at	IL6	0.013	0.013	yes	IL6	12520	0.011	0.011	yes
207536_s_at	TNFRSF9	0.016	0.016	yes	TNFRSF9	640	0.16	0.16	no
210229_s_at	CSF2	0.018	0.018	yes	CSF2	12442	0.66	0.66	no
224071_at	IL20	0.041	0.041	yes					no
226498_at	FLT1	0.046	0.046	yes					no
209909_s_at	TGFB2	0.047	0.047	yes	TGFB2	9161	0.011	0.011	yes
210133_at	CCL11	0.1	0.1	no	CCL11	4214	0.14	0.14	no
203915_at	CXCL9	0.12	0.12	no	CXCL9	5251	0.12	0.12	no
204103_at	CCL4	0.13	0.13	no	CCL4	6929	0.61	0.61	no
206924_at	IL11	0.13	0.13	no	IL11	13236	0.029	0.029	yes
209946_at	VEGFC	0.13	0.13	no	VEGFC	1331	0.64	0.64	no
205242_at	CXCL13	0.17	0.17	no	CXCL13	5603	0.39	0.39	no
242579_at	BMPR1B	0.18	0.18	no	BMPR1B	7214	0.21	0.21	no
226218_at	IL7R	0.18	0.18	no	IL7R	11275	0.00087	0.00087	yes
202859_x_at	IL8	0.19	0.19	no	IL8	13230	0.23	0.23	no
206569_at	IL24	0.23	0.23	no	IL24	4458	0.48	0.48	no
203510_at	MET	0.23	0.23	no	MET	12810	0.19	0.19	no
1554008_at	OSMR	0.25	0.25	no	OSMR	8566	0.19	0.19	no
222719_s_at	PDGFC	0.25	0.25	no					no
214974_x_at	CXCL5	0.27	0.27	no					no
210405_x_at	TNFRSF10B	0.32	0.32	no	TNFRSF10B	8983	0.38	0.38	no
214038_at	CCL8	0.36	0.36	no	CCL8	13239	0.26	0.26	no
204533_at	CXCL10	0.37	0.37	no	CXCL10	4445	0.45	0.45	no
210233_at	IL1RAP	0.37	0.37	no	IL1RAP	3156	0.94	0.94	no
204470_at	CXCL1	0.38	0.38	no	CXCL1	13124	0.09	0.09	no
209774_x_at	CXCL2	0.41	0.41	no	CXCL2	13079	0.097	0.097	no
1560999_a_at	IL12RB2	0.49	0.49	no					no
210163_at	CXCL11	0.5	0.5	no	CXCL11	10083	0.6	0.6	no
204655_at	CCL5	0.54	0.54	no	CCL5	13448	0.041	0.041	yes
205114_s_at	CCL3L1	0.59	0.59	no					no
205476_at	CCL20	0.6	0.6	no	CCL20	1117	0.082	0.082	no
205290_s_at	BMP2	0.63	0.63	no	BMP2	494	0.73	0.73	no
1553574_at	IFNE1	0.65	0.65	no					no
230170_at	OSM	0.66	0.66	no	OSM	2328	0.29	0.29	no
218368_s_at	TNFRSF12A	0.68	0.68	no					no
39402_at	IL1B	0.72	0.72	no	IL1B	9861	0.18	0.18	no
210513_s_at	VEGF	0.74	0.74	no					no
208075_s_at	CCL7	0.84	0.84	no	CCL7	14280	0.04	0.04	yes
207850_at	CXCL3	0.87	0.87	no	CXCL3	1476	0.036	0.036	yes
214146_s_at	PPBP	0.89	0.89	no	PPBP	8285	0.0014	0.0014	yes
206336_at	CXCL6	0.9	0.9	no	CXCL6	2087	0.098	0.098	no
