Gene Symbol	Gene Description
A	protein A
AGER	advanced glycosylation end product-specific receptor
AGL	amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)
AGTR1	angiotensin receptor 1
ASL	argininosuccinate lyase
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)
CACNB2	calcium channel, voltage-dependent, beta 2 subunit
CALB1	calbindin 1, (28kD)
CBX3	chromobox homolog 3 (HP1 gamma homolog, Drosophila)
CCNE1	cyclin E1
CDC42	cell division cycle 42 (GTP binding protein, 25kD)
CHI3L2	chitinase 3-like 2
COVA1	cytosolic ovarian carcinoma antigen 1
ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1
F2R	coagulation factor II (thrombin) receptor
FACL2	fatty-acid-Coenzyme A ligase, long-chain 2
FDFT1	farnesyl-diphosphate farnesyltransferase 1
FLJ20195	hypothetical protein FLJ20195
FOSL1	FOS-like antigen 1
HPN	hepsin (transmembrane protease, serine 1)
KPNA1	karyopherin alpha 1 (importin alpha 5)
LGALS7	lectin, galactoside-binding, soluble, 7 (galectin 7)
LOC91137	hypothetical protein BC017169
LTF	lactotransferrin
MAPK7	mitogen-activated protein kinase 7
MAPK9	mitogen-activated protein kinase 9
MFN1	mitofusin 1
MJD	Machado-Joseph disease (spinocerebellar ataxia 3, olivopontocerebellar ataxia 3, autosomal dominant, ataxin 3)
MMP16	matrix metalloproteinase 16 (membrane-inserted)
MMRN	multimerin
MPI	mannose phosphate isomerase
MRPL3	mitochondrial ribosomal protein L3
MTHFD1	methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase
MYCN	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)
MYH9	myosin, heavy polypeptide 9, non-muscle
NAGLU	N-acetylglucosaminidase, alpha- (Sanfilippo disease IIIB)
NDUFA5	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5 (13kD, B13)
NMU	neuromedin U
NNMT	nicotinamide N-methyltransferase
NR1H4	nuclear receptor subfamily 1, group H, member 4
NRG1	neuregulin 1
PCYT2	phosphate cytidylyltransferase 2, ethanolamine
RPL36AL	ribosomal protein L36a-like
SEMA3B	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B
SF3B3	splicing factor 3b, subunit 3, 130kD
SFRS3	splicing factor, arginine/serine-rich 3
SIAHBP1	fuse-binding protein-interacting repressor
SPK	symplekin; Huntingtin interacting protein I
SRM	spermidine synthase
STAT5B	signal transducer and activator of transcription 5B
STK4	serine/threonine kinase 4
SYT1	synaptotagmin I
TAF12	TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 20 kD
TEAD1	TEA domain family member 1 (SV40 transcriptional enhancer factor)
TEGT	testis enhanced gene transcript (BAX inhibitor 1)
TGFBI	transforming growth factor, beta-induced, 68kD
TITF1	thyroid transcription factor 1
TNA	tetranectin (plasminogen binding protein)
UQCRC2	ubiquinol-cytochrome c reductase core protein II
VAV2	vav 2 oncogene
ZNF177	zinc finger protein 177
ZNF268	zinc finger protein 268
