Gene	Clone	UG cluster	Fold-diff L/AT	t-value
homeo box D13	3462557	Hs.158309	11.83	7.062
serine protease inhibitor, Kazal type, 5	776793	Hs.331555	5.94	8.181
ESTs	1671596	Hs.109438	4.93	13.602
solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2	1634540	Hs.102307	4.2	6.082
secretory leukocyte protease inhibitor (antileukoproteinase)	2510171	Hs.251754	4.16	16.271
homeo box B13	1861743	Hs.66731	4.05	8.675
connective tissue growth factor	1674454	Hs.75511	3.95	8.584
phospholipase A2, group IIA (platelets, synovial fluid)	699410	Hs.76422	3.67	7.063
BRCA1 associated protein	1623214	Hs.122764	3.55	8.922
retinoic acid receptor responder (tazarotene induced) 2	1988108	Hs.37682	3.52	11.449
EGF-containing fibulin-like extracellular matrix protein 1	1798209	Hs.76224	3.38	10.01
solute carrier family 28 (sodium-coupled nucleoside transporter), member 2	1632811	Hs.193665	3.38	4.58
protease inhibitor 3, skin-derived (SKALP)	2503913	Hs.112341	3.37	7.596
S100 calcium binding protein P	2060823	Hs.2962	3.36	6.604
family with sequence similarity 3, member C	1926135	Hs.29882	3.27	14.945
CMP-NeuAC:(beta)-N-acetylgalactosaminide (alpha)2,6-sialyltransferase member VI	2504517	Hs.109672	3.14	10.762
protein phosphatase 1, regulatory (inhibitor) subunit 12B	1998571	Hs.130760	3.11	18.458
sialyltransferase 1 (beta-galactoside alpha-2,6-sialytransferase)	3211926	Hs.374528	3.04	6.441
chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	1669647	Hs.237356	3.01	11.956
somatostatin	2494617	Hs.12409	2.97	4.029
pancreatic lipase-related protein 2	885032	Hs.143113	2.96	7.095
cysteine-rich, angiogenic inducer, 61	1514989	Hs.8867	2.94	5.131
osteoblast specific factor 2 (fasciclin I-like)	1994715	Hs.136348	2.93	4.685
immunoglobulin heavy constant gamma 3 (G3m marker)	3553751		2.9	6.49
ribonuclease, RNase A family, 1 (pancreatic)	3086929	Hs.78224	2.84	10.639
cysteine-rich protein 1 (intestinal)	2121863	Hs.3192	2.8	7.641
trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)	963536		2.75	4.323
NADPH oxidase 1	2793437	Hs.132370	2.75	4.532
potassium voltage-gated channel, Isk-related family, member 3	795187	Hs.30715	2.74	6.565
lumican	1228124	Hs.79914	2.74	10.06
alpha-actinin-2-associated LIM protein	1924344	Hs.135281	2.74	12.32
homeo box D10	979945	Hs.123070	2.68	4.523
zinc finger protein 238	2555828	Hs.69997	2.68	10.038
F lambda 8=Ig lambda-like gene/beta-glucuronidase exon 11 homolog {5 region} [human, fetal liver, mRNA Partial, 452 nt]	1682769	Hs.350074	2.68	10.596
hypothetical protein MGC10724	1886965	Hs.5378	2.68	9.835
tryptase, beta (tryptase II)	2188753		2.66	7.811
complement component 1, s subcomponent	1904751	Hs.169756	2.62	11.162
immunoglobulin lambda joining 3	4950102	Hs.375599	2.6	8.159
gap junction protein, beta 3, 31kDa (connexin 31)	613084	Hs.98485	2.5	4.234
Incyte EST	1756235		2.5	3.766
activating transcription factor 3	1888594	Hs.460	2.48	5.675
neurotrophic tyrosine kinase, receptor, type 2	1912284	Hs.374634	2.48	4.552
regulator of G-protein signalling 2, 24kDa	1218114	Hs.78944	2.46	13.78
peripheral myelin protein 22	587154	Hs.103724	2.41	12.137
aldolase C, fructose-bisphosphate	1211682	Hs.155247	2.39	10.859
Incyte EST	194162		2.38	4.831
immunoglobulin lambda joining 3	537100	Hs.375599	2.36	7.727
leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5	3508771	Hs.77062	2.35	6.38
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma	224996	Hs.43505	2.33	9.48
procollagen C-endopeptidase enhancer	1672920	Hs.202097	2.33	10.031
protein tyrosine phosphatase, receptor type, O	488722	Hs.258609	2.32	4.626
BTG family, member 3	637576	Hs.77311	2.3	12.019
disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	1976279	Hs.81988	2.3	11.938
polymerase (RNA) II (DNA directed) polypeptide B, 140kDa	690313	Hs.119206	2.26	10.442
delta sleep inducing peptide, immunoreactor	2307314	Hs.75450	2.26	10.054
immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides	1001933	Hs.76325	2.25	5.313
S100 calcium binding protein A4 (calcium protein, calvasculin, metastasin, murine placental homolog)	1222317	Hs.81256	2.22	10.881
kallikrein 1, renal/pancreas/salivary	1327263	Hs.123107	2.19	4.943
chondroitin sulfate proteoglycan 2 (versican)	1623237	Hs.81800	2.18	8.296
kinesin family member 5C	1596268	Hs.408943	2.17	3.923
RAB33A, member RAS oncogene family	241353	Hs.56294	2.15	4.249
frizzled-related protein	1657792	Hs.153684	2.12	9.287
transmembrane 4 superfamily member 11 (plasmolipin)	2839553	Hs.12701	2.1	4.374
SEC24 related gene family, member D (S. cerevisiae)	1511120	Hs.19822	2.09	10.225
chromosome 1 open reading frame 24	608361	Hs.349071	2.08	7.95
hypothetical protein FLJ20152	1938951	Hs.82273	2.08	4.732
transgelin	4049957	Hs.75777	2.08	9.29
immunoglobulin kappa constant	2996770	Hs.306357	2.07	7.016
defensin, alpha 4, corticostatin	174705	Hs.2582	2.07	10.641
alpha-2-macroglobulin	1600726	Hs.74561	2.07	5.675
collagen, type VI, alpha 1	2062088	Hs.108885	2.07	11.623
vimentin	1522716		2.06	6.222
serine (or cysteine) proteinase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)	3124244	Hs.151242	2.06	11.968
sodium channel, nonvoltage-gated 1, beta (Liddle syndrome)	1866654	Hs.37129	2.06	4.016
