Probe ID	Gene name	Expression level; FNAB (fine-needle aspiration biopsy) specimen	Expression level; Tissue specimen
33990_at	Albumin	282	587
36621_at	Alpha-2-HS-glycoprotein	556	905
38890_at	Amyloid P component, serum	361	715
1962_at	Arginase, liver	63	131
37202_at	Coagulation factor II (thrombin)	442	719
38458_at	Cytochrome b-5	159	462
40379_at	Cytochrome P450, subfamily IIE (ethanol-inducible), polypeptide 1	707	1481
37019_at	Fibrinogen, B beta polypeptide	1216	2466
36983_f_at	Haptoglobin	769	2335
38611_at	Lipase, hepatic	17	44
39106_at	Apolipoprotein A-I	1584	3285
