Symbol	Gene name	GenBank accession no.	Fold change	Function
FLNB	Filamin B, beta (ABP-278)	AF042166	2.5	Actin cytoskeleton
GEM	GTP binding protein overexpressed in skeletal muscle	U10550	2.9	Actin cytoskeleton
KRT18	Keratin 18	M26326	39.6	Actin cytoskeleton
LPXN	Leupaxin	AF062075	3.3	Actin cytoskeleton
MAPRE2	Microtubule-associated protein, RP/EB family, 2	X94232	8.6	Actin cytoskeleton
PPL	Periplakin	AF001691	30.2	Actin cytoskeleton
SDCBP	Syndecan binding protein (syntenin)	AF000652	2.7	Actin cytoskeleton
TNNT1	Troponin T1, skeletal, slow	AJ011712	5.5	Actin cytoskeleton
TUBB	Tubulin, beta polypeptide	AF035316	3.4	Actin cytoskeleton
CXCL1	Chemokine (C-X-C motif) ligand 1 (MGSA)	X54489	21.2	Cell motility
CXCL6	Chemokine (C-X-C motif) ligand 6 (GCP-2)	U81234	37.8	Cell motility
LGALS3BP	Lectin, galactoside binding, soluble, 3 binding protein	L13210	5.2	Cell motility
LAMA3	Laminin, 3	L34155	5.7	ECM
RELN	Reelin	U79716	3.8	ECM
SPOCK	Sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican)	X73608	3.2	ECM
CASP1	Caspase-1, apoptosis-related cysteine protease (IL1BC)	M87507	4.5	Proteolysis
CTSC	Cathepsin C	X87212	6.4	Proteolysis
MMP1	Matrix metalloproteinase 1 (interstitial collagenase)	M13509	5.8	Proteolysis
MMP3	Matrix metalloproteinase 3 (stromelysin 1, progelatinase)	X05232	21.1	Proteolysis
PLAU	Plasminogen activator, urokinase	X02419	6.6	Proteolysis
PRSS3	Protease, serine, 3 (mesotrypsin)	X71345	38.7	Proteolysis
TFPI	Tissue factor pathway inhibitor (LACI)	M59499	7.9	Proteolysis
ADORA2B	Adenosine A2b receptor	X68487	50.1	Membrane receptors
CD9	CD9 antigen (p24)	M38690	3.2	Membrane receptors
EPHA2	EphA2	M59371	3.6	Membrane receptors
EPHB6	EphB6	D83492	8.7	Membrane receptors
EGFR	EGFR	X00588	10.9	Membrane receptors
FZD2	Frizzled homolog 2	L37882	3.8	Membrane receptors
GPRC5B	G-protein-coupled receptor C5B	AC_004131	11.7	Membrane receptors
ITGA2	Integrin, 2	X17033	6.1	Membrane receptors
ITGA3	Integrin, 3	M59911	3	Membrane receptors
ITGA6	Integrin, 6	S66213	12.5	Membrane receptors
IL1RL1	Interleukin-1 receptor-like 1 (ST2)	D12763	4.2	Membrane receptors
LIFR	Leukemia inhibitory factor receptor	X61615	4.6	Membrane receptors
MET	Met proto-oncogene (HGFR)	J02958	3.5	Membrane receptors
PTGER4	Prostaglandin E receptor 4 (subtype EP4)	L25124	14.1	Membrane receptors
PTGFR	Prostaglandin F receptor (FP)	AF004021	10.8	Membrane receptors
RA13	Retinoic acid induced 3	AF095448	4.2	Membrane receptors
RAIG-2	GPRC5B	HG4272-HT4542	5.5	Membrane receptors
SYNGR3	Synaptogyrin 3	AJ002309	5.3	Membrane receptors
TM4SF1	Transmembrane 4 superfamily, 1	M90657	19.8	Membrane receptors
TM4SF3	Transmembrane 4 superfamily, 3	M35252	188.9	Membrane receptors
ARL7	ADP-ribosylation factor-like 7	AB016811	3.9	Signal transduction
APBB2	Amyloid beta (A4) precursor protein binding B2 (Fe65-like)	U62325	3.7	Signal transduction
ICK	Intestinal cell kinase	AB023153	3.7	Signal transduction
MAP4K2	Mitogen-activated protein kinase kinase kinase kinase 2	U07349	4.8	Signal transduction
NMU	Neuromedin U	X76029	7	Signal transduction
SHC3	Neuronal Shc	D84361	12.1	Signal transduction
NMT2	N-Myristoyltransferase 2	AF043325	5.5	Signal transduction
PPT2	Palmitoyl-protein thioesterase 2	AF020543	3.1	Signal transduction
PIK3CB	Phosphoinositide-3-kinase, catalytic, beta polypeptide	S67334	2.7	Signal transduction
PIK3CD	Phosphoinositide 3-kinase, catalytic, delta polypeptide	Y10055	7.6	Signal transduction
PKIA	Protein kinase (cAMP-dependent, catalytic) inhibitor alpha	S76965	5	Signal transduction
PTPRF	Protein tyrosine phosphatase, receptor type, F (LAR)	Y00815	3.3	Signal transduction
PTPRK	Protein tyrosine phosphatase, receptor type, K	L77886	3.1	Signal transduction
ARHI	Ras homolog gene family, 1 (NOEY2)	U96750	4.7	Signal transduction
RRAS2	Ras-like protein TC21	HG1111-HT111	4	Signal transduction
RHOBTB3	Rho-related BTB domain containing 3	AB020685	2.7	Signal transduction
STAC	Src homology three (SH3) and cysteine-rich domain	D86640	2.8	Signal transduction
CART1	Cartilage paired-class homeoprotein 1	U31986	5	Transcription factors
FOXF2	Forkhead box F2	U13220	3.5	Transcription factors
FOXO1A	Forkhead box O1A (rhabdomyosarcoma)	AF032885	2.8	Transcription factors
NR2F2	Nuclear receptor 2F2	M64497	12.4	Transcription factors
TFAP2A	Transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	M36711	44.3	Transcription factors
TP53	Tumor protein p53	X02469	3.5	Transcription factors
CDC20	CDC20 cell division cycle 20 homolog	U05340	3.6	Cell cycle and growth
CKS2	CDC28 protein kinase regulatory subunit 2	X54942	3.3	Cell cycle and growth
CCNB1	Cyclin B1	M25753	4.3	Cell cycle and growth
CDKN3	Cyclin-dependent kinase inhibitor 3	L25876	3.8	Cell cycle and growth
ORC2L	Origin recognition complex, subunit 2-like	U27459	3.1	Cell cycle and growth
BAX	BCL2-associated X protein	L22475	5.4	Apoptosis
CARD10	Caspase recruitment domain family, 10	AL049851	5.2	Apoptosis
CLU	Clusterin (CLI, SP-40, TRPM2, APOJ)	M25915	9.1	Apoptosis
PTTG1	Pituitary tumor-transforming 1 (securin)	AA203476	5.1	Apoptosis
TNFRSF10B	Tumor necrosis factor receptor superfamily, 10b (TRAIL-R2)	AF016266	3.1	Apoptosis
TNFRSF21	Tumor necrosis factor receptor superfamily, 21 (DR6)	AF068868	2.7	Apoptosis
