Gene	Clone	UG cluster	Fold-diff L/AT	t-value
homeo box D13	3462557	Hs.158309	8.15	5.932
solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2	1634540	Hs.102307	5.71	6.656
serine protease inhibitor, Kazal type, 5	776793	Hs.331555	5.39	6.606
ESTs	1671596	Hs.109438	5.23	17.146
secretory leukocyte protease inhibitor (antileukoproteinase)	2510171	Hs.251754	4.52	15.136
homeo box B13	1861743	Hs.66731	4.31	7.999
BRCA1 associated protein	1623214	Hs.122764	4.06	9.395
connective tissue growth factor	1674454	Hs.75511	4.03	8.561
EGF-containing fibulin-like extracellular matrix protein 1	1798209	Hs.76224	4.03	11.436
protease inhibitor 3, skin-derived (SKALP)	2503913	Hs.112341	3.93	7.209
NADPH oxidase 1	2793437	Hs.132370	3.88	6.904
solute carrier family 28 (sodium-coupled nucleoside transporter), member 2	1632811	Hs.193665	3.73	4.161
retinoic acid receptor responder (tazarotene induced) 2	1988108	Hs.37682	3.72	11.839
sialyltransferase 1 (beta-galactoside alpha-2,6-sialytransferase)	3211926	Hs.374528	3.66	6.651
osteoblast specific factor 2 (fasciclin I-like)	1994715	Hs.136348	3.51	4.614
cysteine-rich protein 1 (intestinal)	2121863	Hs.3192	3.4	11.104
S100 calcium binding protein P	2060823	Hs.2962	3.39	5.728
CMP-NeuAC:(beta)-N-acetylgalactosaminide (alpha)2,6-sialyltransferase member VI	2504517	Hs.109672	3.32	10.432
family with sequence similarity 3, member C	1926135	Hs.29882	3.32	12.324
cysteine-rich, angiogenic inducer, 61	1514989	Hs.8867	3.28	5.845
phospholipase A2, group IIA (platelets, synovial fluid)	699410	Hs.76422	3.27	6.014
protein phosphatase 1, regulatory (inhibitor) subunit 12B	1998571	Hs.130760	3.18	18.759
somatostatin	2494617	Hs.12409	3.11	4.037
chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	1669647	Hs.237356	3.08	11.331
alpha-actinin-2-associated LIM protein	1924344	Hs.135281	3.05	14.464
ribonuclease, RNase A family, 1 (pancreatic)	3086929	Hs.78224	3.01	9.321
lumican	1228124	Hs.79914	2.96	9.508
zinc finger protein 238	2555828	Hs.69997	2.96	9.885
tryptase, beta (tryptase II)	2188753	Hs.294158	2.92	8.132
immunoglobulin heavy constant gamma 3 (G3m marker)	3553751		2.91	5.489
pancreatic lipase-related protein 2	885032	Hs.143113	2.91	5.52
F lambda 8=Ig lambda-like gene/beta-glucuronidase exon 11 homolog {5 region} [human, fetal liver, mRNA Partial, 452 nt]	1682769	Hs.350074	2.81	8.142
hypothetical protein MGC10724	1886965	Hs.5378	2.78	8.712
immunoglobulin lambda joining 3	4950102	Hs.375599	2.76	7.575
trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)	963536	Hs.350470	2.75	4.418
complement component 1, s subcomponent	1904751	Hs.169756	2.75	10.449
leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5	3508771	Hs.77062	2.73	7.39
gap junction protein, beta 3, 31kDa (connexin 31)	613084	Hs.98485	2.72	4.009
potassium voltage-gated channel, Isk-related family, member 3	795187	Hs.30715	2.66	5.615
kinesin family member 5C	1596268	Hs.408943	2.64	5.692
activating transcription factor 3	1888594	Hs.460	2.59	4.71
immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides	1001933	Hs.76325	2.56	5.197
Incyte EST	194162		2.55	4.86
regulator of G-protein signalling 2, 24kDa	1218114	Hs.78944	2.52	12.922
procollagen C-endopeptidase enhancer	1672920	Hs.202097	2.51	11.158
aldolase C, fructose-bisphosphate	1211682	Hs.155247	2.45	8.801
BTG family, member 3	637576	Hs.77311	2.44	13.077
immunoglobulin lambda joining 3	537100	Hs.375599	2.42	6.526
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma	224996	Hs.43505	2.4	9.588
peripheral myelin protein 22	587154	Hs.103724	2.38	11.104
protein tyrosine phosphatase, receptor type, O	488722	Hs.258609	2.37	4.539
complement component 1, r subcomponent	1664320	Hs.1279	2.35	11.02
delta sleep inducing peptide, immunoreactor	2307314	Hs.75450	2.35	10.388
vimentin	1522716		2.35	8.437
chondroitin sulfate proteoglycan 2 (versican)	1623237	Hs.81800	2.34	7.947
S100 calcium binding protein A4 (calcium protein, calvasculin, metastasin, murine placental homolog)	1222317	Hs.81256	2.34	11.252
alpha-2-macroglobulin	1600726	Hs.74561	2.33	6.59
kallikrein 1, renal/pancreas/salivary	1327263	Hs.123107	2.32	4.65
transmembrane 4 superfamily member 11 (plasmolipin)	2839553	Hs.12701	2.32	3.999
disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	1976279	Hs.81988	2.3	10.955
immunoglobulin kappa constant	2996770	Hs.306357	2.29	8.181
nicotinamide N-methyltransferase	604856	Hs.76669	2.23	5.068
polymerase (RNA) II (DNA directed) polypeptide B, 140kDa	690313	Hs.119206	2.22	9.467
KIAA1324 protein	1808121	Hs.104696	2.22	8.727
SEC24 related gene family, member D (S. cerevisiae)	1511120	Hs.19822	2.22	11.137
hypothetical protein FLJ20152	1938951	Hs.82273	2.2	8.852
methylene tetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase	2455118	Hs.154672	2.2	10.442
carboxypeptidase A3 (mast cell)	1707656	Hs.646	2.19	4.433
pyruvate dehydrogenase phosphatase	1819282	Hs.22265	2.18	11.072
chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	1736734	Hs.237356	2.15	13.719
Homo sapiens, clone MGC:26991 IMAGE:4826722, mRNA, complete cds	2223118	Hs.194609	2.15	4.44
