Gene Symbol	Gene Name
IFIT1	Interferon-induced protein with tetratricopeptide repeats 1
CIG5	Viperin
C1orf29	Chromosome 1 open reading frame 29
GBP1	Guanylate binding protein 1, interferon-inducible, 67kD
ISG15	Interferon-stimulated protein, 15 kDa
JUN	V-jun sarcoma virus 17 oncogene homolog (avian)
JUN	V-jun sarcoma virus 17 oncogene homolog (avian)
TNFSF10	tumor necrosis factor (ligand) superfamily, member 10
ABL1	V-abl Abelson murine leukemia viral oncogene homolog 1
OAS1	2 , 5-oligoadenylate synthetase 1 (40-46 kD)
CXCL10	small inducible cytokine subfamily B (Cys-X-Cys), member 10
RPN1	Ribophorin 1
AP3M2	Adaptor-related protein complex 3, mu 2 subunit
MUT	Methylmalonyl coenzyme A mutase
SF1	Splicing factor 1
ISGF3G	Interferon-stimulated transcription factor 3, gamma (48kD)
HLA-DQA1	Major  histocompatibility complex, class II, DQ alpha 1
F2	Coagulation factor II (thrombin)
NPY1R	Neuropeptide Y receptor Y1
IFITM1	Interferon induced transmembrane protein 1 (9-27)
RAP1GA1	RAP1, GTPase activating protein 1
PRLR	Prolactin receptor
ALOX12P2	Arachidonate 12-lipoxygenase pseudogene 2
GPRK2L	G protein-coupled receptor kinase 2 (Drosophila)-like
CA5A	Carbonic anhydrase VA, mitochondrial
ATF3	Activating transcription factor 3
HLA-DPB1	Major  histocompatibility complex, class II, DP beta 1
PAEP	Progestagen-associated endometrial protein
BPGM	2, 3-bisphosphogylcerate mutase
EPHB2	EphB2
CISH	Cytokine-inducible SH2-containing protein
TM4SF5	Transmembrane 4 superfamily member 5
MGAT4A	Mannosyl (alpha-1,3-)-glycoprotein acetylglucosaminyltransferase, isoenzyme A
REL	V-rel reticuloendotheliosis viral oncogene homolog (avian)
PIM1	Pim-1 oncogene
JUND	jun D proto-oncogene
NNAT	Neuronatin
RAB40B	RAB40B, member RAS oncogene family
HAAO	3-hydroxyanthranilate 3, 4-dioxygenase
TGFB3	Transforming growth factor, beta 3
C20orf14	Chromosome 20 open reading fram 14
ME1	Malic enzyme 1, NADP(+)-dependent, cytosolic
TRIM22	Tripartite motif-containing 22
PLSCR1	Phospholipid scramblase 1
COL11A2	Collagen, type XI, alpha 2
STAT1	Signal transducer and activator of transcription 1, 91 kD
SCGB1A1	Secretoglobulin, family 1A, member 1 (uteroglobin)
PTPN3	Protein tyrosine phosphatase, non-receptor type 3
MAOA	Monoamine oxidase A
NUTF2	Nuclear transport factor 2 (placental protein 15)
CLPS	Colipase, pancreatic
PIM1	Pim-1 oncogene
TMSB4X	Thymosin, beta 4, X chromosome
IFI35	Interferon-induced protein 35
TEBP	Unactive progesterone receptor, 23 kD
HCS	Cytochrome c
IFI16	Interferon, gamma-inducible protein 16
ALDOC	Aldolase C, fructose-bisphosphate
RPL35A	Ribosomal protein L35a
LY6E	Lymphocyte antigen 6 complex, locus E
NONO	Non-POU domain containing, octamer-binding
PCNA	Proliferating cell nuclear antigen
STMN1	Stathmin 1/oncoprotien
