Ordered position from 2969 genes	Fold change	Gene name	Description
1	209.1	GREM1	Cysteine knot superfamily 1, BMP antagonist 1
2	62.5	PTPLA	protein tyrosine phosphatase-like member a
3	57.5	PTGFR	Prostaglandin F receptor (FP)
4	57.2	GATA6	GATA binding protein 6
5	55.7	MET	Met proto-oncogene (hepatocyte growth factor receptor)
6	50.4	BST1	Bonemarrow stromal cell antigen 1
7	43.7	DSP	Desmoplakin (DPI, DPII)
8	40.8	STC2	Stanniocalcin 2
9	39	RGS4	Regulator of G-protein signalling 4
10	38.4	INHBA	Inhibin, beta A (activin A, activin AB alpha polypeptide)
11	37.1	WNTSB	Wingless-type MMTV integration site family, member 5B
12	36.6	FBN1	Fibrillin 1 (Marfan syndrome)
13	34.4	NGFB	Nerve growth factor, beta polypeptide
14	34	ABLIM3	KIAAAA0843 protein
15	33.4	GPR49	G protein-coupled receptor 49
16	33.2	PAPPA	Pregnancy-associated plasma protein A
17	32.4	THBS1	Thrombospondin 1
18	31.9	CYP1B1	Ctyochro
19	30.5	ITGBL1	Integrin, beta-like 1 (with EGF-like repeat domains)
20	30.2	PTGDS	Prostaglandin D2 synthase 12kDa (brain)
48	16.4	CNN1	Calponin 1, basic, smooth muscle
167	6.5	NID2	Nidogen 2 (osteonidogen)
202	5.6	TRAM2	TRAM-like protein
238	4.9	NBL1	Neuroblastoma, suppression of tumorigenicity 1
298	4.2	PHLDA2	Tumour suppressing subtransferable candidate 3
311	4	S100A11	S100 calcium binding protein A11 (calgizzarin)
371	3.5	ACTG2	Actin, gamma 2, smooth muscle, enteric
420	3.2	MAP2K3	Mitogen-activated protein kinase kinase 3
512	2.8	STAT1	Signal transducer and activator of transcription 1, 91kDa
590	2.6	CNN2	Calponin 2
645	2.5	ANXA2	Annexin A2
670	2.4	SERPINH1	Serine (or cysteine) proteinase inhibitor
874	2.2	PFKP	Phosphofructokinase, platelet
1362	-2.4	ARL5IP	ADP-ribosylation factor-like 6 interacting protein
1535	-2.7	CNP	2,3-cyclic nucleotide 3 phosphodiesterase
2166	-6.6	SPOCK2	Sparc/osteonectin, cwcv and kazal-lie domains proteoglycan (testican) 2
2170	-6.7	RNASE1	Homo sapiens ribonuclease, RN ase A family, mRNA
2184	-6.9	CCND2	Cyclin D2
2231	-7.9	SYT11	Synaptotagmin XI
2234	-7.9	CRMP1	Collapsin response mediator protein 1
2235	-8	OLFM1	Olfactomedin 1
2372	-12.9	SNAP25	Synaptosomal-associated protein, 25kDa
2413	-17.6	RASSF2	Ras associated (RalGDS/AF-6) domain family 2
2528	-52.1	CLDN5	Claudin 5
2610	-143.5	HLA-DPA1	Major histocompatibility complex, class II, DP alpha 1
2611	-147.7	BBOX1	Butyrobetaine (gamma), 2-oxoglutarate dioxygenase 1
2612	-152	ASCL1	Achaete-scute complex-like 1 (Drosophila)
2613	-155	PMP2	Peripheral myelin protein 2
2614	-159.7	GDF1	Homo sapiens growth differentiation factor 1 (GDF1), mRNA
2615	-165.3	CD74	CD74 antigen
2616	-165.6	FCGBP	Fc fragment of IgG binding protein
2617	-176.1	SERPINA3	Serine (or cysteine) proteinase inhibitor, clade A, member 3
2618	-187.6	CXCR4	Homo sapiens CXCR4 gene encoding receptor CXCR4
2619	-190.5	PTPRZ1	Protein tyrosine phosphatase, receptor-type, Z polypeptide 1
2620	-192.7	GFAP	Glial fibrillary acidic protein
2621	-210.1	GPM6A	Glycoprotein M6A
2622	-236.4	S100B	S100 calcium binding protein, beta (neural)
2623	-240.4	C3	Complement component 3
2624	-243.3	HLA-DRA	Major histocompatibility complex, class II, DR alpha
2625	-248.8	m6b1	Glycoprotein M6B
2626	-251.9	FABP7	Fatty acid binding protein 7, brain
2627	-263.9	TU3A	TU3A protein
2628	-300.3	RGS1	B cell activation gene
2629	-325.7	TTYH1	Tweety homolog 1 (Drosophila)
