geneSymbol	accession
ALDH4A1	NM_003748
AP2B1	NM_001282
AYTL2	NM_024830
BBC3	NM_014417
C16orf61	NM_020188
C20orf46	NM_018354
CCNE2	NM_057749
CDC42BPA	NM_014826
CENPA	NM_001809
COL4A2	NM_001846
DCK	NM_000788
DIAPH3	NM_030932
DTL	NM_016448
ECT2	NM_018098
EGLN1	NM_022051
ESM1	NM_007036
EXOC1	NM_018261
FGF18	NM_003862
GMPS	NM_003875
GNAZ	NM_002073
GPR126	NM_020455
GSTM3	NM_000849
HRASLS	NM_020386
IGFBP5	NM_000599
NDC80	NM_006101
MCM6	NM_005915
MELK	NM_014791
MMP9	NM_004994
MS4A7	NM_021201
NMU	NM_006681
NUSAP1	NM_016359
ORC6L	NM_014321
OXCT1	NM_000436
PALM2-AKAP2	NM_007203
PECI	NM_006117
PITRM1	NM_014889
RFC4	NM_002916
	XM_044921
SCUBE2	NM_020974
SERF1A	NM_021967
SLC2A3	NM_006931
SNX9	NM_016224
STK32B	NM_018401
TGFB3	NM_003239
TSPYL5	NM_033512
UCHL5	NM_015984
