Gene Symbol	Accesion number	Gene Name	Expression deceased vs 10-year survivors	Gene Ontology, Function	vant Veer/Wang
ARFIP1	NM_001025595	ADP-ribosylation factor interacting protein 1 (arfaptin 1)	Lower	identical protein binding	36526
ARSD	NM_001669	arylsulfatase D	Lower	arylsulfatase activity, calcium ion binding, hydrolase activity	40211
C1orf43	NM_015449	chromosome 1 open reading frame 43	Lower		36526
C4orf26	NM_178497	chromosome 4 open reading frame 26	Lower		0/0
CCDC24	NM_152499	coiled-coil domain containing 24	Lower		0/0
CUL7	NM_014780	cullin 7	Lower	protein binding	40180
EDEM3	NM_025191	ER degradation enhancer, mannosidase alpha-like 3	Lower	calcium ion binding, mannosyl-oligosaccharide 1,2-alpha-mannosidase activity, peptidase activity	0/0
FAAH	NM_001441	fatty acid amide hydrolase	Lower	amidase activity, hydrolase activity, receptor binding	40210
FXYD3	NM_005971	FXYD domain containing ion transport regulator 3	Lower	chloride ion binding, ion channel activity	36526
GOLT1A	NM_198447	golgi transport 1 homolog A (S. cerevisiae)	Lower		36526
NEIL1	NM_024608	nei endonuclease VIII-like 1 (E. coli)	Lower	DNA N-glycosylase activity, damaged DNA binding, hydrolase activity, acting on glycosyl bonds, lyase activity, oxidized purine base lesion DNA N-glycosylase activity, zinc ion binding	36526
OR7E91P	NR_002185	olfactory receptor, family 7, subfamily E, member 91 pseudogene	Lower	receptor activity	0/0
PHLDA3	NM_012396	pleckstrin homology-like domain, family A, member 3	Lower		36526
PLEKHA6	NM_014935	pleckstrin homology domain containing, family A member 6	Lower		40179
RORC	NM_005060	RAR-related orphan receptor C	Lower	metal ion binding, sequence-specific DNA binding, steroid hormone receptor activity, transcription factor activity	40179
TAF5L	NM_014409	TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65 kDa	Lower	transcription factor activity	40179
TMEM63A	NM_014698	transmembrane protein 63A	Lower		40182
ZNF497	NM_198458	zinc finger protein 497	Lower	metal ion binding, nucleic acid binding	0/0
ZNF691	NM_015911	zinc finger protein 691	Lower	metal ion binding, nucleic acid binding	0/0
ZNF692	NM_017865	zinc finger protein 692	Lower	metal ion binding, nucleic acid binding	36526
