Affymetrix Probe Set	P value - T-Test	T-Test_Change Direction	P value - MW-Test	MW_Change Direction
40642_at	0	Down	0.001	Down
1135_at	0.001	Down	0.007	Down
39748_at	0.001	Down	0.002	Down
37343_at	0.001	Down	0.007	Down
37806_at	0.001	Down	0.009	Down
41352_at	0.001	Down	0.004	Down
31881_at	0.002	Up	0.006	Up
34413_at	0.002	Down	0.005	Down
39671_at	0.003	Up	0.002	Up
31577_at	0.003	Up	0.004	Up
33922_at	0.003	Up	0.003	Up
37828_at	0.003	Up	0.006	Up
40130_at	0.003	Down	0.009	Down
40328_at	0.003	Down	0.002	Down
160027_s_at	0.004	Down	0.004	Down
38994_at	0.004	Down	0.011	Down
1124_at	0.004	Down	0.007	Down
36234_at	0.004	Down	0.006	Down
33431_at	0.004	Down	0.005	Down
36732_at	0.005	Down	0.005	Down
33306_at	0.005	Down	0.011	Down
36634_at	0.005	Down	0.017	Down
32786_at	0.005	Down	0.014	Down
41868_at	0.005	Down	0.002	Down
37630_at	0.005	Down	0.017	Down
35703_at	0.006	Down	0.006	Down
32502_at	0.006	Down	0.009	Down
36422_s_at	0.006	Down	0.036	Down
265_s_at	0.006	Down	0.036	Down
36203_at	0.006	Down	0.014	Down
35834_at	0.006	Down	0.014	Down
38575_at	0.007	Down	0.007	Down
39510_r_at	0.007	Down	0.03	Down
773_at	0.007	Down	0.025	Down
35249_at	0.008	Up	0.006	Up
38312_at	0.008	Up	0.011	Up
38774_at	0.008	Up	0.006	Up
35320_at	0.008	Down	0.005	Down
32563_at	0.008	Down	0.03	Down
160033_s_at	0.008	Down	0.006	Down
39733_at	0.008	Down	0.014	Down
32109_at	0.008	Down	0.02	Down
32855_at	0.008	Down	0.02	Down
40448_at	0.008	Down	0.036	Down
32870_g_at	0.009	Up	0.005	Up
36160_s_at	0.009	Down	0.03	Down
39253_s_at	0.009	Down	0.012	Down
32672_at	0.009	Down	0.012	Down
36711_at	0.009	Down	0.006	Down
41448_at	0.01	Up	0.005	Up
459_s_at	0.01	Down	0.006	Down
41120_at	0.01	Down	0.009	Down
31941_s_at	0.01	Down	0.014	Down
34300_at	0.01	Down	0.011	Down
32785_at	0.01	Down	0.033	Down
770_at	0.011	Down	0.03	Down
32907_at	0.011	Down	0.03	Down
39631_at	0.011	Down	0.017	Down
1915_s_at	0.011	Down	0.025	Down
33461_at	0.012	Up	0.002	Up
39648_at	0.012	Up	0.017	Up
41062_at	0.012	Up	0.008	Up
40077_at	0.012	Down	0.025	Down
33308_at	0.012	Down	0.043	Down
37393_at	0.012	Down	0.036	Down
37854_at	0.013	Up	0.004	Up
33228_g_at	0.013	Down	0.007	Down
131_at	0.013	Down	0.036	Down
38291_at	0.013	Down	0.025	Down
1081_at	0.013	Down	0.03	Down
984_g_at	0.014	Up	0.002	Up
33886_at	0.014	Down	0.02	Down
33436_at	0.014	Down	0.025	Down
37633_s_at	0.014	Down	0.017	Down
35019_at	0.015	Up	0.009	Up
41670_at	0.015	Up	0.014	Up
35256_at	0.015	Up	0.009	Up
38985_at	0.015	Up	0.009	Up
33304_at	0.015	Down	0.043	Down
35775_at	0.016	Up	0.011	Up
35557_at	0.016	Up	0.025	Up
35653_at	0.016	Down	0.014	Down
752_s_at	0.016	Down	0.017	Down
1934_s_at	0.017	Up	0.007	Up
35689_at	0.017	Up	0.014	Up
39702_at	0.017	Up	0.014	Up
35720_at	0.017	Up	0.006	Up
33374_at	0.017	Down	0.036	Down
36833_at	0.017	Down	0.025	Down
1622_at	0.017	Down	0.025	Down
2094_s_at	0.017	Down	0.02	Down
509_at	0.018	Down	0.036	Down
37136_at	0.018	Down	0.043	Down
1058_at	0.018	Down	0.036	Down
35649_at	0.018	Down	0.036	Down
34671_at	0.018	Down	0.014	Down
41536_at	0.018	Down	0.043	Down
35608_at	0.019	Up	0.017	Up
41411_at	0.019	Down	0.025	Down
39989_at	0.019	Down	0.025	Down
39385_at	0.019	Down	0.043	Down
33049_at	0.02	Up	0.002	Up
34676_at	0.02	Down	0.03	Down
31808_at	0.02	Down	0.039	Down
1194_g_at	0.021	Up	0.009	Up
39610_at	0.021	Up	0.014	Up
32589_at	0.021	Up	0.011	Up
40569_at	0.021	Down	0.02	Down
36127_g_at	0.021	Down	0.009	Down
41229_at	0.021	Down	0.017	Down
1662_r_at	0.021	Down	0.043	Down
41106_at	0.021	Down	0.043	Down
1126_s_at	0.021	Down	0.043	Down
287_at	0.021	Down	0.025	Down
38862_at	0.022	Up	0.006	Up
765_s_at	0.022	Up	0.015	Up
41343_at	0.022	Up	0.03	Up
33901_at	0.022	Up	0.03	Up
41585_at	0.022	Down	0.017	Down
41421_at	0.022	Down	0.03	Down
33429_at	0.022	Down	0.025	Down
36681_at	0.022	Down	0.03	Down
34732_at	0.022	Down	0.017	Down
40095_at	0.023	Up	0.011	Up
40674_s_at	0.023	Up	0.004	Up
32305_at	0.023	Up	0.036	Up
36456_at	0.023	Up	0.03	Up
33596_at	0.023	Down	0.036	Down
2049_s_at	0.023	Down	0.03	Down
31751_f_at	0.024	Up	0.011	Up
34211_at	0.024	Up	0.017	Up
35039_at	0.024	Up	0.009	Up
37888_at	0.024	Down	0.03	Down
35729_at	0.024	Down	0.017	Down
280_g_at	0.024	Down	0.03	Down
39275_at	0.024	Down	0.043	Down
35698_at	0.025	Up	0.02	Up
41804_at	0.025	Up	0.02	Up
38452_at	0.026	Up	0.036	Up
38471_r_at	0.026	Up	0.03	Up
2086_s_at	0.027	Down	0.043	Down
38383_at	0.027	Down	0.025	Down
1565_s_at	0.028	Up	0.017	Up
32480_at	0.028	Up	0.014	Up
37552_at	0.028	Up	0.036	Up
37906_at	0.028	Up	0.017	Up
33916_at	0.028	Down	0.02	Down
37026_at	0.028	Down	0.036	Down
40503_at	0.028	Down	0.043	Down
39204_at	0.028	Down	0.017	Down
35065_at	0.029	Up	0.036	Up
34545_at	0.029	Up	0.017	Up
39219_at	0.029	Up	0.017	Up
41183_at	0.029	Up	0.025	Up
1612_s_at	0.029	Down	0.02	Down
1458_at	0.029	Down	0.02	Down
35253_at	0.03	Up	0.025	Up
36860_at	0.03	Down	0.009	Down
36097_at	0.03	Down	0.025	Down
40935_at	0.031	Up	0.007	Up
39280_at	0.031	Down	0.043	Down
35009_at	0.032	Up	0.036	Up
33548_f_at	0.033	Up	0.014	Up
41369_at	0.033	Up	0.017	Up
32970_f_at	0.033	Up	0.02	Up
34694_at	0.033	Up	0.025	Up
1237_at	0.033	Down	0.02	Down
38371_at	0.034	Up	0.025	Up
35934_at	0.035	Up	0.017	Up
31533_s_at	0.035	Up	0.014	Up
31591_s_at	0.035	Up	0.025	Up
31807_at	0.035	Up	0.017	Up
35968_s_at	0.035	Down	0.036	Down
40071_at	0.036	Down	0.043	Down
1099_s_at	0.036	Down	0.036	Down
40301_at	0.036	Down	0.017	Down
1175_s_at	0.037	Up	0.036	Up
41105_s_at	0.037	Up	0.007	Up
40715_at	0.037	Up	0.011	Up
32778_at	0.037	Down	0.036	Down
33760_at	0.037	Down	0.043	Down
