dataset1	gene/protein	hits2	region	up/down3
M	AHSG	50	3q27	down
M	ERG	50	21q22.3	up
M	PROM2	50	2q11.1	up
M	LOC375475	50	5q33.1	up
M	TGM4	50	3p22-p21.33	down
M	SNF1LK	50	21q22.3	down
M	LOC283588	50	14q32.11	up
M	ARL17P1	50	17q21.32	up
M	AREG	49	4q13-q21	down
M	VAV3	49	1p13.3	up
M	TLR8	47	Xp22	up
M	FAM19A2	46	12q14.1	up
M	PCDH18	46	4q31	up
M	RAMP3	45	7p13-p12	up
M	NDRG3	45	20q11.21-q11.23	up
M	CYP4F8	43	19p13.1	up
M	SLCO2B1	37	11q13	up
M	ADAMTS1	26	21q21.2	down
G	SYTL3	50	6q25.3	down
G	NPR2	48	9p21-p12	down
G	TRO	43	Xp11.22-p11.21	up
