Order	microRNA	adj. P value	Fold change	Chromosome	Cluster	No. of target genes
1	hsa-mir-342	2.31E-09	-9.94	14q32.2	NA	2
2	hsa-mir-223	2.41E-09	-13.99	Xq12	NA	8
3	hsa-mir-150	3.63E-09	-6.72	19q13.33	NA	2
4	hsa-mir-189	2.82E-08	-3.97	9q22.32/19p13.12	24-23a/23b-24	6
5	hsa-mir-186	5.04E-08	-6.4	1p31.1	NA	6
6	hsa-mir-423	5.04E-08	-2.24	17q11.2	NA	0
7	hsa-mir-92-1	5.22E-08	-5.6	13q31.3/Xq26.2	17-92/106a-363	6
8	hsa-mir-181a-1	5.22E-08	-4.4	1q32.1/9q33.3	181a-181b	10
9	hsa-mir-191	6.72E-08	-4.59	3p21.31	425-191	5
10	hsa-mir-376b	6.72E-08	-3.91	14q32.31	NA	9
11	hsa-mir-425	1.01E-07	-4.31	3p21.31	425-191	5
12	hsa-mir-15b	1.11E-07	-4.16	3q26.1	15b-16	11
13	hsa-mir-181c	1.11E-07	-3.87	19p13.12	181c-181d	10
14	hsa-mir-93	1.15E-07	-4.07	7q22.1	106b-25	6
15	hsa-mir-423	1.33E-07	-1.47	17q11.2	NA	0
16	hsa-mir-582	1.55E-07	-5.13	5q12.1	NA	0
17	hsa-mir-363	1.90E-07	-3.89	Xq26.2	106a-363	6
18	hsa-mir-128-1	2.07E-07	-3.83	2q21.3/3p22.3	NA	4
19	hsa-mir-30c-1	2.24E-07	-8.79	1p34.2	30e-30c	6
20	hsa-mir-25	2.24E-07	-5.05	7q22.1	106b-25	4
21	hsa-mir-181b-1	2.24E-07	-3.42	1q32.1/9q33.3	181a-181b	9
22	hsa-mir-194-1	2.87E-07	-4.28	1q41/11q13.1	215-194/192-194	3
23	hsa-mir-652	5.02E-07	-3.14	Xq22.3	NA	3
24	hsa-mir-505	5.05E-07	-3.12	Xq27.1	NA	4
25	hsa-mir-30b	6.54E-07	-8.76	8q24.22	30b-30d	4
26	hsa-mir-128-1	7.84E-07	-3.09	2q21.3/3p22.3	NA	4
27	hsa-mir-142	7.93E-07	-12.33	17q22	NA	4
28	hsa-mir-532	9.93E-07	-5.65	19q13.41	NA	1
29	hsa-mir-140	1.27E-06	-3.99	16q22.1	NA	3
30	hsa-mir-361	1.43E-06	-5.91	Xq21.2	NA	6
31	hsa-let-7e	1.54E-06	-3.17	19q13.33	99b-125a	5
32	hsa-mir-140	1.65E-06	-4.43	16q22.1	NA	3
33	hsa-mir-532	2.32E-06	-3.49	Xp11.23	532-502	0
34	hsa-mir-345	2.32E-06	-3.06	14q32.2	NA	0
35	hsa-let-7a-1	2.61E-06	-3.02	11q24.1/9q22.32/22q13.31	100-let7a/let-7a-7d/let-7a-7b	5
36	hsa-mir-500	2.96E-06	-3.39	Xp11.23	532-502	2
37	hsa-mir-16-1	3.45E-06	-3.56	13q14.3/3q26. 1	15a-16/15b-16	12
38	hsa-mir-29a	3.52E-06	-10.79	7q32.3	29a-29b	5
39	hsa-mir-18a	5.47E-06	-3.64	Xq26.2	106a-363	3
40	hsa-mir-142	5.52E-06	-6.01	17q22	NA	5
41	hsa-mir-31	8.73E-06	-5.57	9p21.3	NA	6
42	hsa-mir-27a	9.50E-06	-6.37	19p13.12	24-23a	9
43	hsa-mir-146b	1.01E-05	-5.45	10q24.32	NA	5
44	hsa-mir-30a	1.21E-05	-5.47	6q13	NA	6
45	hsa-mir-30e	1.43E-05	-9.81	1p34.2	30e-30c	11
46	hsa-mir-107	1.50E-05	-7.52	10q23.31	NA	9
47	hsa-mir-17	2.00E-05	-6.66	13q31.3	17-92	11
48	hsa-mir-338	3.33E-05	-3.99	17q25.3	338-657	4
49	hsa-mir-422a	5.21E-05	-3.1	5q33.1	NA	4
50	hsa-mir-106a	5.37E-05	-6.22	Xq26.2	106a-363	3
51	hsa-mir-484	5.96E-05	-5.4	16p13.11	NA	2
52	hsa-mir-30a	1.09E-04	-7.11	6q13	NA	9
53	hsa-mir-30d	1.14E-04	-4.31	8q24.22	30b-30d	5
54	hsa-mir-455	1.14E-04	-3.14	9q32	NA	1
55	hsa-mir-20b	1.17E-04	-6.34	13q31.3	17-92	2
56	hsa-mir-28	1.40E-04	-4.2	3q28	NA	1
57	hsa-mir-103-1	1.44E-04	-6.51	5q35.1/20p13	NA	10
58	hsa-mir-590	1.53E-04	-5.04	7q11.23	NA	2
59	hsa-mir-338	1.60E-04	-4.73	17q25.3	338-657	4
60	hsa-mir-378	1.82E-04	-3.13	5q33.1	NA	4
61	hsa-mir-18a	2.15E-04	-3.85	13q31.3	17-92	6
62	hsa-mir-30e	2.29E-04	-10.19	1p34.2	30e-30c	11
63	hsa-mir-365-1	2.92E-04	-5.9	16p13.12/17q1 1.2	193b-365	2
64	hsa-mir-95	3.25E-04	-4.58	4p16.1	NA	6
65	hsa-mir-374b	3.25E-04	-4.13	Xq13.2	545-374	4
66	hsa-mir-215	3.46E-04	-3.12	1q41	215-194	4
67	hsa-mir-23a	3.49E-04	-7.3	19p13.12	24-23a	5
68	hsa-mir-362	3.60E-04	-2.94	Xp11.23	532-502	4
69	hsa-mir-20a	3.62E-04	-7.85	13q31.3	17-92	2
70	hsa-mir-22	4.04E-04	-4.81	17p13.3	NA	8
71	hsa-mir-660	4.27E-04	-4.95	Xp11.23	532-502	0
72	hsa-mir-26a-1	4.48E-04	-11.13	3p22.2/12q14	NA	8
73	hsa-mir-29c	4.62E-04	-14.25	1q32.2	29b-29c	7
74	hsa-mir-23b	5.65E-04	-7.35	9q22.32	23b-24	7
75	hsa-mir-19a	6.17E-04	-9.72	13q31.3	17-92	7
76	hsa-mir-125a	9.14E-04	-7	19q13.33	99b-125a	7
77	hsa-mir-24-1	1.17E-03	-8.02	9q22.32/19p13.12	24-23a/23b-24	3
78	hsa-mir-27b	1.40E-03	-6.29	9q22.32	23b-24	8
79	hsa-mir-19b-1	1.83E-03	-11.82	13q31.3/Xq26. 2	17-92/106a-363	9
80	hsa-mir-340	1.93E-03	-4.61	5q35.3	NA	0
81	hsa-mir-374a	2.78E-03	-12.45	Xq13.2	545-374	4
82	hsa-mir-15a	2.92E-03	-8.09	13q14.3	15a-16	9
83	hsa-mir-28	3.78E-03	-3.88	3q28	NA	1
84	hsa-mir-148b	4.04E-03	-3.71	12q13.13	NA	5
85	hsa-mir-106b	4.10E-03	-4.31	7q22.1	106b-25	6
86	hsa-mir-192	4.59E-03	-2.29	11q13.1	192-194	3
87	hsa-mir-29b-1	4.74E-03	-15.39	1q32.2	29b-29c/29a-29b	6
88	hsa-mir-32	4.78E-03	-1.63	9q31.3	NA	6
89	hsa-mir-185	9.45E-03	-4.75	22q11.2	NA	7
90	hsa-mir-146a	1.05E-02	-2.19	5q33.3	NA	5
91	hsa-mir-133b	1.17E-02	-3.34	6p12.2	133b-206	3
92	hsa-mir-320a	1.38E-02	-3.32	8p21.3	NA	9
93	hsa-mir-151	1.42E-02	-4.96	8q24.3	NA	5
94	hsa-mir-26b	1.60E-02	-13.43	2q35	NA	9
95	hsa-mir-590	1.60E-02	-2.69	7q11.23	NA	2
96	hsa-mir-429	1.69E-02	-2.39	1p36.33	200a-429	5
97	hsa-mir-141	2.21E-02	-3.38	12p13.31	141-200c	4
98	hsa-mir-99b	2.47E-02	-4.84	19q13.33	99b-125a	2
99	hsa-mir-335	2.49E-02	-4.11	7q32.2	NA	3
100	hsa-mir-100	2.75E-02	-4.79	11q24.1	100-let7a	2
101	hsa-mir-361	2.84E-02	-13	Xq21.2	NA	6
102	hsa-mir-10a	2.84E-02	-6.85	17q21.32	NA	6
103	hsa-mir-148a	3.40E-02	-13.52	7p15.2	NA	4
104	hsa-mir-125b-1	3.51E-02	-6.85	11q24.1/21q21	NA	5
