GO code	GO term	No of changed probe sets	No of probe sets on chip	% of changed probe sets	P value
48513	organ development	12	948	0.0127	4.75×10-8
50874	organismal physiological process	20	2759	0.0072	1.74×10-5
6811	ion transport	10	947	0.0106	2.17×10-5
44237	cellular metabolism	17	9680	0.0018	2.83×10-4
7275	development	19	3022	0.0063	5.25×10-4
8152	metabolism	20	10305	0.0019	7.41×10-4
44238	primary metabolism	19	9509	0.002	4.12×10-3
7166	cell surface receptor linked signal transduction	11	1729	0.0064	1.25×10-2
50896	response to stimulus	16	2964	0.0054	1.65×10-2
7582	physiological process	41	14801	0.0028	4.69×10-2
