UGCluster	Symbol	Name	GOabr
Hs.12702	ARID5B	AT rich interactive domain 5B (MRF1-like)	DNA binding|nucleus|regulation of transcription, DNA-dependent
Hs.390463	SYTL2	synaptotagmin-like 2	NA
Hs.365706	MGP	matrix Gla protein	calcium ion binding|cartilage condensation|extracellular matrix|extracellular matrix structural constituent|ossification|regulation of bone mineralization|structural constituent of bone
Hs.439040	RPESP	RPE-spondin	NA
Hs.80342	KRT15	keratin 15	epidermis development|intermediate filament|structural constituent of cytoskeleton
Hs.2256	MMP7	matrix metalloproteinase 7 (matrilysin, uterine)	calcium ion binding|collagen catabolism|extracellular matrix|extracellular space|hydrolase activity|matrilysin activity|zinc ion binding
Hs.79404	D4S234E	DNA segment on chromosome 4 (unique) 234 expressed sequence	Golgi apparatus|integral to membrane|nucleus
Hs.259412		hypothetical protein dJ465N24.2.1	NA
Hs.293748	NA	CDNA FLJ26063 fis, clone PRS04788	NA
Hs.410774	RUNX1	runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	ATP binding|cell growth and/or maintenance|development|nucleus|regulation of transcription, DNA-dependent|transcription factor activity
Hs.386078	MYLK	myosin, light polypeptide kinase	ATP binding|calmodulin binding|kinase activity|myosin-light-chain kinase activity|protein amino acid phosphorylation|protein serine/threonine kinase activity|signal transducer activity|transferase activity
Hs.300642	AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	NA
Hs.211573	HSPG2	heparan sulfate proteoglycan 2 (perlecan)	basement membrane|extracellular space|structural molecule activity
Hs.65436	LOXL1	lysyl oxidase-like 1	copper ion binding|electron transporter activity|extracellular|oxidoreductase activity|protein modification|protein-lysine 6-oxidase activity
Hs.169487	MAFB	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	DNA binding|nucleus|regulation of transcription, DNA-dependent|sensory organ development
Hs.433845	KRT5	keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types)	epidermis development|intermediate filament|structural constituent of cytoskeleton
Hs.409934	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	MHC class II receptor activity|MHC class II receptor activity|antigen presentation, exogenous antigen|antigen processing, exogenous antigen via MHC class II|immune response|immune response|integral to membrane
Hs.351874	HLA-DOA	major histocompatibility complex, class II, DO alpha	MHC class II receptor activity|antigen presentation, exogenous antigen|antigen processing, exogenous antigen via MHC class II|immune response|integral to membrane|plasma membrane
Hs.26204	KIAA1295	KIAA1295 protein	NA
Hs.412559	FLJ21127	hypothetical protein FLJ21127	NA
Hs.410037	CTGF	connective tissue growth factor	DNA metabolism|cell adhesion|cell growth and/or maintenance|cell motility|epidermis development|extracellular matrix|extracellular space|heparin binding|insulin-like growth factor binding|plasma membrane|protein binding|regulation of cell growth|response to wounding|soluble fraction
Hs.15535	TCEB3	transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A)	defense response|nucleus|protein binding|regulation of transcription from Pol II promoter|transcription|transcriptional elongation regulator activity
Hs.181244	HLA-A	major histocompatibility complex, class I, A	MHC class I receptor activity|antigen presentation, endogenous antigen|antigen processing, endogenous antigen via MHC class I|immune response|integral to plasma membrane
Hs.240443	NA	MRNA; cDNA DKFZp686L01105 (from clone DKFZp686L01105)	NA
Hs.433995	NA	CDNA FLJ26120 fis, clone SYN00419	NA
Hs.169294	TCF7	transcription factor 7 (T-cell specific, HMG-box)	DNA binding|RNA polymerase II transcription factor activity|Wnt receptor signaling pathway|immune response|nucleus|regulation of transcription from Pol II promoter|regulation of transcription, DNA-dependent
Hs.250615	CYP2A7	cytochrome P450, family 2, subfamily A, polypeptide 7	electron transport|endoplasmic reticulum|membrane|microsome|monooxygenase activity|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen|oxygen binding
Hs.429994	KIAA1010	scaffold protein TUBA	NA
Hs.8850	ADAM12	a disintegrin and metalloproteinase domain 12 (meltrin alpha)	NA
Hs.409202	JAG1	jagged 1 (Alagille syndrome)	Notch binding|Notch signaling pathway|angiogenesis|calcium ion binding|calcium ion binding|cell communication|cell fate determination|development|endothelial cell differentiation|extracellular|growth factor activity|hemopoiesis|integral to plasma membrane|keratinocyte differentiation|myoblast differentiation|neurogenesis|regulation of cell migration|regulation of cell proliferation|structural molecule activity
Hs.93675	C10orf10	chromosome 10 open reading frame 10	NA
Hs.434044	PRKCDBP	protein kinase C, delta binding protein	NA
Hs.426967	PIK3CD	phosphoinositide-3-kinase, catalytic, delta polypeptide	inositol/phosphatidylinositol kinase activity|phosphatidylinositol 3-kinase activity|phosphatidylinositol 3-kinase activity|phosphatidylinositol-4,5-bisphosphate 3-kinase activity|phosphoinositide 3-kinase complex|phosphoinositide 3-kinase complex|protein amino acid phosphorylation|signal transduction|signal transduction|transferase activity
Hs.372031	PMP22	peripheral myelin protein 22	integral to plasma membrane|mechanosensory behavior|membrane fraction|negative regulation of cell proliferation|perception of sound|peripheral nervous system development|synaptic transmission
Hs.30559	NA	CDNA FLJ46906 fis, clone BRHIP2020930	NA
Hs.80395	MAL	mal, T-cell differentiation protein	channel/pore class transporter activity|endosome|hemocyte development|insoluble fraction|integral to plasma membrane|membrane fraction|signal transduction
Hs.179526	TXNIP	thioredoxin interacting protein	biological_process unknown|cellular_component unknown|molecular_function unknown
Hs.1074	SFTPC	surfactant, pulmonary-associated protein C	extracellular space|regulation of liquid surface tension|respiratory gaseous exchange
Hs.284135	NA	Hypothetical protein MGC3036 (MGC3036), mRNA	NA
Hs.443435	CDH11	cadherin 11, type 2, OB-cadherin (osteoblast)	calcium ion binding|cell adhesion|homophilic cell adhesion|homophilic cell adhesion|integral to membrane|membrane|ossification|protein binding
Hs.434488	CSPG2	chondroitin sulfate proteoglycan 2 (versican)	calcium ion binding|cell recognition|development|extracellular matrix|heterophilic cell adhesion|hyaluronic acid binding|sugar binding
Hs.9585	NA	CDNA FLJ30010 fis, clone 3NB692000154	NA
Hs.57209	LBH	likely ortholog of mouse limb-bud and heart gene	NA
Hs.435795	IGFBP7	insulin-like growth factor binding protein 7	extracellular|insulin-like growth factor binding|negative regulation of cell proliferation|regulation of cell growth
Hs.322735	YARS	tyrosyl-tRNA synthetase	ATP binding|apoptosis|cell motility|cytoplasm|extracellular space|interleukin-8 receptor binding|ligase activity|protein biosynthesis|signal transducer activity|soluble fraction|tRNA binding|tyrosine-tRNA ligase activity|tyrosyl-tRNA aminoacylation
Hs.372463	MACF1	microtubule-actin crosslinking factor 1	actin binding|actin filament binding|calcium ion binding|calcium ion binding|cell cycle arrest|cytoskeleton|cytoskeleton|microtubule binding|microtubule binding
Hs.244318	DAPK1	death-associated protein kinase 1	ATP binding|actin cytoskeleton|apoptosis|calcium/calmodulin-dependent protein kinase activity|calmodulin binding|calmodulin-dependent protein kinase I activity|induction of apoptosis by extracellular signals|protein amino acid phosphorylation|protein kinase cascade|protein serine/threonine kinase activity|signal transduction|transferase activity
Hs.15432	DOC1	downregulated in ovarian cancer 1	biological_process unknown|molecular_function unknown|myosin
Hs.270532	PEX12	peroxisomal biogenesis factor 12	integral to membrane|integral to peroxisomal membrane|peroxisome|protein binding|zinc ion binding
Hs.512776	C14orf141	chromosome 14 open reading frame 141	NA
Hs.105689	LTBP2	latent transforming growth factor beta binding protein 2	calcium ion binding|extracellular matrix|extracellular space|extracellular transport|growth factor binding|protein secretion|protein targeting|regulation of cell cycle|transforming growth factor beta receptor signaling pathway
Hs.10862	AK3	adenylate kinase 3	ATP binding|GTP binding|adenylate kinase activity|kinase activity|mitochondrion|nucleobase, nucleoside, nucleotide and nucleic acid metabolism|transferase activity
Hs.207428	FARP1	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)	Rho guanyl-nucleotide exchange factor activity|cytoskeleton
Hs.318501	TRIM22	tripartite motif-containing 22	immune response|intracellular|nucleus|regulation of transcription, DNA-dependent|response to virus|transcription corepressor activity|transcription factor activity|zinc ion binding
Hs.368746	NRP2	neuropilin 2	angiogenesis|axon guidance|cell adhesion|cell adhesion|electron transport|electron transporter activity|integral to membrane|integral to membrane|membrane fraction|neurogenesis|receptor activity|receptor activity|semaphorin receptor activity|vascular endothelial growth factor receptor activity|vascular endothelial growth factor receptor activity
Hs.367877	MMP2	matrix metalloproteinase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	calcium ion binding|collagen catabolism|extracellular matrix|extracellular space|gelatinase A activity|hydrolase activity|zinc ion binding
Hs.418138	FN1	fibronectin 1	acute-phase response|cell adhesion|cell migration|collagen binding|extracellular|extracellular matrix structural constituent|heparin binding|response to wounding
Hs.432914	NA	CDNA FLJ46049 fis, clone SYNOV2020463	NA
Hs.14691	MGC19764	hypothetical protein MGC19764	NA
Hs.387251	EVI5	ecotropic viral integration site 5	cell proliferation|development|protein binding
Hs.250692	HLF	hepatic leukemia factor	cell growth and/or maintenance|development|double-stranded DNA binding|nucleus|regulation of transcription, DNA-dependent|transcription from Pol II promoter
Hs.396853	JMY	junction-mediating and regulatory protein	NA
Hs.135226	CTSB	cathepsin B	cathepsin B activity|hydrolase activity|intracellular|lysosome|proteolysis and peptidolysis
Hs.484782	DFFA	DNA fragmentation factor, 45kDa, alpha polypeptide	DNA fragmentation|apoptosis|caspase-activated deoxyribonuclease activity|cytosol|intracellular signaling cascade|nucleus|protein binding
Hs.448589	ANKRD1	ankyrin repeat domain 1 (cardiac muscle)	DNA binding|defense response|nucleus|nucleus|signal transduction
Hs.387385	SMURF2	E3 ubiquitin ligase SMURF2	ligase activity|negative regulation of transcription|nucleus|regulation of transforming growth factor beta receptor signaling pathway|ubiquitin cycle|ubiquitin-dependent protein catabolism|ubiquitin-protein ligase activity
Hs.98998	TNC	tenascin C (hexabrachion)	cell adhesion|extracellular matrix|protein binding
Hs.82028	TGFBR2	transforming growth factor, beta receptor II (70/80kDa)	ATP binding|integral to membrane|positive regulation of cell proliferation|protein amino acid phosphorylation|receptor activity|transferase activity|transmembrane receptor protein serine/threonine kinase signaling pathway|type II transforming growth factor beta receptor activity
