Order	Probeset ID	Gene Title	Gene Symbol	Coefficient in CD15+ Signature
1	1449675_at	cyclin B1, related sequence 1 /// similar to G2/mitotic-specific cyclin B1 /// c	Ccnb1 /// Ccnb1-rs1	0.027344
2	1416076_at	cyclin B1, related sequence 1 /// cyclin B1 /// predicted gene, EG434175 /// sim	Ccnb1 /// Ccnb1-rs1	0.024227
3	1452954_at	ubiquitin-conjugating enzyme E2C	Ube2c	0.022691
4	1456077_x_at	cell division cycle 25 homolog C (S. pombe)	Cdc25c	0.021992
5	1448205_at	cyclin B1, related sequence 1 /// cyclin B1	Ccnb1 /// Ccnb1-rs1	0.021214
6	1422252_a_at	cell division cycle 25 homolog C (S. pombe)	Cdc25c	0.022043
7	1450842_a_at	centromere protein A	Cenpa	0.020665
8	1451128_s_at	kinesin family member 22	Kif22	0.021163
9	1439394_x_at	cell division cycle 20 homolog (S. cerevisiae)	Cdc20	0.019946
10	1452073_at	RIKEN cDNA 6720460F02 gene	6720460F02Rik	0.01993
11	1452315_at	kinesin family member 11	Kif11	0.021088
12	1425815_a_at	hyaluronan mediated motility receptor (RHAMM)	Hmmr	0.019495
13	1417450_a_at	transforming, acidic coiled-coil containing protein 3	Tacc3	0.019536
14	1424278_a_at	baculoviral IAP repeat-containing 5	Birc5	0.019148
15	1451246_s_at	aurora kinase B	Aurkb	0.020059
16	1439510_at	shugoshin-like 1 (S. pombe)	Sgol1	0.020386
17	1460713_at	cDNA sequence BC048355	BC048355	0.02008
18	1421430_at	RAD51-like 1 (S. cerevisiae)	Rad51l1	0.020392
19	1429172_a_at	on-SMC condensin I complex, subunit G	Ncapg	0.019941
20	1435737_a_at	nuclear distribution gene E homolog 1 (A nidulans)	Nde1	0.01966
21	1431087_at	SPC24, NDC80 kinetochore complex component, homolog (S. cerevisiae)	Spc24	0.019342
22	1429095_at	centromere protein P	Cenpp	0.017653
23	1455730_at	discs, large homolog 7 (Drosophila)	Dlg7	0.019372
24	1429156_at	RIKEN cDNA 2610036L11 gene	2610036L11Rik	0.0182
25	1418919_at	shugoshin-like 1 (S. pombe)	Sgol1	0.019176
26	1420081_s_at	DNA segment, Chr 2, ERATO Doi 750, expressed	D2Ertd750e	0.01824
27	1427141_at	RIKEN cDNA 2700099C18 gene	2700099C18Rik	0.01876
28	1430617_at	Opa interacting protein 5	Oip5	0.018698
29	1449171_at	Ttk protein kinase	Ttk	0.018448
30	1416258_at	thymidine kinase 1	Tk1	0.018366
31	1432361_a_at	centromere protein P	Cenpp	0.017974
32	1417458_s_at	CDC28 protein kinase regulatory subunit 2	Cks2	0.016999
33	1442134_at	proline rich 11	Prr11	0.01816
34	1433807_at	RIKEN cDNA 6720463M24 gene	6720463M24Rik	0.018086
35	1427541_x_at	hyaluronan mediated motility receptor (RHAMM)	Hmmr	0.018395
36	1422198_a_at	serine hydroxymethyltransferase 1 (soluble)	Shmt1	0.017894
37	1452606_at	meiotic nuclear divisions 1 homolog (S. cerevisiae)	Mnd1	0.018235
38	1437611_x_at	kinesin family member 2C	Kif2c	0.016402
39	1418184_at	centromere protein M	Cenpm	0.017517
40	1423969_at	nucleoporin 37	Nup37	0.016134
41	1417299_at	NIMA (never in mitosis gene a)-related expressed kinase 2	Nek2	0.016898
42	1417457_at	CDC28 protein kinase regulatory subunit 2	Cks2	0.016147
43	1450496_a_at	RIKEN cDNA 2810433K01 gene	2810433K01Rik	0.017152
44	1417506_at	geminin	Gmnn	0.016189
45	1449293_a_at	S-phase kinase-associated protein 2 (p45)	Skp2	0.016593
46	1452098_at	CTF18, chromosome transmission fidelity factor 18 homolog (S. cerevisiae)	Chtf18	0.016283
47	1417661_at	RAD52 motif 1	Rdm1	0.016124
48	1455127_at	X Kell blood group precursor-related family, member 5	Xkr5	0.016993
49	1427498_a_at	sperm associated antigen 5	Spag5	0.016353
50	1448441_at	CDC28 protein kinase 1b	Cks1b	0.01488
51	1425179_at	serine hydroxymethyltransferase 1 (soluble)	Shmt1	0.015268
52	1419838_s_at	polo-like kinase 4 (Drosophila)	Plk4	0.014367
53	1423093_at	inner centromere protein	Incenp	0.016029
54	1429295_s_at	thyroid hormone receptor interactor 13	Trip13	0.014337
55	1423123_at	RAD54 like (S. cerevisiae)	Rad54l	0.014002
56	1437549_at	RIKEN cDNA 2810408I11 gene	2810408I11Rik	0.015903
57	1419397_at	polymerase (DNA directed), alpha 1	Pola1	0.014508
