Biological function	Gene symbol	P value
Cell stress/apoptosis	CLU	0.0001582
Cell stress/apoptosis	BCL2L13	0.0006041
Cell stress/apoptosis	NCL	0.0008061
Adhesion/cytoskeleton	FMOD	0.000246
Adhesion/cytoskeleton	TIMP3	0.0004362
Adhesion/cytoskeleton	SERPIN1	0.0005444
Adhesion/cytoskeleton	FBLN2	0.0005989
Adhesion/cytoskeleton	SMOC2	0.0008047
Adhesion/cytoskeleton	MMP2	0.000805
Adhesion/cytoskeleton	ITGB1	0.0008549
Protein transport/metabolism	TOMM40	0.0009673
Signal transduction	DKK3	0.0009238
Nucleic acid processing and transcription	ZNF71	0.0004078
Nucleic acid processing and transcription	GABPB2	0.0005375
Cell cycle/proliferation	MAPK6	8.56x10–5
Membrane solute transport	SLC39A13	0.0006409
Other	PPT1R11	0.0006333
